1820.09.04_GlasgowHerald_0001,1820.09.02_CaledonianMercury_0003
1820.09.18_GlasgowHerald_0001,1820.09.14_CaledonianMercury_0003
1820.09.18_GlasgowHerald_0004,1820.09.16_Jackson'sOxfordJournal_0004
1820.09.18_HampshireTelegraphandSussexChronicleetc_0002,1820.09.16_Jackson'sOxfordJournal_0002
1820.09.18_TheBristolMercury_0001,1820.09.14_CaledonianMercury_0002
1820.09.18_TheBristolMercury_0002,1820.09.09_TheNewcastleCourantetc_0003
1820.09.18_TheBristolMercury_0004,1820.09.16_Jackson'sOxfordJournal_0002
1820.09.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1820.09.18_GlasgowHerald_0001
1820.09.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1820.09.16_Jackson'sOxfordJournal_0002
1820.09.22_GlasgowHerald_0001,1820.09.21_CaledonianMercury_0003
1820.09.22_GlasgowHerald_0004,1820.09.16_CaledonianMercury_0001
1820.09.22_LiverpoolMercuryetc_0002,1820.09.18_GlasgowHerald_0001
1820.09.22_LiverpoolMercuryetc_0006,1820.09.09_TheIpswichJournal_0001
1820.09.23_Freeman'sJournalandDailyCommercialAdvertiser_0002,1820.09.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1820.09.23_Jackson'sOxfordJournal_0001,1820.09.18_TheBristolMercury_0001
1820.09.23_Jackson'sOxfordJournal_0004,1820.09.14_CaledonianMercury_0003
1820.09.23_TheLeedsMercury_0001,1820.09.16_Jackson'sOxfordJournal_0002
1820.09.23_TheLeedsMercury_0002,1820.09.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1820.09.23_TheNewcastleCourantetc_0002,1820.09.21_CaledonianMercury_0004
1820.09.23_TheNewcastleCourantetc_0003,1820.09.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1820.09.25_CaledonianMercury_0001,1820.09.22_GlasgowHerald_0004
1820.09.25_GlasgowHerald_0001,1820.09.23_TheNewcastleCourantetc_0002
1820.09.25_GlasgowHerald_0004,1820.09.16_CaledonianMercury_0001
1820.09.27_TheAberdeenJournal_0003,1820.09.25_CaledonianMercury_0003
1820.09.27_TheAberdeenJournal_0004,1820.09.22_GlasgowHerald_0001
1820.09.28_CaledonianMercury_0002,1820.09.25_GlasgowHerald_0001
1820.09.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1820.09.25_CaledonianMercury_0002
1820.09.29_GlasgowHerald_0001,1820.09.28_CaledonianMercury_0002
1820.09.29_GlasgowHerald_0004,1820.09.16_CaledonianMercury_0001
1820.09.30_Freeman'sJournalandDailyCommercialAdvertiser_0002,1820.09.28_CaledonianMercury_0002
1820.09.30_Jackson'sOxfordJournal_0001,1820.09.28_CaledonianMercury_0002
1820.09.30_Jackson'sOxfordJournal_0002,1820.09.28_CaledonianMercury_0002
1820.09.30_Jackson'sOxfordJournal_0004,1820.09.29_GlasgowHerald_0001
1820.09.30_TheIpswichJournal_0004,1820.09.23_Jackson'sOxfordJournal_0002
1820.09.30_TheLeedsMercury_0004,1820.09.02_Jackson'sOxfordJournal_0004
1820.09.30_TheNewcastleCourantetc_0002,1820.09.25_CaledonianMercury_0003
1820.09.30_TheNewcastleCourantetc_0003,1820.09.23_Jackson'sOxfordJournal_0001
1820.10.02_CaledonianMercury_0002,1820.09.30_Jackson'sOxfordJournal_0002
1820.10.02_GlasgowHerald_0001,1820.09.30_Jackson'sOxfordJournal_0002
1820.10.02_GlasgowHerald_0002,1820.09.30_CaledonianMercury_0003
1820.10.02_GlasgowHerald_0004,1820.09.16_CaledonianMercury_0001
1820.10.02_TheBristolMercury_0001,1820.09.30_Jackson'sOxfordJournal_0002
1820.10.04_TheAberdeenJournal_0002,1820.09.30_TheNewcastleCourantetc_0002
1820.10.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1820.09.23_Jackson'sOxfordJournal_0002
1820.10.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1820.09.29_GlasgowHerald_0001
1820.10.07_TheNewcastleCourantetc_0003,1820.09.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1820.10.11_TheAberdeenJournal_0001,1820.09.16_CaledonianMercury_0001
1820.10.11_TheDerbyMercury_0004,1820.09.16_TheNewcastleCourantetc_0003
1820.10.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1820.09.30_Jackson'sOxfordJournal_0002
1820.10.18_TheAberdeenJournal_0001,1820.09.16_CaledonianMercury_0001
1820.10.21_Cobbett'sWeeklyPoliticalRegister_0028,1820.09.19_Freeman'sJournalandDailyCommercialAdvertiser_0004
1820.10.21_Cobbett'sWeeklyPoliticalRegister_0029,1820.09.30_TheNewcastleCourantetc_0004
1820.10.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1820.09.18_TheBristolMercury_0001
1820.11.01_TheAberdeenJournal_0001,1820.09.16_CaledonianMercury_0001
1820.11.09_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1820.09.09_Jackson'sOxfordJournal_0004
1820.12.23_Jackson'sOxfordJournal_0001,1820.09.30_TheNewcastleCourantetc_0003
1821.03.17_Jackson'sOxfordJournal_0004,1820.09.09_TheNewcastleCourantetc_0003
1821.03.24_Jackson'sOxfordJournal_0004,1820.09.30_TheNewcastleCourantetc_0003
1821.03.31_Jackson'sOxfordJournal_0002,1820.09.30_TheNewcastleCourantetc_0003
1821.04.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1820.09.30_TheNewcastleCourantetc_0003
