1884.11.02_Lloyd'sWeeklyNewspaper_0002,1884.11.01_TheLeedsMercury_0007
1884.11.06_Freeman'sJournalandDailyCommercialAdvertiser_0008,1884.11.01_TheBelfastNews-Letter_0001
1884.11.06_GlasgowHerald_0005,1884.11.05_ThePallMallGazette_0008
1884.11.06_GlasgowHerald_0007,1884.11.05_TheLeedsMercury_0002
1884.11.06_TheBelfastNews-Letter_0002,1884.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1884.11.06_TheBelfastNews-Letter_0005,1884.11.05_ThePallMallGazette_0008
1884.11.06_TheBelfastNews-Letter_0006,1884.11.04_GlasgowHerald_0007
1884.11.06_TheBristolMercuryandDailyPost_0004,1884.11.01_TheBelfastNews-Letter_0001
1884.11.06_TheBristolMercuryandDailyPost_0008,1884.11.05_TheLeedsMercury_0005
1884.11.06_TheLeedsMercury_0001,1884.11.01_GlasgowHerald_0007
1884.11.06_TheLeedsMercury_0003,1884.11.05_BirminghamDailyPost_0004
1884.11.06_TheLeedsMercury_0005,1884.11.05_ThePallMallGazette_0008
1884.11.06_TheLeedsMercury_0006,1884.11.04_BirminghamDailyPost_0006
1884.11.07_AberdeenWeeklyJournal_0003,1884.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0003
1884.11.07_BirminghamDailyPost_0001,1884.11.01_TheBelfastNews-Letter_0001
1884.11.07_BirminghamDailyPost_0006,1884.11.06_GlasgowHerald_0007
1884.11.07_BirminghamDailyPost_0007,1884.11.06_TheLeedsMercury_0008
1884.11.07_DailyNews_0002,1884.11.04_BirminghamDailyPost_0006
1884.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0004,1884.11.06_TheLeedsMercury_0001
1884.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0008,1884.11.01_TheBelfastNews-Letter_0001
1884.11.07_GlasgowHerald_0005,1884.11.06_TheLeedsMercury_0006
1884.11.07_NorthernEcho_0002,1884.11.04_BirminghamDailyPost_0006
1884.11.07_TheBelfastNews-Letter_0003,1884.11.06_TheBristolMercuryandDailyPost_0004
1884.11.07_TheBelfastNews-Letter_0006,1884.11.04_TheLeedsMercury_0006
1884.11.07_TheBristolMercuryandDailyPost_0007,1884.11.05_BirminghamDailyPost_0006
1884.11.07_TheHullPacketandEastRidingTimes_0002,1884.11.01_NorthWalesChronicle_0002
1884.11.07_TheHullPacketandEastRidingTimes_0003,1884.11.01_TheBelfastNews-Letter_0005
1884.11.07_TheHullPacketandEastRidingTimes_0006,1884.11.05_BaneracAmserauCymru_0015
1884.11.07_TheHullPacketandEastRidingTimes_0007,1884.11.01_Jackson'sOxfordJournal_0008
1884.11.07_TheLeedsMercury_0001,1884.11.05_BirminghamDailyPost_0001
1884.11.07_TheLeedsMercury_0003,1884.11.06_BirminghamDailyPost_0008
1884.11.07_TheLeedsMercury_0006,1884.11.06_GlasgowHerald_0007
1884.11.07_WesternMail_0003,1884.11.06_DailyNews_0005
1884.11.08_AberdeenWeeklyJournal_0001,1884.11.07_TheBelfastNews-Letter_0003
1884.11.08_BaneracAmserauCymru_0008,1884.11.01_YGoleuad_0016
1884.11.08_BirminghamDailyPost_0005,1884.11.07_TheBelfastNews-Letter_0008
1884.11.08_BirminghamDailyPost_0006,1884.11.07_TheLeedsMercury_0006
1884.11.08_BirminghamDailyPost_0008,1884.11.07_ThePallMallGazette_0008
1884.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002,1884.11.01_TheBelfastNews-Letter_0001
1884.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.07_TheLeedsMercury_0006
1884.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0007,1884.11.07_DailyNews_0006
1884.11.08_GlasgowHerald_0003,1884.11.04_BirminghamDailyPost_0006
1884.11.08_GlasgowHerald_0007,1884.11.03_TheLeedsMercury_0002
1884.11.08_HampshireTelegraphandSussexChronicleetc_0001,1884.11.01_Jackson'sOxfordJournal_0001
1884.11.08_HampshireTelegraphandSussexChronicleetc_0003,1884.11.03_TheLeedsMercury_0008
1884.11.08_HampshireTelegraphandSussexChronicleetc_0005,1884.11.07_DailyNews_0005
1884.11.08_HampshireTelegraphandSussexChronicleetc_0007,1884.11.01_TheLeedsMercury_S0007
1884.11.08_HampshireTelegraphandSussexChronicleetc_0012,1884.11.01_TheLeedsMercury_S0007
1884.11.08_Jackson'sOxfordJournal_0001,1884.11.01_TheIpswichJournal_0004
1884.11.08_Jackson'sOxfordJournal_0003,1884.11.04_BirminghamDailyPost_0006
1884.11.08_Jackson'sOxfordJournal_0005,1884.11.05_DailyNews_0004
1884.11.08_Jackson'sOxfordJournal_0006,1884.11.04_LiverpoolMercuryetc_0007
1884.11.08_Jackson'sOxfordJournal_0007,1884.11.05_DailyNews_0005
1884.11.08_Jackson'sOxfordJournal_0008,1884.11.07_TheHullPacketandEastRidingTimes_0007
1884.11.08_NorthernEcho_0004,1884.11.07_DailyNews_0003
1884.11.08_NorthWalesChronicle_0002,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.08_TheBelfastNews-Letter_0002,1884.11.03_TheLeedsMercury_0002
1884.11.08_TheBelfastNews-Letter_0006,1884.11.06_TheLeedsMercury_0006
1884.11.08_TheBristolMercuryandDailyPost_0006,1884.11.07_BirminghamDailyPost_0004
1884.11.08_TheBristolMercuryandDailyPost_0008,1884.11.07_TheLeedsMercury_0005
1884.11.08_TheEra_0010,1884.11.03_TheLeedsMercury_0008
1884.11.08_TheEra_0012,1884.11.02_Reynolds'sNewspaper_0004
1884.11.08_TheEra_0014,1884.11.04_BirminghamDailyPost_0007
1884.11.08_TheIllustratedPoliceNewsetc_0002,1884.11.02_Lloyd'sWeeklyNewspaper_0012
1884.11.08_TheIllustratedPoliceNewsetc_0003,1884.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1884.11.08_TheIllustratedPoliceNewsetc_0004,1884.11.03_DailyNews_0005
1884.11.08_TheIpswichJournal_0002,1884.11.01_NorthWalesChronicle_0002
1884.11.08_TheIpswichJournal_0003,1884.11.01_Jackson'sOxfordJournal_0001
1884.11.08_TheIpswichJournal_S0002,1884.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0007
1884.11.08_TheLeedsMercury_0002,1884.11.01_TheBelfastNews-Letter_0002
1884.11.08_TheLeedsMercury_0005,1884.11.01_BirminghamDailyPost_0006
1884.11.08_TheLeedsMercury_0010,1884.11.07_ThePallMallGazette_0008
1884.11.08_TheLeedsMercury_0011,1884.11.06_GlasgowHerald_0007
1884.11.08_TheLeedsMercury_0012,1884.11.07_DailyNews_0005
1884.11.08_TheLeedsMercury_S0002,1884.11.05_BirminghamDailyPost_0007
1884.11.08_TheLeedsMercury_S0003,1884.11.04_GlasgowHerald_0005
1884.11.08_TheLeedsMercury_S0004,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.08_TheLeedsMercury_S0006,1884.11.05_ThePallMallGazette_0010
1884.11.08_TheLeedsMercury_S0007,1884.11.05_BirminghamDailyPost_0003
1884.11.08_WesternMail_0003,1884.11.07_TheLeedsMercury_0008
1884.11.08_YGoleuad_0006,1884.11.05_BaneracAmserauCymru_0007
1884.11.08_YGoleuad_0011,1884.11.05_BaneracAmserauCymru_0007
1884.11.08_YGoleuad_0016,1884.11.05_BaneracAmserauCymru_0015
1884.11.09_Lloyd'sWeeklyNewspaper_0002,1884.11.03_TheLeedsMercury_0008
1884.11.09_Lloyd'sWeeklyNewspaper_0003,1884.11.05_TheLeedsMercury_0007
1884.11.09_Lloyd'sWeeklyNewspaper_0004,1884.11.04_DailyNews_0007
1884.11.09_Lloyd'sWeeklyNewspaper_0005,1884.11.07_AberdeenWeeklyJournal_0002
1884.11.09_Lloyd'sWeeklyNewspaper_0007,1884.11.07_DailyNews_0003
1884.11.09_Reynolds'sNewspaper_0001,1884.11.05_TheLeedsMercury_0007
1884.11.09_Reynolds'sNewspaper_0002,1884.11.05_DailyNews_0003
1884.11.09_Reynolds'sNewspaper_0003,1884.11.04_DailyNews_0002
1884.11.09_Reynolds'sNewspaper_0004,1884.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0006
1884.11.09_Reynolds'sNewspaper_0005,1884.11.07_BirminghamDailyPost_0004
1884.11.09_Reynolds'sNewspaper_0006,1884.11.04_ThePallMallGazette_0007
1884.11.09_Reynolds'sNewspaper_0007,1884.11.08_TheLeedsMercury_S0004
1884.11.09_Reynolds'sNewspaper_0008,1884.11.03_TheLeedsMercury_0005
1884.11.10_AberdeenWeeklyJournal_0001,1884.11.08_TheBristolMercuryandDailyPost_0004
1884.11.10_AberdeenWeeklyJournal_0002,1884.11.06_TheLeedsMercury_0008
1884.11.10_AberdeenWeeklyJournal_0003,1884.11.08_TheLeedsMercury_0005
1884.11.10_AberdeenWeeklyJournal_0006,1884.11.08_ThePallMallGazette_0002
1884.11.10_BirminghamDailyPost_0001,1884.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002
1884.11.10_BirminghamDailyPost_0006,1884.11.08_TheLeedsMercury_0011
1884.11.10_BirminghamDailyPost_0008,1884.11.09_Lloyd'sWeeklyNewspaper_0001
1884.11.10_DailyNews_0002,1884.11.05_BirminghamDailyPost_0006
1884.11.10_DailyNews_0003,1884.11.09_Lloyd'sWeeklyNewspaper_0007
1884.11.10_DailyNews_0007,1884.11.09_Lloyd'sWeeklyNewspaper_0012
1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.08_ThePallMallGazette_0009
1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0005,1884.11.09_Lloyd'sWeeklyNewspaper_0001
1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008,1884.11.08_TheBristolMercuryandDailyPost_0004
1884.11.10_GlasgowHerald_0005,1884.11.08_TheLeedsMercury_0011
1884.11.10_GlasgowHerald_0007,1884.11.09_Lloyd'sWeeklyNewspaper_0001
1884.11.10_GlasgowHerald_0011,1884.11.08_AberdeenWeeklyJournal_0001
1884.11.10_TheBelfastNews-Letter_0001,1884.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002
1884.11.10_TheBelfastNews-Letter_0002,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.10_TheBelfastNews-Letter_0005,1884.11.09_Lloyd'sWeeklyNewspaper_0001
1884.11.10_TheBelfastNews-Letter_0006,1884.11.06_GlasgowHerald_0007
1884.11.10_TheBristolMercuryandDailyPost_0001,1884.11.03_TheBelfastNews-Letter_0002
1884.11.10_TheBristolMercuryandDailyPost_0002,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.10_TheBristolMercuryandDailyPost_0004,1884.11.08_AberdeenWeeklyJournal_0001
1884.11.10_TheBristolMercuryandDailyPost_0007,1884.11.07_TheLeedsMercury_0006
1884.11.10_TheBristolMercuryandDailyPost_0008,1884.11.09_Lloyd'sWeeklyNewspaper_0001
1884.11.10_TheLeedsMercury_0001,1884.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002
1884.11.10_TheLeedsMercury_0003,1884.11.06_ThePallMallGazette_0006
1884.11.10_TheLeedsMercury_0006,1884.11.06_GlasgowHerald_0007
1884.11.10_TheLeedsMercury_0008,1884.11.09_Lloyd'sWeeklyNewspaper_0001
1884.11.10_ThePallMallGazette_0012,1884.11.08_TheBristolMercuryandDailyPost_0004
1884.11.11_AberdeenWeeklyJournal_0001,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.11_AberdeenWeeklyJournal_0008,1884.11.10_GlasgowHerald_0007
1884.11.11_BirminghamDailyPost_0006,1884.11.07_TheLeedsMercury_0006
1884.11.11_BirminghamDailyPost_0008,1884.11.10_ThePallMallGazette_0008
1884.11.11_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.07_TheLeedsMercury_0006
1884.11.11_Freeman'sJournalandDailyCommercialAdvertiser_0005,1884.11.10_ThePallMallGazette_0008
1884.11.11_Freeman'sJournalandDailyCommercialAdvertiser_0007,1884.11.10_GlasgowHerald_0007
1884.11.11_GlasgowHerald_0001,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.11_GlasgowHerald_0007,1884.11.07_TheLeedsMercury_0006
1884.11.11_TheBelfastNews-Letter_0001,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.11_TheBelfastNews-Letter_0002,1884.11.01_GlasgowHerald_0007
1884.11.11_TheBelfastNews-Letter_0003,1884.11.03_Freeman'sJournalandDailyCommercialAdvertiser_0003
1884.11.11_TheBelfastNews-Letter_0004,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0006
1884.11.11_TheBelfastNews-Letter_0006,1884.11.04_TheLeedsMercury_0006
1884.11.11_TheBelfastNews-Letter_0007,1884.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0006
1884.11.11_TheBristolMercuryandDailyPost_0007,1884.11.10_BirminghamDailyPost_0006
1884.11.11_TheLeedsMercury_0001,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.11_TheLeedsMercury_0006,1884.11.04_GlasgowHerald_0007
1884.11.11_TheLeedsMercury_0008,1884.11.10_ThePallMallGazette_0008
1884.11.11_ThePallMallGazette_0016,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.11_WesternMail_0003,1884.11.10_GlasgowHerald_0007
1884.11.12_AberdeenWeeklyJournal_0001,1884.11.10_TheBristolMercuryandDailyPost_0004
1884.11.12_AberdeenWeeklyJournal_0002,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.12_BaneracAmserauCymru_0015,1884.11.07_TheHullPacketandEastRidingTimes_0006
1884.11.12_BirminghamDailyPost_0001,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.12_BirminghamDailyPost_0006,1884.11.11_GlasgowHerald_0007
1884.11.12_BirminghamDailyPost_0008,1884.11.11_TheLeedsMercury_0008
1884.11.12_DailyNews_0007,1884.11.05_BirminghamDailyPost_0006
1884.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0002,1884.11.11_TheBelfastNews-Letter_0001
1884.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.11_GlasgowHerald_0007
1884.11.12_GlasgowHerald_0005,1884.11.07_TheLeedsMercury_0006
1884.11.12_NorthernEcho_0003,1884.11.11_ThePallMallGazette_0009
1884.11.12_TheBelfastNews-Letter_0002,1884.11.08_TheLeedsMercury_0002
1884.11.12_TheBelfastNews-Letter_0003,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.12_TheBelfastNews-Letter_0006,1884.11.06_GlasgowHerald_0007
1884.11.12_TheBristolMercuryandDailyPost_0004,1884.11.08_AberdeenWeeklyJournal_0001
1884.11.12_TheBristolMercuryandDailyPost_0007,1884.11.06_GlasgowHerald_0007
1884.11.12_TheBristolMercuryandDailyPost_0008,1884.11.11_ThePallMallGazette_0008
1884.11.12_TheDerbyMercury_0004,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.12_TheDerbyMercury_0005,1884.11.04_Freeman'sJournalandDailyCommercialAdvertiser_0007
1884.11.12_TheDerbyMercury_0006,1884.11.05_TheBristolMercuryandDailyPost_0008
1884.11.12_TheDerbyMercury_0007,1884.11.06_AberdeenWeeklyJournal_0006
1884.11.12_TheDerbyMercury_0008,1884.11.10_TheBelfastNews-Letter_0005
1884.11.12_TheLeedsMercury_0001,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0008
1884.11.12_TheLeedsMercury_0003,1884.11.11_ThePallMallGazette_0009
1884.11.12_TheLeedsMercury_0006,1884.11.01_BirminghamDailyPost_0006
1884.11.12_TheLeedsMercury_0008,1884.11.11_ThePallMallGazette_0008
1884.11.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1884.11.07_TheLeedsMercury_0006
1884.11.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1884.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0005
1884.11.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0006,1884.11.08_TheIpswichJournal_S0002
1884.11.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0007,1884.11.07_AberdeenWeeklyJournal_0002
1884.11.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0008,1884.11.08_Jackson'sOxfordJournal_0008
1884.11.13_AberdeenWeeklyJournal_0002,1884.11.10_ThePallMallGazette_0005
1884.11.13_AberdeenWeeklyJournal_0003,1884.11.12_GlasgowHerald_0005
1884.11.13_AberdeenWeeklyJournal_0004,1884.11.12_BirminghamDailyPost_0004
1884.11.13_AberdeenWeeklyJournal_0006,1884.11.12_ThePallMallGazette_0007
1884.11.13_AberdeenWeeklyJournal_0008,1884.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0003
1884.11.13_BirminghamDailyPost_0004,1884.11.12_ThePallMallGazette_0007
1884.11.13_BirminghamDailyPost_0005,1884.11.12_ThePallMallGazette_0004
1884.11.13_BirminghamDailyPost_0006,1884.11.07_TheLeedsMercury_0006
1884.11.13_BirminghamDailyPost_0008,1884.11.12_TheLeedsMercury_0008
1884.11.13_DailyNews_0005,1884.11.12_ThePallMallGazette_0008
1884.11.13_DailyNews_0006,1884.11.04_BirminghamDailyPost_0006
1884.11.13_Freeman'sJournalandDailyCommercialAdvertiser_0002,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.13_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.12_ThePallMallGazette_0007
1884.11.13_Freeman'sJournalandDailyCommercialAdvertiser_0007,1884.11.03_GlasgowHerald_0007
1884.11.13_GlasgowHerald_0005,1884.11.12_ThePallMallGazette_0007
1884.11.13_GlasgowHerald_0007,1884.11.07_TheLeedsMercury_0006
1884.11.13_TheBelfastNews-Letter_0002,1884.11.08_NorthWalesChronicle_0002
1884.11.13_TheBelfastNews-Letter_0005,1884.11.12_ThePallMallGazette_0008
1884.11.13_TheBelfastNews-Letter_0006,1884.11.06_GlasgowHerald_0007
1884.11.13_TheBelfastNews-Letter_0007,1884.11.12_GlasgowHerald_0008
1884.11.13_TheBristolMercuryandDailyPost_0005,1884.11.12_ThePallMallGazette_0001
1884.11.13_TheBristolMercuryandDailyPost_0006,1884.11.12_ThePallMallGazette_0007
1884.11.13_TheBristolMercuryandDailyPost_0007,1884.11.11_GlasgowHerald_0007
1884.11.13_TheBristolMercuryandDailyPost_0008,1884.11.12_TheLeedsMercury_0008
1884.11.13_TheLeedsMercury_0001,1884.11.12_BirminghamDailyPost_0001
1884.11.13_TheLeedsMercury_0003,1884.11.12_ThePallMallGazette_0001
1884.11.13_TheLeedsMercury_0006,1884.11.11_GlasgowHerald_0007
1884.11.13_TheLeedsMercury_0007,1884.11.12_ThePallMallGazette_0007
1884.11.13_TheLeedsMercury_0008,1884.11.12_ThePallMallGazette_0008
1884.11.13_WesternMail_0001,1884.11.12_TheBelfastNews-Letter_0002
1884.11.13_WesternMail_0003,1884.11.12_TheLeedsMercury_0008
1884.11.14_AberdeenWeeklyJournal_0001,1884.11.12_TheBristolMercuryandDailyPost_0004
1884.11.14_AberdeenWeeklyJournal_0002,1884.11.07_TheHullPacketandEastRidingTimes_0002
1884.11.14_AberdeenWeeklyJournal_0003,1884.11.13_GlasgowHerald_0007
1884.11.14_AberdeenWeeklyJournal_0007,1884.11.12_TheLeedsMercury_0002
1884.11.14_BirminghamDailyPost_0001,1884.11.12_TheBristolMercuryandDailyPost_0004
1884.11.14_BirminghamDailyPost_0006,1884.11.07_TheLeedsMercury_0006
1884.11.14_DailyNews_0002,1884.11.01_BirminghamDailyPost_0006
1884.11.14_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.11_GlasgowHerald_0007
1884.11.14_Freeman'sJournalandDailyCommercialAdvertiser_0007,1884.11.13_GlasgowHerald_0005
1884.11.14_Freeman'sJournalandDailyCommercialAdvertiser_0008,1884.11.13_TheBelfastNews-Letter_0002
1884.11.14_TheBelfastNews-Letter_0005,1884.11.13_ThePallMallGazette_0006
1884.11.14_TheBelfastNews-Letter_0006,1884.11.07_TheLeedsMercury_0006
1884.11.14_TheBelfastNews-Letter_0008,1884.11.13_Freeman'sJournalandDailyCommercialAdvertiser_0003
1884.11.14_TheBristolMercuryandDailyPost_0003,1884.11.10_BirminghamDailyPost_0006
1884.11.14_TheBristolMercuryandDailyPost_0004,1884.11.12_AberdeenWeeklyJournal_0001
