1824.07.03_TheIpswichJournal_0002,1824.07.02_MorningChronicle_0003
1824.07.19_CaledonianMercury_0002,1824.07.16_MorningChronicle_0002
1824.07.19_HampshireTelegraphandSussexChronicleetc_0002,1824.07.13_MorningChronicle_0003
1824.07.19_TheBristolMercury_0001,1824.07.17_CaledonianMercury_0002
1824.07.21_TheDerbyMercury_0001,1824.07.10_TheIpswichJournal_0001
1824.07.21_TheDerbyMercury_0002,1824.07.20_MorningChronicle_0003
1824.07.22_CaledonianMercury_0002,1824.07.21_TheDerbyMercury_0004
1824.07.22_MorningChronicle_0004,1824.07.18_TheExaminer_0016
1824.07.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.07.17_TheIpswichJournal_0002
1824.07.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.07.17_CaledonianMercury_0002
1824.07.23_LiverpoolMercuryetc_0003,1824.07.10_TheIpswichJournal_0001
1824.07.24_CaledonianMercury_0002,1824.07.17_TheIpswichJournal_0002
1824.07.24_CaledonianMercury_0004,1824.07.20_MorningChronicle_0001
1824.07.24_TheNewcastleCourantetc_0002,1824.07.16_MorningChronicle_0002
1824.07.24_TheNewcastleCourantetc_0003,1824.07.10_TheIpswichJournal_0001
1824.07.25_TheExaminer_0003,1824.07.22_MorningChronicle_0004
1824.07.25_TheExaminer_0004,1824.07.24_CaledonianMercury_0004
1824.07.25_TheExaminer_0008,1824.07.23_MorningChronicle_0003
1824.07.25_TheExaminer_0016,1824.07.09_MorningChronicle_0001
1824.07.26_CaledonianMercury_0002,1824.07.22_MorningChronicle_0002
1824.07.26_CaledonianMercury_0004,1824.07.19_MorningChronicle_0004
1824.07.27_MorningChronicle_0004,1824.07.26_CaledonianMercury_0003
1824.07.28_TheAberdeenJournal_0002,1824.07.17_CaledonianMercury_0003
1824.07.28_TheDerbyMercury_0001,1824.07.17_TheNewcastleCourantetc_0003
1824.07.29_CaledonianMercury_0002,1824.07.26_MorningChronicle_0002
1824.07.29_MorningChronicle_0001,1824.07.25_TheExaminer_0015
1824.07.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.07.14_TheDerbyMercury_0001
1824.07.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1824.07.28_MorningChronicle_0002
1824.07.30_LiverpoolMercuryetc_0008,1824.07.29_MorningChronicle_0002
1824.07.31_CaledonianMercury_0002,1824.07.29_MorningChronicle_0002
1824.07.31_Cobbett'sWeeklyPoliticalRegister_0016,1824.07.16_MorningChronicle_0001
1824.07.31_Cobbett'sWeeklyPoliticalRegister_0021,1824.07.16_MorningChronicle_0002
1824.07.31_Cobbett'sWeeklyPoliticalRegister_0024,1824.07.16_MorningChronicle_0002
1824.07.31_Cobbett'sWeeklyPoliticalRegister_0025,1824.07.16_MorningChronicle_0002
1824.07.31_TheIpswichJournal_0001,1824.07.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1824.07.31_TheIpswichJournal_0003,1824.07.29_MorningChronicle_0003
1824.07.31_TheIpswichJournal_0004,1824.07.28_MorningChronicle_0003
1824.07.31_TheLeedsMercury_0002,1824.07.29_MorningChronicle_0002
1824.07.31_TheNewcastleCourantetc_0001,1824.07.28_TheDerbyMercury_0001
1824.07.31_TheNewcastleCourantetc_0002,1824.07.24_CaledonianMercury_0004
1824.07.31_TheNewcastleCourantetc_0003,1824.07.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.07.31_TheNewcastleCourantetc_0004,1824.07.28_MorningChronicle_0001
1824.08.01_TheExaminer_0004,1824.07.24_TheLeedsMercury_0003
1824.08.01_TheExaminer_0013,1824.07.31_CaledonianMercury_0002
1824.08.02_CaledonianMercury_0001,1824.07.26_MorningChronicle_0001
1824.08.02_CaledonianMercury_0002,1824.07.29_MorningChronicle_0002
1824.08.02_CaledonianMercury_0004,1824.07.23_MorningChronicle_0002
1824.08.02_HampshireTelegraphandSussexChronicleetc_0003,1824.07.29_MorningChronicle_0003
1824.08.04_MorningChronicle_0002,1824.07.31_CaledonianMercury_0003
1824.08.04_TheAberdeenJournal_0002,1824.07.31_TheNewcastleCourantetc_0004
1824.08.04_TheAberdeenJournal_0004,1824.07.19_CaledonianMercury_0002
1824.08.04_TheDerbyMercury_0001,1824.07.31_TheNewcastleCourantetc_0003
1824.08.04_TheDerbyMercury_0002,1824.07.31_MorningChronicle_0002
1824.08.05_CaledonianMercury_0002,1824.07.31_MorningChronicle_0002
1824.08.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.07.28_TheDerbyMercury_0001
1824.08.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.07.29_MorningChronicle_0003
1824.08.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.07.28_TheDerbyMercury_0001
1824.08.06_LiverpoolMercuryetc_0002,1824.07.29_MorningChronicle_0003
1824.08.07_TheIpswichJournal_0001,1824.07.10_TheNewcastleCourantetc_0003
1824.08.07_TheIpswichJournal_0004,1824.07.30_MorningChronicle_0004
1824.08.07_TheLeedsMercury_0002,1824.07.31_MorningChronicle_0002
1824.08.07_TheNewcastleCourantetc_0002,1824.07.29_MorningChronicle_0004
1824.08.07_TheNewcastleCourantetc_0003,1824.07.17_TheIpswichJournal_0001
1824.08.07_TheNewcastleCourantetc_0004,1824.07.31_MorningChronicle_0002
1824.08.11_TheAberdeenJournal_0004,1824.07.29_MorningChronicle_0003
1824.08.11_TheDerbyMercury_0001,1824.07.31_TheNewcastleCourantetc_0003
1824.08.16_CaledonianMercury_0003,1824.07.29_MorningChronicle_0003
1824.08.16_CaledonianMercury_0004,1824.07.29_MorningChronicle_0002
1824.08.18_MorningChronicle_0004,1824.07.16_LiverpoolMercuryetc_0002
1824.08.18_TheDerbyMercury_0004,1824.07.31_TheLeedsMercury_0004
1824.08.21_TheIpswichJournal_0001,1824.07.31_TheNewcastleCourantetc_0003
1824.08.25_MorningChronicle_0001,1824.07.29_CaledonianMercury_0002
1824.08.28_CaledonianMercury_0004,1824.07.26_MorningChronicle_0002
1824.08.28_TheNewcastleCourantetc_0003,1824.07.16_LiverpoolMercuryetc_0003
1824.08.29_TheExaminer_0015,1824.07.17_TheNewcastleCourantetc_0001
1824.08.30_CaledonianMercury_0002,1824.07.28_TheDerbyMercury_0004
1824.09.01_TheDerbyMercury_0001,1824.07.17_TheNewcastleCourantetc_0003
1824.09.01_TheDerbyMercury_0004,1824.07.16_LiverpoolMercuryetc_0002
1824.09.04_TheIpswichJournal_0001,1824.07.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.09.04_TheLeedsMercury_0001,1824.07.17_TheIpswichJournal_0001
1824.09.22_TheDerbyMercury_0004,1824.07.05_MorningChronicle_0003
1824.10.06_TheDerbyMercury_0002,1824.07.03_TheNewcastleCourantetc_0003
1824.10.22_MorningChronicle_0002,1824.07.26_CaledonianMercury_0002
1824.10.30_TheIpswichJournal_0004,1824.07.26_CaledonianMercury_0002
1824.11.08_HampshireTelegraphandSussexChronicleetc_0001,1824.07.28_TheDerbyMercury_0003
1824.12.31_LiverpoolMercuryetc_0003,1824.07.26_CaledonianMercury_0001
1825.01.05_TheDerbyMercury_0001,1824.07.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1825.01.08_TheNewcastleCourantetc_0001,1824.07.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1825.01.09_TheExaminer_0015,1824.07.29_MorningChronicle_0001
1825.01.11_TheMorningChronicle_0001,1824.07.25_TheExaminer_0015
1825.01.14_LiverpoolMercuryetc_0003,1824.07.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1825.01.15_TheNewcastleCourantetc_0001,1824.07.25_TheExaminer_0015
1825.01.15_TheNewcastleCourantetc_0003,1824.07.17_TheIpswichJournal_0001
1825.01.16_TheExaminer_0013,1824.07.29_MorningChronicle_0001
1825.01.19_TheDerbyMercury_0001,1824.07.17_TheIpswichJournal_0001
1825.01.22_TheMorningChronicle_0001,1824.07.10_TheIpswichJournal_0001
1825.01.22_TheNewcastleCourantetc_0003,1824.07.25_TheExaminer_0015
1825.01.23_TheExaminer_0016,1824.07.22_MorningChronicle_0004
1825.01.26_TheDerbyMercury_0001,1824.07.31_TheNewcastleCourantetc_0003
1825.01.29_TheIpswichJournal_0001,1824.07.17_TheNewcastleCourantetc_0003
1825.02.01_TheMorningChronicle_0001,1824.07.17_TheIpswichJournal_0001
1825.02.02_TheDerbyMercury_0004,1824.07.26_CaledonianMercury_0002
