1824.01.03_CaledonianMercury_0002,1824.01.01_TheMorningChronicle_0002
1824.01.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.01.12_TheMorningChronicle_0002
1824.01.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.01.07_TheMorningChronicle_S0002
1824.01.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.01.08_TheMorningChronicle_0001
1824.01.16_LiverpoolMercuryetc_0002,1824.01.15_CaledonianMercury_0002
1824.01.17_CaledonianMercury_0002,1824.01.14_TheMorningChronicle_0002
1824.01.17_CaledonianMercury_0004,1824.01.13_TheMorningChronicle_0002
1824.01.17_Cobbett'sWeeklyPoliticalRegister_0013,1824.01.14_TheMorningChronicle_0002
1824.01.17_TheIpswichJournal_0001,1824.01.09_TheMorningChronicle_0004
1824.01.17_TheIpswichJournal_0002,1824.01.14_TheMorningChronicle_0003
1824.01.17_TheIpswichJournal_0004,1824.01.12_TheMorningChronicle_0003
1824.01.17_TheLeedsMercury_0004,1824.01.11_TheExaminer_0008
1824.01.17_TheNewcastleCourantetc_0002,1824.01.14_TheDerbyMercury_0002
1824.01.18_TheExaminer_0003,1824.01.16_TheMorningChronicle_0001
1824.01.18_TheExaminer_0004,1824.01.16_TheMorningChronicle_0001
1824.01.18_TheExaminer_0005,1824.01.16_TheMorningChronicle_0001
1824.01.18_TheExaminer_0006,1824.01.16_TheMorningChronicle_0002
1824.01.18_TheExaminer_0007,1824.01.16_TheMorningChronicle_0002
1824.01.18_TheExaminer_0008,1824.01.16_TheMorningChronicle_0002
1824.01.18_TheExaminer_0009,1824.01.14_TheMorningChronicle_0002
1824.01.18_TheExaminer_0011,1824.01.14_TheMorningChronicle_0003
1824.01.18_TheExaminer_0012,1824.01.15_TheMorningChronicle_0003
1824.01.18_TheExaminer_0013,1824.01.13_TheMorningChronicle_0004
1824.01.18_TheExaminer_0014,1824.01.14_TheMorningChronicle_0004
1824.01.18_TheExaminer_0015,1824.01.12_TheMorningChronicle_0004
1824.01.19_CaledonianMercury_0002,1824.01.16_TheMorningChronicle_0003
1824.01.19_CaledonianMercury_0003,1824.01.13_TheMorningChronicle_0003
1824.01.19_CaledonianMercury_0004,1824.01.09_TheMorningChronicle_0002
1824.01.19_HampshireTelegraphandSussexChronicleetc_0001,1824.01.15_TheMorningChronicle_0003
1824.01.19_HampshireTelegraphandSussexChronicleetc_0003,1824.01.16_TheMorningChronicle_0003
1824.01.19_TheBristolMercury_0001,1824.01.12_TheMorningChronicle_0003
1824.01.19_TheBristolMercury_0002,1824.01.16_TheMorningChronicle_0003
1824.01.19_TheBristolMercury_0004,1824.01.12_TheMorningChronicle_0003
1824.01.19_TheMorningChronicle_0004,1824.01.11_TheExaminer_0015
1824.01.20_TheMorningChronicle_0004,1824.01.19_HampshireTelegraphandSussexChronicleetc_0004
1824.01.21_TheDerbyMercury_0001,1824.01.03_TheIpswichJournal_0003
1824.01.21_TheDerbyMercury_0002,1824.01.19_CaledonianMercury_0003
1824.01.21_TheDerbyMercury_0004,1824.01.19_CaledonianMercury_0002
1824.01.22_CaledonianMercury_0001,1824.01.20_TheMorningChronicle_0001
1824.01.22_CaledonianMercury_0002,1824.01.19_TheMorningChronicle_0002
1824.01.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.01.21_TheDerbyMercury_0004
1824.01.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.01.21_TheDerbyMercury_0002
1824.01.24_CaledonianMercury_0002,1824.01.21_TheMorningChronicle_0002
1824.01.24_CaledonianMercury_0004,1824.01.20_TheMorningChronicle_0004
1824.01.24_Cobbett'sWeeklyPoliticalRegister_0004,1824.01.18_TheExaminer_0003
1824.01.24_Cobbett'sWeeklyPoliticalRegister_0005,1824.01.18_TheExaminer_0003
1824.01.24_Cobbett'sWeeklyPoliticalRegister_0008,1824.01.18_TheExaminer_0004
1824.01.24_Cobbett'sWeeklyPoliticalRegister_0009,1824.01.18_TheExaminer_0004
1824.01.24_TheIpswichJournal_0001,1824.01.21_TheDerbyMercury_0001
1824.01.24_TheIpswichJournal_0002,1824.01.21_TheMorningChronicle_0004
1824.01.24_TheIpswichJournal_0003,1824.01.20_TheMorningChronicle_0001
1824.01.24_TheIpswichJournal_0004,1824.01.20_TheMorningChronicle_0004
1824.01.24_TheLeedsMercury_0002,1824.01.21_TheMorningChronicle_0002
1824.01.24_TheLeedsMercury_0003,1824.01.21_TheDerbyMercury_0002
1824.01.24_TheLeedsMercury_0004,1824.01.16_TheMorningChronicle_0001
1824.01.24_TheNewcastleCourantetc_0002,1824.01.15_TheMorningChronicle_0004
1824.01.24_TheNewcastleCourantetc_0003,1824.01.03_TheIpswichJournal_0001
1824.01.24_TheNewcastleCourantetc_0004,1824.01.21_TheMorningChronicle_0002
1824.01.25_TheExaminer_0003,1824.01.22_TheMorningChronicle_0002
1824.01.25_TheExaminer_0010,1824.01.20_TheMorningChronicle_0003
1824.01.25_TheExaminer_0013,1824.01.24_CaledonianMercury_0002
1824.01.26_CaledonianMercury_0002,1824.01.23_TheMorningChronicle_0002
1824.01.26_CaledonianMercury_0004,1824.01.17_TheMorningChronicle_0003
1824.01.26_HampshireTelegraphandSussexChronicleetc_0002,1824.01.24_TheIpswichJournal_0004
1824.01.26_HampshireTelegraphandSussexChronicleetc_0003,1824.01.19_CaledonianMercury_0004
1824.01.26_TheBristolMercury_0001,1824.01.21_TheDerbyMercury_0002
1824.01.26_TheBristolMercury_0004,1824.01.22_TheMorningChronicle_0004
1824.01.26_TheMorningChronicle_0003,1824.01.25_TheExaminer_0007
1824.01.28_TheDerbyMercury_0001,1824.01.24_TheMorningChronicle_0003
1824.01.28_TheDerbyMercury_0002,1824.01.24_TheMorningChronicle_0002
1824.01.29_CaledonianMercury_0002,1824.01.26_HampshireTelegraphandSussexChronicleetc_0004
1824.01.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.01.28_TheDerbyMercury_0002
1824.01.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.01.20_TheMorningChronicle_0004
1824.01.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.01.24_TheMorningChronicle_0002
1824.01.31_CaledonianMercury_0002,1824.01.28_TheMorningChronicle_0002
1824.01.31_CaledonianMercury_0004,1824.01.26_TheMorningChronicle_0003
1824.01.31_TheIpswichJournal_0001,1824.01.23_TheMorningChronicle_0004
1824.01.31_TheIpswichJournal_0002,1824.01.29_TheMorningChronicle_0004
1824.01.31_TheIpswichJournal_0004,1824.01.26_TheMorningChronicle_0003
1824.01.31_TheLeedsMercury_0004,1824.01.27_TheMorningChronicle_0002
1824.01.31_TheMorningChronicle_0004,1824.01.24_TheLeedsMercury_0003
1824.01.31_TheNewcastleCourantetc_0002,1824.01.27_TheMorningChronicle_0002
1824.01.31_TheNewcastleCourantetc_0004,1824.01.28_TheDerbyMercury_0002
1824.02.01_TheExaminer_0010,1824.01.31_Cobbett'sWeeklyPoliticalRegister_0021
1824.02.01_TheExaminer_0011,1824.01.10_TheMorningChronicle_0004
1824.02.01_TheExaminer_0012,1824.01.30_TheMorningChronicle_0003
1824.02.01_TheExaminer_0013,1824.01.30_TheMorningChronicle_0004
1824.02.01_TheExaminer_0014,1824.01.31_TheMorningChronicle_0004
1824.02.02_CaledonianMercury_0002,1824.01.31_TheMorningChronicle_0002
1824.02.02_CaledonianMercury_0004,1824.01.26_TheMorningChronicle_0003
1824.02.02_HampshireTelegraphandSussexChronicleetc_0002,1824.01.26_TheMorningChronicle_0003
1824.02.02_HampshireTelegraphandSussexChronicleetc_0004,1824.01.31_TheMorningChronicle_0004
1824.02.02_TheBristolMercury_0001,1824.01.26_TheMorningChronicle_0002
1824.02.02_TheBristolMercury_0002,1824.01.31_TheMorningChronicle_0002
1824.02.02_TheBristolMercury_0004,1824.01.26_TheMorningChronicle_0003
1824.02.03_TheMorningChronicle_0003,1824.01.31_CaledonianMercury_0004
1824.02.04_TheAberdeenJournal_0002,1824.01.24_TheMorningChronicle_0002
1824.02.04_TheAberdeenJournal_0004,1824.01.31_CaledonianMercury_0004
1824.02.04_TheDerbyMercury_0001,1824.01.31_TheIpswichJournal_0003
1824.02.04_TheDerbyMercury_0002,1824.01.29_TheMorningChronicle_0004
1824.02.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.01.28_TheDerbyMercury_0001
1824.02.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.01.30_TheMorningChronicle_0004
1824.02.06_TheMorningChronicle_0003,1824.01.25_TheExaminer_0010
1824.02.07_TheNewcastleCourantetc_0002,1824.01.30_LiverpoolMercuryetc_0002
1824.02.07_TheNewcastleCourantetc_0003,1824.01.31_TheIpswichJournal_0003
1824.02.09_CaledonianMercury_0001,1824.01.11_TheExaminer_0015
1824.02.09_HampshireTelegraphandSussexChronicleetc_0003,1824.01.24_TheIpswichJournal_0001
1824.02.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.01.26_HampshireTelegraphandSussexChronicleetc_0001
1824.02.14_TheLeedsMercury_0004,1824.01.28_TheDerbyMercury_0004
1824.02.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.01.03_TheIpswichJournal_0001
1824.02.21_TheNewcastleCourantetc_0002,1824.01.19_CaledonianMercury_0003
1824.02.21_TheNewcastleCourantetc_0003,1824.01.24_TheIpswichJournal_0001
1824.03.10_TheDerbyMercury_0001,1824.01.31_TheNewcastleCourantetc_0003
1824.03.31_TheDerbyMercury_0001,1824.01.31_TheNewcastleCourantetc_0003
1824.04.14_TheDerbyMercury_0001,1824.01.31_TheNewcastleCourantetc_0003
1824.04.16_LiverpoolMercuryetc_0002,1824.01.13_TheMorningChronicle_0002
1824.04.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.01.24_TheNewcastleCourantetc_0003
1824.05.01_TheNewcastleCourantetc_0004,1824.01.14_TheDerbyMercury_0001
1824.05.05_TheDerbyMercury_0001,1824.01.31_TheNewcastleCourantetc_0003
1824.05.05_TheDerbyMercury_0004,1824.01.03_TheIpswichJournal_0001
1824.05.15_TheLeedsMercury_0004,1824.01.24_TheNewcastleCourantetc_0003
1824.05.29_TheLeedsMercury_0004,1824.01.03_TheIpswichJournal_0001
1824.06.02_TheDerbyMercury_0001,1824.01.31_TheNewcastleCourantetc_0003
1824.06.12_TheIpswichJournal_0001,1824.01.24_TheNewcastleCourantetc_0003
1824.06.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.01.11_TheExaminer_0016
1824.07.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.01.03_TheIpswichJournal_0003
1824.07.10_TheIpswichJournal_0001,1824.01.24_TheNewcastleCourantetc_0003
1824.07.26_CaledonianMercury_0001,1824.01.30_LiverpoolMercuryetc_0001
1824.07.28_TheDerbyMercury_0001,1824.01.31_TheNewcastleCourantetc_0003
1824.08.07_TheIpswichJournal_0001,1824.01.30_LiverpoolMercuryetc_0001
