1801.06.04_CaledonianMercury_0002,1801.06.01_MorningChronicle_0002
1801.07.25_Jackson'sOxfordJournal_0001,1801.06.24_MorningChronicle_0004
1801.07.30_CaledonianMercury_0001,1801.06.16_MorningChronicle_0001
1801.08.06_TheDerbyMercury_0003,1801.06.16_TheHullPacket_0004
1801.08.08_Jackson'sOxfordJournal_0001,1801.06.24_MorningChronicle_0004
1801.08.08_TheIpswichJournal_0004,1801.06.30_TheHullPacket_0002
1801.08.12_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.08.13_Trewman'sExeterFlyingPost_0003,1801.06.11_TheDerbyMercury_0004
1801.08.15_CaledonianMercury_0004,1801.06.16_MorningChronicle_0001
1801.08.15_Jackson'sOxfordJournal_0003,1801.06.24_MorningChronicle_0004
1801.08.15_Jackson'sOxfordJournal_0004,1801.06.29_CaledonianMercury_0001
1801.08.21_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.08.25_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.09.01_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.09.05_Jackson'sOxfordJournal_0004,1801.06.20_CaledonianMercury_0001
1801.09.24_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.09.24_TheDerbyMercury_0003,1801.06.09_TheHullPacket_0004
1801.09.24_Trewman'sExeterFlyingPost_0003,1801.06.27_Jackson'sOxfordJournal_0002
1801.09.30_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.10.15_Trewman'sExeterFlyingPost_0003,1801.06.20_TheIpswichJournal_0004
1801.10.19_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.10.22_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.11.05_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.11.26_Trewman'sExeterFlyingPost_0002,1801.06.25_TheDerbyMercury_0003
1801.12.12_Jackson'sOxfordJournal_0004,1801.06.08_CaledonianMercury_0003
1801.12.17_Trewman'sExeterFlyingPost_0003,1801.06.25_TheDerbyMercury_0003
