1829.05.02_TheManchesterTimes_0007,1829.05.01_TheBelfastNews-Letter_0002
1829.06.06_Cobbett'sWeeklyPoliticalRegister_0009,1829.05.27_TheDerbyMercury_0002
1829.06.06_Cobbett'sWeeklyPoliticalRegister_0010,1829.05.27_TheDerbyMercury_0002
1829.06.06_TheLeedsMercury_0004,1829.05.19_TheHullPacketandHumberMercury_0004
1829.06.06_TheManchesterTimesandGazette_0002,1829.05.26_TheHullPacketandHumberMercury_0001
1829.06.06_TheNewcastleCourantetc_0002,1829.05.30_TheMorningChronicle_0003
1829.06.06_TheNewcastleCourantetc_0003,1829.05.06_TheDerbyMercury_0001
1829.06.06_TheNewcastleCourantetc_0004,1829.05.30_TheMorningChronicle_0002
1829.06.07_TheExaminer_0014,1829.05.12_TheHullPacketandHumberMercury_0001
1829.06.07_TheExaminer_0015,1829.05.11_TheMorningChronicle_0002
1829.06.09_TheHullPacketandHumberMercury_0001,1829.05.27_TheDerbyMercury_0001
1829.06.09_TheMorningChronicle_0003,1829.05.23_CaledonianMercury_0004
1829.06.10_TheAberdeenJournal_0001,1829.05.25_CaledonianMercury_0001
1829.06.13_TheManchesterTimesandGazette_0002,1829.05.27_TheDerbyMercury_0002
1829.06.15_HampshireTelegraphandSussexChronicleetc_0002,1829.05.23_TheNewcastleCourantetc_0002
1829.06.17_TheAberdeenJournal_0004,1829.05.29_TheMorningChronicle_0004
1829.06.20_TheManchesterTimesandGazette_0001,1829.05.26_TheHullPacketandHumberMercury_0001
1829.06.20_TheNewcastleCourantetc_0004,1829.05.05_TheHullPacketandHumberMercury_0001
1829.06.23_TheHullPacketandHumberMercury_0001,1829.05.06_TheDerbyMercury_0001
1829.06.24_TheDerbyMercury_0001,1829.05.23_TheManchesterTimes_0004
1829.06.26_TheMorningChronicle_0003,1829.05.21_CaledonianMercury_0004
1829.06.27_TheNewcastleCourantetc_0003,1829.05.04_CaledonianMercury_0001
1829.06.29_CaledonianMercury_0001,1829.05.02_TheNewcastleCourantetc_0003
1829.06.30_TheHullPacketandHumberMercury_0001,1829.05.16_TheNewcastleCourantetc_0001
1829.07.01_TheAberdeenJournal_0001,1829.05.23_TheNewcastleCourantetc_0002
1829.07.01_TheDerbyMercury_0001,1829.05.23_TheNewcastleCourantetc_0003
1829.07.01_TheDerbyMercury_0002,1829.05.02_TheManchesterTimes_0004
1829.07.04_TheNewcastleCourantetc_0003,1829.05.20_TheDerbyMercury_0001
1829.07.07_TheBristolMercury_0004,1829.05.23_CaledonianMercury_0004
1829.07.08_TheDerbyMercury_0001,1829.05.23_TheNewcastleCourantetc_0003
1829.07.11_TheManchesterTimesandGazette_0001,1829.05.27_TheDerbyMercury_0001
1829.07.11_TheNewcastleCourantetc_0003,1829.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1829.07.22_TheAberdeenJournal_0001,1829.05.27_TheDerbyMercury_0001
1829.07.22_TheDerbyMercury_0004,1829.05.08_LiverpoolMercuryetc_0007
1829.07.25_TheManchesterTimesandGazette_0001,1829.05.23_TheManchesterTimes_0004
1829.07.25_TheNewcastleCourantetc_0003,1829.05.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1829.07.29_TheDerbyMercury_0001,1829.05.26_TheHullPacketandHumberMercury_0001
1829.08.01_TheNewcastleCourantetc_0001,1829.05.26_TheHullPacketandHumberMercury_0001
1829.08.04_TheBristolMercury_0001,1829.05.20_TheDerbyMercury_0001
1829.08.08_TheNewcastleCourantetc_0003,1829.05.20_TheDerbyMercury_0001
1829.08.09_TheExaminer_0015,1829.05.26_TheHullPacketandHumberMercury_0001
1829.08.12_TheAberdeenJournal_0001,1829.05.12_TheHullPacketandHumberMercury_0001
1829.08.12_TheDerbyMercury_0002,1829.05.16_TheLeedsMercury_0001
1829.08.26_TheAberdeenJournal_0004,1829.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1829.08.26_TheDerbyMercury_0001,1829.05.23_TheManchesterTimes_0004
1829.09.01_TheHullPacketandHumberMercury_0001,1829.05.18_TheMorningChronicle_0001
1829.09.04_LiverpoolMercuryetc_0003,1829.05.18_TheMorningChronicle_0001
1829.09.05_TheNewcastleCourantetc_0003,1829.05.18_TheMorningChronicle_0001
1829.09.08_TheBristolMercury_0004,1829.05.15_TheBelfastNews-Letter_0004
1829.09.08_TheHullPacketandHumberMercury_0001,1829.05.02_TheNewcastleCourantetc_0003
1829.09.12_TheNewcastleCourantetc_0001,1829.05.15_TheBelfastNews-Letter_0004
1829.09.13_TheExaminer_0015,1829.05.11_TheMorningChronicle_0002
1829.09.16_TheDerbyMercury_0001,1829.05.30_TheNewcastleCourantetc_0003
1829.09.30_TheDerbyMercury_0001,1829.05.30_TheNewcastleCourantetc_0003
1829.10.07_TheAberdeenJournal_0004,1829.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1829.10.30_LiverpoolMercuryetc_0007,1829.05.15_TheBelfastNews-Letter_0004
1829.11.04_TheDerbyMercury_0001,1829.05.02_TheNewcastleCourantetc_0003
1829.11.06_LiverpoolMercuryetc_0007,1829.05.30_TheLeedsMercury_0004
