1801.09.02_TheAberdeenJournal_0002,1801.09.01_TheHullPacket_0004
1801.09.17_Trewman'sExeterFlyingPost_0003,1801.09.12_Jackson'sOxfordJournal_0004
1801.09.19_CaledonianMercury_0001,1801.09.01_TheHullPacket_0002
1801.09.19_CaledonianMercury_0002,1801.09.16_MorningChronicle_0002
1801.09.19_CaledonianMercury_0003,1801.09.16_MorningChronicle_0002
1801.09.19_Jackson'sOxfordJournal_0001,1801.09.17_Trewman'sExeterFlyingPost_0002
1801.09.19_Jackson'sOxfordJournal_0002,1801.09.17_MorningChronicle_0003
1801.09.19_Jackson'sOxfordJournal_0004,1801.09.17_CaledonianMercury_0002
1801.09.19_TheIpswichJournal_0003,1801.09.17_Trewman'sExeterFlyingPost_0002
1801.09.21_CaledonianMercury_0001,1801.09.12_Jackson'sOxfordJournal_0004
1801.09.21_CaledonianMercury_0002,1801.09.18_MorningChronicle_0002
1801.09.21_CaledonianMercury_0003,1801.09.17_MorningChronicle_0003
1801.09.23_TheAberdeenJournal_0002,1801.09.19_CaledonianMercury_0002
1801.09.23_TheAberdeenJournal_0003,1801.09.14_CaledonianMercury_0003
1801.09.24_CaledonianMercury_0001,1801.09.12_Jackson'sOxfordJournal_0004
1801.09.24_CaledonianMercury_0002,1801.09.21_MorningChronicle_0002
1801.09.24_TheDerbyMercury_0002,1801.09.21_CaledonianMercury_0003
1801.09.24_TheDerbyMercury_0003,1801.09.12_Jackson'sOxfordJournal_0004
1801.09.24_Trewman'sExeterFlyingPost_0001,1801.09.17_MorningChronicle_0002
1801.09.24_Trewman'sExeterFlyingPost_0002,1801.09.10_CaledonianMercury_0001
1801.09.24_Trewman'sExeterFlyingPost_0003,1801.09.05_TheIpswichJournal_0004
1801.09.26_CaledonianMercury_0001,1801.09.01_TheHullPacket_0002
1801.09.26_CaledonianMercury_0002,1801.09.24_MorningChronicle_0002
1801.09.26_Jackson'sOxfordJournal_0002,1801.09.23_MorningChronicle_0003
1801.09.26_Jackson'sOxfordJournal_0004,1801.09.19_MorningChronicle_0002
1801.09.28_CaledonianMercury_0003,1801.09.25_MorningChronicle_0003
1801.09.28_CaledonianMercury_0004,1801.09.19_Jackson'sOxfordJournal_0004
1801.09.30_TheAberdeenJournal_0002,1801.09.21_MorningChronicle_0003
1801.09.30_TheAberdeenJournal_0003,1801.09.24_CaledonianMercury_0003
1801.10.01_CaledonianMercury_0002,1801.09.28_MorningChronicle_0002
1801.10.01_TheDerbyMercury_0002,1801.09.26_Jackson'sOxfordJournal_0002
1801.10.01_TheDerbyMercury_0003,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.10.03_CaledonianMercury_0002,1801.09.30_MorningChronicle_0002
1801.10.03_Jackson'sOxfordJournal_0001,1801.09.17_Trewman'sExeterFlyingPost_0003
1801.10.03_Jackson'sOxfordJournal_0004,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.10.03_TheIpswichJournal_0004,1801.09.24_TheDerbyMercury_0003
1801.10.05_CaledonianMercury_0001,1801.09.01_TheHullPacket_0002
1801.10.10_Jackson'sOxfordJournal_0002,1801.09.17_Trewman'sExeterFlyingPost_0003
1801.10.12_CaledonianMercury_0001,1801.09.23_TheAberdeenJournal_0001
1801.10.13_TheHullPacket_0004,1801.09.12_Jackson'sOxfordJournal_0004
1801.10.15_MorningChronicle_0001,1801.09.12_Jackson'sOxfordJournal_0004
1801.10.16_MorningChronicle_0004,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.10.17_Jackson'sOxfordJournal_0001,1801.09.17_TheDerbyMercury_0003
1801.10.19_CaledonianMercury_0001,1801.09.12_Jackson'sOxfordJournal_0004
1801.10.22_TheDerbyMercury_0003,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.10.22_Trewman'sExeterFlyingPost_0002,1801.09.24_TheDerbyMercury_0003
1801.10.24_CaledonianMercury_0003,1801.09.12_TheIpswichJournal_0004
1801.10.29_Trewman'sExeterFlyingPost_0003,1801.09.17_TheDerbyMercury_0003
1801.10.31_TheIpswichJournal_0001,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.10.31_TheIpswichJournal_0004,1801.09.12_Jackson'sOxfordJournal_0004
1801.11.05_Trewman'sExeterFlyingPost_0002,1801.09.12_TheIpswichJournal_0004
1801.11.12_MorningChronicle_0004,1801.09.12_Jackson'sOxfordJournal_0004
1801.11.17_TheHullPacket_0001,1801.09.12_Jackson'sOxfordJournal_0004
1801.11.21_TheIpswichJournal_0001,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.11.26_Trewman'sExeterFlyingPost_0002,1801.09.17_TheDerbyMercury_0003
1801.12.03_Trewman'sExeterFlyingPost_0002,1801.09.05_Jackson'sOxfordJournal_0004
1801.12.03_Trewman'sExeterFlyingPost_0003,1801.09.10_TheDerbyMercury_0003
1801.12.11_MorningChronicle_0004,1801.09.12_Jackson'sOxfordJournal_0004
1801.12.12_Jackson'sOxfordJournal_0002,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.12.15_TheHullPacket_0004,1801.09.05_MorningChronicle_0001
1801.12.17_TheDerbyMercury_0003,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.12.17_Trewman'sExeterFlyingPost_0003,1801.09.17_TheDerbyMercury_0003
1801.12.19_Jackson'sOxfordJournal_0002,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.12.24_Trewman'sExeterFlyingPost_0002,1801.09.24_TheDerbyMercury_0003
1801.12.24_Trewman'sExeterFlyingPost_0003,1801.09.10_TheDerbyMercury_0003
1801.12.26_Jackson'sOxfordJournal_0002,1801.09.24_Trewman'sExeterFlyingPost_0003
1801.12.31_Trewman'sExeterFlyingPost_0002,1801.09.12_Jackson'sOxfordJournal_0004
1802.01.02_Jackson'sOxfordJournal_0001,1801.09.24_TheDerbyMercury_0003
1802.01.06_TheMorningChronicle_0004,1801.09.17_MorningChronicle_0004
1802.01.11_CaledonianMercury_0004,1801.09.24_Trewman'sExeterFlyingPost_0001
1802.01.16_Jackson'sOxfordJournal_0001,1801.09.24_TheDerbyMercury_0003
1802.01.16_Jackson'sOxfordJournal_0002,1801.09.10_TheDerbyMercury_0003
1802.01.16_TheMorningChronicle_0004,1801.09.09_MorningChronicle_0004
1802.01.20_TheMorningChronicle_0004,1801.09.09_MorningChronicle_0004
1802.01.21_Trewman'sExeterFlyingPost_0002,1801.09.10_TheDerbyMercury_0003
1802.01.30_Cobbett'sAnnualRegister_0006,1801.09.01_MorningChronicle_0002
1802.01.30_Cobbett'sAnnualRegister_0007,1801.09.01_MorningChronicle_0002
1802.02.04_Trewman'sExeterFlyingPost_0002,1801.09.17_TheDerbyMercury_0003
1802.02.04_Trewman'sExeterFlyingPost_0003,1801.09.12_Jackson'sOxfordJournal_0004
1802.02.06_Jackson'sOxfordJournal_0001,1801.09.17_Trewman'sExeterFlyingPost_0003
1802.02.20_Cobbett'sAnnualRegister_0001,1801.09.14_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0006
1802.02.22_TheMorningChronicle_0001,1801.09.26_MorningChronicle_0001
1802.02.25_Trewman'sExeterFlyingPost_0002,1801.09.12_Jackson'sOxfordJournal_0004
1802.03.27_Jackson'sOxfordJournal_0004,1801.09.24_Trewman'sExeterFlyingPost_0003
