1825.03.04_LiverpoolMercuryetc_0005,1825.03.03_CaledonianMercury_0001
1825.04.09_TheNewcastleCourantetc_0002,1825.03.10_TheMorningChronicle_0001
1825.04.13_TheDerbyMercury_0004,1825.03.24_CaledonianMercury_0004
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0021,1825.03.26_TheMorningChronicle_0003
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0022,1825.03.26_TheMorningChronicle_0003
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0024,1825.03.26_TheMorningChronicle_0003
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0025,1825.03.26_TheMorningChronicle_0003
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0026,1825.03.26_TheMorningChronicle_0003
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0027,1825.03.26_TheMorningChronicle_0003
1825.04.16_TheLeedsMercury_0001,1825.03.10_TheMorningChronicle_0001
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.03.16_TheDerbyMercury_0002
1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1825.03.23_TheDerbyMercury_0001
1825.04.22_LiverpoolMercuryetc_0003,1825.03.23_TheDerbyMercury_0001
1825.04.23_TheLeedsMercury_0004,1825.03.18_LiverpoolMercuryetc_0003
1825.04.25_TheBristolMercury_0002,1825.03.30_TheAberdeenJournal_0004
1825.04.27_TheDerbyMercury_0004,1825.03.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1825.05.02_HampshireTelegraphandSussexChronicleetc_0001,1825.03.23_TheDerbyMercury_0001
1825.05.02_HampshireTelegraphandSussexChronicleetc_0002,1825.03.27_TheExaminer_0015
1825.05.16_TheBristolMercury_0003,1825.03.23_TheAberdeenJournal_0004
1825.05.18_TheDerbyMercury_0002,1825.03.12_Cobbett'sWeeklyPoliticalRegister_0030
1825.05.25_TheDerbyMercury_0004,1825.03.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1825.06.13_TheBristolMercury_0002,1825.03.18_LiverpoolMercuryetc_0003
1825.06.23_CaledonianMercury_0001,1825.03.25_LiverpoolMercuryetc_0003
1825.06.27_CaledonianMercury_0001,1825.03.23_TheDerbyMercury_0004
1825.07.04_HampshireTelegraphandSussexChronicleetc_0001,1825.03.25_LiverpoolMercuryetc_0003
1825.07.09_TheIpswichJournal_0004,1825.03.18_LiverpoolMercuryetc_0003
1825.07.27_TheDerbyMercury_0001,1825.03.06_TheExaminer_0013
1825.08.13_TheIpswichJournal_0001,1825.03.06_TheExaminer_0013
1825.08.13_TheNewcastleCourantetc_0003,1825.03.09_TheDerbyMercury_0003
1825.09.21_MorningChronicle_0002,1825.03.23_TheMorningChronicle_0003
