1831.11.02_TheDerbyMercury_0001,1831.11.01_TheBristolMercury_0002
1831.11.14_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.08_NorthWalesChronicle_0001
1831.11.14_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.11.13_TheExaminer_0010
1831.11.14_HampshireTelegraphandSussexChronicleetc_0002,1831.11.12_TheNewcastleCourantetc_0002
1831.11.15_NorthWalesChronicle_0001,1831.11.09_TheDerbyMercury_0001
1831.11.15_TheBelfastNews-Letter_0001,1831.11.14_HampshireTelegraphandSussexChronicleetc_0002
1831.11.15_TheBelfastNews-Letter_0002,1831.11.14_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.11.15_TheBelfastNews-Letter_0004,1831.11.01_TheHullPacketandHumberMercury_0004
1831.11.15_TheBristolMercury_0001,1831.11.08_TheBelfastNews-Letter_0002
1831.11.15_TheBristolMercury_0004,1831.11.12_Cobbett'sWeeklyPoliticalRegister_0015
1831.11.15_TheHullPacketandHumberMercury_0004,1831.11.09_TheDerbyMercury_0002
1831.11.16_TheAberdeenJournal_0004,1831.11.12_ThePoorMan'sGuardian_0007
1831.11.17_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.11.13_TheExaminer_0005
1831.11.18_LiverpoolMercuryetc_0002,1831.11.15_TheBelfastNews-Letter_0002
1831.11.18_LiverpoolMercuryetc_0005,1831.11.09_TheDerbyMercury_0001
1831.11.18_LiverpoolMercuryetc_0007,1831.11.09_TheDerbyMercury_0004
1831.11.18_TheBelfastNews-Letter_0001,1831.11.15_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.18_TheBelfastNews-Letter_0003,1831.11.15_TheBristolMercury_0001
1831.11.19_CaledonianMercury_0004,1831.11.18_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.19_TheManchesterTimesandGazette_0003,1831.11.13_TheExaminer_0002
1831.11.19_TheNewcastleCourantetc_0002,1831.11.15_TheHullPacketandHumberMercury_0002
1831.11.19_TheNewcastleCourantetc_0003,1831.11.16_TheDerbyMercury_0001
1831.11.19_TheNewcastleCourantetc_0004,1831.11.18_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.11.19_ThePoorMan'sGuardian_0006,1831.11.15_TheHullPacketandHumberMercury_0002
1831.11.20_TheExaminer_0015,1831.11.18_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.11.21_HampshireTelegraphandSussexChronicleetc_0002,1831.11.19_TheNewcastleCourantetc_0002
1831.11.22_NorthWalesChronicle_0001,1831.11.12_PrestonChronicle_0002
1831.11.22_NorthWalesChronicle_0004,1831.11.21_HampshireTelegraphandSussexChronicleetc_0002
1831.11.22_TheBelfastNews-Letter_0001,1831.11.19_TheNewcastleCourantetc_0004
1831.11.22_TheBelfastNews-Letter_0004,1831.11.17_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.11.22_TheBristolMercury_0004,1831.11.12_ThePoorMan'sGuardian_0007
1831.11.22_TheHullPacketandHumberMercury_0001,1831.11.21_HampshireTelegraphandSussexChronicleetc_0002
1831.11.22_TheHullPacketandHumberMercury_0002,1831.11.12_PrestonChronicle_0002
1831.11.23_Freeman'sJournalandDailyCommercialAdvertiser_0003,1831.11.20_TheExaminer_0006
1831.11.23_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.11.20_TheExaminer_0004
1831.11.23_TheDerbyMercury_0001,1831.11.19_CaledonianMercury_0002
1831.11.23_TheDerbyMercury_0002,1831.11.18_LiverpoolMercuryetc_0006
1831.11.23_TheDerbyMercury_0004,1831.11.22_TheBelfastNews-Letter_0001
1831.11.24_CaledonianMercury_0004,1831.11.20_TheExaminer_0006
1831.11.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1831.11.23_TheDerbyMercury_0001
1831.11.25_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.11.23_TheDerbyMercury_0003
1831.11.25_LiverpoolMercuryetc_0002,1831.11.20_TheExaminer_0011
1831.11.25_TheBelfastNews-Letter_0004,1831.11.18_LiverpoolMercuryetc_0007
1831.11.26_Cobbett'sWeeklyPoliticalRegister_0027,1831.11.21_CaledonianMercury_0002
1831.11.26_TheManchesterTimesandGazette_0001,1831.11.25_LiverpoolMercuryetc_0004
1831.11.26_TheNewcastleCourantetc_0002,1831.11.23_TheDerbyMercury_0001
1831.11.26_TheNewcastleCourantetc_0003,1831.11.23_TheDerbyMercury_0001
1831.11.26_TheNewcastleCourantetc_0004,1831.11.25_TheBelfastNews-Letter_0002
1831.11.27_TheExaminer_0006,1831.11.25_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.28_HampshireTelegraphandSussexChronicleetc_0002,1831.11.26_TheNewcastleCourantetc_0004
1831.11.29_TheBelfastNews-Letter_0001,1831.11.26_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.29_TheBristolMercury_0001,1831.11.28_HampshireTelegraphandSussexChronicleetc_0003
1831.11.29_TheBristolMercury_0002,1831.11.18_LiverpoolMercuryetc_0006
1831.11.29_TheHullPacketandHumberMercury_0001,1831.11.18_LiverpoolMercuryetc_0006
1831.11.29_TheHullPacketandHumberMercury_0002,1831.11.23_TheDerbyMercury_0003
1831.11.29_TheHullPacketandHumberMercury_0004,1831.11.23_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.11.30_Freeman'sJournalandDailyCommercialAdvertiser_0003,1831.11.29_TheBristolMercury_0002
1831.11.30_TheDerbyMercury_0001,1831.11.29_TheHullPacketandHumberMercury_0004
1831.11.30_TheDerbyMercury_0004,1831.11.28_HampshireTelegraphandSussexChronicleetc_0001
1831.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.11.30_TheDerbyMercury_0002
1831.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.11.22_TheBelfastNews-Letter_0003
1831.12.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1831.11.30_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.02_LiverpoolMercuryetc_0002,1831.11.30_TheDerbyMercury_0002
1831.12.02_LiverpoolMercuryetc_0006,1831.11.15_TheBelfastNews-Letter_0004
1831.12.02_LiverpoolMercuryetc_0007,1831.11.05_PrestonChronicle_0003
1831.12.02_TheBelfastNews-Letter_0001,1831.11.30_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.02_TheBelfastNews-Letter_0003,1831.11.01_TheBristolMercury_0001
1831.12.02_TheBelfastNews-Letter_0004,1831.11.29_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.12.03_CaledonianMercury_0003,1831.11.29_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.12.03_CaledonianMercury_0004,1831.11.26_TheManchesterTimesandGazette_0003
1831.12.03_PrestonChronicle_0001,1831.11.29_TheHullPacketandHumberMercury_0002
1831.12.03_PrestonChronicle_0002,1831.11.30_TheDerbyMercury_0003
1831.12.03_PrestonChronicle_0004,1831.11.30_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.12.03_TheManchesterTimesandGazette_0002,1831.11.27_TheExaminer_0002
1831.12.03_TheManchesterTimesandGazette_0003,1831.11.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.12.03_TheManchesterTimesandGazette_0007,1831.11.27_TheExaminer_0012
1831.12.03_TheNewcastleCourantetc_0002,1831.11.28_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.03_TheNewcastleCourantetc_0003,1831.11.29_TheHullPacketandHumberMercury_0001
1831.12.03_TheNewcastleCourantetc_0004,1831.11.30_TheDerbyMercury_0002
1831.12.05_CaledonianMercury_0004,1831.11.29_TheBristolMercury_0001
1831.12.05_HampshireTelegraphandSussexChronicleetc_0003,1831.11.30_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.06_NorthWalesChronicle_0004,1831.11.12_PrestonChronicle_0004
1831.12.06_TheHullPacketandHumberMercury_0002,1831.11.25_TheBelfastNews-Letter_0004
1831.12.07_TheDerbyMercury_0004,1831.11.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.12.08_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.25_TheBelfastNews-Letter_0003
1831.12.09_TheBelfastNews-Letter_0003,1831.11.26_TheNewcastleCourantetc_0001
1831.12.09_TheBelfastNews-Letter_0004,1831.11.22_TheHullPacketandHumberMercury_0004
1831.12.10_PrestonChronicle_0001,1831.11.29_TheHullPacketandHumberMercury_0001
1831.12.10_TheNewcastleCourantetc_0003,1831.11.29_TheHullPacketandHumberMercury_0001
1831.12.13_TheBristolMercury_0001,1831.11.26_TheNewcastleCourantetc_0001
1831.12.13_TheHullPacketandHumberMercury_0004,1831.11.30_TheDerbyMercury_0004
1831.12.16_LiverpoolMercuryetc_0003,1831.11.19_TheNewcastleCourantetc_0003
1831.12.16_LiverpoolMercuryetc_0007,1831.11.18_TheBelfastNews-Letter_0004
1831.12.16_TheBelfastNews-Letter_0004,1831.11.18_LiverpoolMercuryetc_0007
1831.12.17_TheNewcastleCourantetc_0003,1831.11.27_TheExaminer_0015
1831.12.26_HampshireTelegraphandSussexChronicleetc_0002,1831.11.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.12.27_NorthWalesChronicle_0004,1831.11.08_TheBelfastNews-Letter_0004
1831.12.27_TheBristolMercury_0001,1831.11.18_TheBelfastNews-Letter_0003
1831.12.30_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1831.12.31_PrestonChronicle_0003,1831.11.04_LiverpoolMercuryetc_0007
1831.12.31_TheNewcastleCourantetc_0001,1831.11.29_TheBristolMercury_0001
1832.01.03_TheBristolMercury_0002,1831.11.11_LiverpoolMercuryetc_0004
1832.01.03_TheBristolMercury_0004,1831.11.25_TheBelfastNews-Letter_0004
1832.01.07_TheManchesterTimesandGazette_0002,1831.11.15_NorthWalesChronicle_0001
1832.01.08_TheExaminer_0015,1831.11.01_TheHullPacketandHumberMercury_0001
1832.01.10_TheHullPacketandHumberMercury_0001,1831.11.04_LiverpoolMercuryetc_0004
1832.01.13_LiverpoolMercuryetc_0007,1831.11.05_PrestonChronicle_0003
1832.01.13_TheBelfastNews-Letter_0004,1831.11.29_TheBristolMercury_0004
1832.01.14_PrestonChronicle_0003,1831.11.18_LiverpoolMercuryetc_0007
1832.01.20_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.01.26_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.01.30_TheMorningChronicle_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.02.01_TheDerbyMercury_0004,1831.11.04_LiverpoolMercuryetc_0007
1832.02.03_TheBelfastNews-Letter_0004,1831.11.29_TheBristolMercury_0004
1832.02.09_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.02.10_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.02.10_TheBelfastNews-Letter_0003,1831.11.29_TheBristolMercury_0001
1832.02.11_TheManchesterTimesandGazette_0001,1831.11.06_TheExaminer_0015
1832.02.12_TheExaminer_0011,1831.11.22_TheHullPacketandHumberMercury_0001
1832.02.14_TheHullPacketandHumberMercury_0001,1831.11.04_LiverpoolMercuryetc_0004
1832.02.18_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.02.18_PrestonChronicle_0001,1831.11.26_TheManchesterTimesandGazette_0008
1832.02.18_PrestonChronicle_0003,1831.11.18_LiverpoolMercuryetc_0007
1832.02.21_TheHullPacketandHumberMercury_0001,1831.11.11_LiverpoolMercuryetc_0005
1832.02.22_TheDerbyMercury_0001,1831.11.08_TheHullPacketandHumberMercury_0001
1832.02.22_TheDerbyMercury_0002,1831.11.12_PrestonChronicle_0001
1832.02.22_TheDerbyMercury_0003,1831.11.12_ThePoorMan'sGuardian_0007
1832.02.24_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.02.25_TheLeedsMercury_0004,1831.11.05_PrestonChronicle_0003
1832.03.02_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.03.02_TheBelfastNews-Letter_0003,1831.11.04_LiverpoolMercuryetc_0007
1832.03.03_PrestonChronicle_0003,1831.11.04_LiverpoolMercuryetc_0007
1832.03.05_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.03.09_LiverpoolMercuryetc_0003,1831.11.25_TheBelfastNews-Letter_0004
1832.03.16_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.06_TheExaminer_0015
1832.03.16_LiverpoolMercuryetc_0003,1831.11.18_TheBelfastNews-Letter_0004
1832.03.16_TheBelfastNews-Letter_0001,1831.11.18_LiverpoolMercuryetc_0007
1832.03.17_PrestonChronicle_0003,1831.11.18_LiverpoolMercuryetc_0007
1832.03.19_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.03.23_LiverpoolMercuryetc_0007,1831.11.18_TheBelfastNews-Letter_0004
1832.03.24_CaledonianMercury_0001,1831.11.18_LiverpoolMercuryetc_0003
1832.03.24_TheLeedsMercury_0004,1831.11.05_PrestonChronicle_0003
1832.03.26_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.03.27_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.06_TheExaminer_0015
1832.03.27_TheHullPacketandHumberMercury_0002,1831.11.11_LiverpoolMercuryetc_0004
1832.03.30_LiverpoolMercuryetc_0005,1831.11.05_PrestonChronicle_0001
1832.03.30_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.04.05_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.06_TheExaminer_0015
1832.04.12_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.04.13_LiverpoolMercuryetc_0005,1831.11.01_TheHullPacketandHumberMercury_0001
1832.04.13_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.04.14_TheNewcastleCourantetc_0003,1831.11.05_PrestonChronicle_0001
1832.04.15_TheExaminer_0015,1831.11.01_TheHullPacketandHumberMercury_0001
1832.04.16_CaledonianMercury_0001,1831.11.01_TheHullPacketandHumberMercury_0001
1832.04.20_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.04.21_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.04.27_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.04.27_TheBelfastNews-Letter_0004,1831.11.18_LiverpoolMercuryetc_0007
1832.04.28_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.04.28_PrestonChronicle_0003,1831.11.04_LiverpoolMercuryetc_0007
1832.04.30_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.04.30_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.06_TheExaminer_0015
1832.05.01_NorthWalesChronicle_0003,1831.11.25_TheBelfastNews-Letter_0004
1832.05.04_TheBelfastNews-Letter_0004,1831.11.04_LiverpoolMercuryetc_0007
1832.05.05_CaledonianMercury_0001,1831.11.04_LiverpoolMercuryetc_0003
1832.05.05_PrestonChronicle_0003,1831.11.18_LiverpoolMercuryetc_0007
1832.05.07_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.05.08_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.06_TheExaminer_0015
1832.05.11_LiverpoolMercuryetc_0007,1831.11.05_PrestonChronicle_0003
1832.05.17_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.06_TheExaminer_0015
1832.05.24_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.11.06_TheExaminer_0015
1832.05.25_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.05.25_TheBelfastNews-Letter_0004,1831.11.18_LiverpoolMercuryetc_0007
1832.05.26_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.05.26_PrestonChronicle_0003,1831.11.18_LiverpoolMercuryetc_0007
1832.05.30_TheDerbyMercury_0002,1831.11.12_PrestonChronicle_0001
1832.06.01_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.06.02_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.06.02_PrestonChronicle_0003,1831.11.18_LiverpoolMercuryetc_0007
1832.06.04_CaledonianMercury_0001,1831.11.19_TheNewcastleCourantetc_0003
1832.06.08_LiverpoolMercuryetc_0007,1831.11.25_TheBelfastNews-Letter_0004
1832.06.09_PrestonChronicle_0003,1831.11.25_TheBelfastNews-Letter_0004
