1828.06.02_CaledonianMercury_0002,1828.06.01_TheExaminer_0002
1828.06.30_CaledonianMercury_0004,1828.06.24_TheBelfastNews-Letter_0002
1828.07.01_TheBelfastNews-Letter_0004,1828.06.25_TheMorningChronicle_0002
1828.07.01_TheBristolMercury_0001,1828.06.24_TheMorningChronicle_0003
1828.07.01_TheBristolMercury_0004,1828.06.24_TheMorningChronicle_0004
1828.07.01_TheHullPacketandHumberMercury_0001,1828.06.25_TheMorningChronicle_0001
1828.07.01_TheHullPacketandHumberMercury_0002,1828.06.27_TheBelfastNews-Letter_0002
1828.07.01_TheHullPacketandHumberMercury_0003,1828.06.28_TheLeedsMercury_0003
1828.07.01_TheHullPacketandHumberMercury_0004,1828.06.10_TheBelfastNews-Letter_0001
1828.07.02_TheDerbyMercury_0001,1828.06.28_TheNewcastleCourantetc_0003
1828.07.02_TheDerbyMercury_0002,1828.06.26_TheMorningChronicle_0003
1828.07.02_TheDerbyMercury_0004,1828.06.28_TheIpswichJournal_0002
1828.07.03_TheMorningChronicle_0001,1828.06.01_TheExaminer_0015
1828.07.04_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.07.04_TheBelfastNews-Letter_0002,1828.06.30_TheMorningChronicle_0003
1828.07.05_TheIpswichJournal_0004,1828.06.30_TheMorningChronicle_0003
1828.07.05_TheLeedsMercury_0002,1828.06.29_TheExaminer_0008
1828.07.05_TheNewcastleCourantetc_0002,1828.06.27_TheMorningChronicle_0004
1828.07.05_TheNewcastleCourantetc_0003,1828.06.29_TheExaminer_0008
1828.07.08_TheMorningChronicle_0001,1828.06.27_TheBelfastNews-Letter_0004
1828.07.09_TheDerbyMercury_0004,1828.06.18_TheMorningChronicle_0001
1828.07.10_NorthWalesChronicle_0004,1828.06.23_CaledonianMercury_0004
1828.07.11_TheMorningChronicle_0003,1828.06.24_TheHullPacketandHumberMercury_0004
1828.07.12_TheNewcastleCourantetc_0002,1828.06.18_TheMorningChronicle_0001
1828.07.15_TheHullPacketandHumberMercury_0001,1828.06.20_TheMorningChronicle_0001
1828.07.16_TheDerbyMercury_0001,1828.06.14_TheNewcastleCourantetc_0003
1828.07.18_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.07.25_LiverpoolMercuryetc_0007,1828.06.26_NorthWalesChronicle_0003
1828.07.25_TheBelfastNews-Letter_0003,1828.06.28_TheNewcastleCourantetc_0003
1828.07.26_TheLeedsMercury_0002,1828.06.04_TheDerbyMercury_0002
1828.07.26_TheNewcastleCourantetc_0003,1828.06.03_TheBristolMercury_0001
1828.07.29_TheBristolMercury_0001,1828.06.14_TheNewcastleCourantetc_0003
1828.08.01_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.08.06_TheDerbyMercury_0004,1828.06.02_CaledonianMercury_0001
1828.08.08_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.09.06_TheNewcastleCourantetc_0001,1828.06.24_TheHullPacketandHumberMercury_0001
1828.09.06_TheNewcastleCourantetc_0003,1828.06.25_TheDerbyMercury_0004
1828.09.09_TheBristolMercury_0002,1828.06.07_TheNewcastleCourantetc_0001
1828.09.10_TheDerbyMercury_0001,1828.06.28_TheNewcastleCourantetc_0003
1828.09.15_TheMorningChronicle_0001,1828.06.22_TheExaminer_0006
1828.09.24_TheDerbyMercury_0001,1828.06.28_TheNewcastleCourantetc_0003
1828.09.26_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.09.27_TheIpswichJournal_0004,1828.06.28_TheNewcastleCourantetc_0003
1828.09.27_TheNewcastleCourantetc_0001,1828.06.25_TheDerbyMercury_0001
1828.09.27_TheNewcastleCourantetc_0003,1828.06.11_TheDerbyMercury_0001
1828.10.11_TheNewcastleCourantetc_0003,1828.06.03_TheBristolMercury_0001
1828.10.18_CaledonianMercury_0001,1828.06.14_TheNewcastleCourantetc_0003
1828.10.18_TheIpswichJournal_0001,1828.06.24_TheHullPacketandHumberMercury_0002
1828.10.23_CaledonianMercury_0001,1828.06.14_TheNewcastleCourantetc_0003
1828.10.24_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.10.29_TheDerbyMercury_0004,1828.06.02_CaledonianMercury_0001
1828.10.31_LiverpoolMercuryetc_0005,1828.06.07_TheNewcastleCourantetc_0001
1828.10.31_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.10.31_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.11.07_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.11.08_TheNewcastleCourantetc_0003,1828.06.20_LiverpoolMercuryetc_0003
1828.11.14_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.11.14_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.11.21_LiverpoolMercuryetc_0005,1828.06.07_TheNewcastleCourantetc_0001
1828.11.21_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.11.21_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.11.28_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.11.29_TheNewcastleCourantetc_0003,1828.06.02_CaledonianMercury_0001
1828.12.12_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.12.19_LiverpoolMercuryetc_0007,1828.06.03_TheBristolMercury_0004
1828.12.20_TheNewcastleCourantetc_0003,1828.06.11_TheDerbyMercury_0001
1828.12.24_TheDerbyMercury_0001,1828.06.28_TheIpswichJournal_0004
1828.12.26_TheManchesterTimes_0001,1828.06.20_LiverpoolMercuryetc_0003
1828.12.26_TheManchesterTimes_0008,1828.06.20_LiverpoolMercuryetc_0007
1828.12.27_CaledonianMercury_0001,1828.06.28_TheNewcastleCourantetc_0003
1828.12.27_TheIpswichJournal_0001,1828.06.28_TheNewcastleCourantetc_0003
1828.12.27_TheNewcastleCourantetc_0001,1828.06.28_TheIpswichJournal_0004
