1816.08.03_CaledonianMercury_0002,1816.08.02_LiverpoolMercuryetc_0002
1816.12.21_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1816.12.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.31_TheLeedsMercury_0004
1816.12.27_LiverpoolMercuryetc_0005,1816.08.31_TheLeedsMercury_0004
1816.12.28_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1817.01.10_LiverpoolMercuryetc_0008,1816.08.31_TheLeedsMercury_0004
1817.01.16_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.08.24_Jackson'sOxfordJournal_0004
1817.01.17_LiverpoolMercuryetc_0008,1816.08.31_TheLeedsMercury_0004
1817.01.18_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1817.01.24_LiverpoolMercuryetc_0005,1816.08.17_TheLeedsMercury_0001
1817.01.25_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1817.02.01_TheLeedsMercury_0002,1816.08.30_LiverpoolMercuryetc_0005
1817.02.01_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1817.02.08_TheLeedsMercury_0002,1816.08.30_LiverpoolMercuryetc_0005
1817.02.08_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1817.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.31_TheLeedsMercury_0004
1817.02.15_TheLeedsMercury_0002,1816.08.30_LiverpoolMercuryetc_0005
1817.02.15_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1817.02.22_TheLeedsMercury_0002,1816.08.30_LiverpoolMercuryetc_0005
1817.02.22_TheLeedsMercury_0004,1816.08.30_LiverpoolMercuryetc_0005
