1821.08.03_GlasgowHerald_0001,1821.08.02_CaledonianMercury_0002
1821.09.15_Jackson'sOxfordJournal_0002,1821.08.18_TheIpswichJournal_0001
1821.09.15_Jackson'sOxfordJournal_0004,1821.08.25_TheLeedsMercury_0004
1821.09.22_Jackson'sOxfordJournal_0004,1821.08.11_TheLeedsMercury_0004
1821.10.06_Jackson'sOxfordJournal_0004,1821.08.18_TheIpswichJournal_0001
1821.10.12_LiverpoolMercuryetc_0005,1821.08.25_Jackson'sOxfordJournal_0004
1821.10.13_Jackson'sOxfordJournal_0004,1821.08.18_TheLeedsMercury_0001
1821.12.01_TheLeedsMercury_0001,1821.08.31_LiverpoolMercuryetc_0003
1821.12.14_Freeman'sJournalandDailyCommercialAdvertiser_0001,1821.08.04_TheLeedsMercury_0002
1821.12.29_Jackson'sOxfordJournal_0002,1821.08.18_TheIpswichJournal_0001
1822.01.10_TheMorningChronicle_0001,1821.08.04_TheLeedsMercury_0002
1822.02.09_TheBristolMercury_0001,1821.08.04_TheLeedsMercury_0002
1822.02.15_TheMorningChronicle_0002,1821.08.04_TheLeedsMercury_0002
1822.02.23_TheLeedsMercury_0004,1821.08.25_Jackson'sOxfordJournal_0004
1822.03.09_Jackson'sOxfordJournal_0004,1821.08.25_TheLeedsMercury_0004
