1829.03.03_TheBelfastNews-Letter_0001,1829.03.02_CaledonianMercury_0002
1829.03.24_TheBelfastNews-Letter_0004,1829.03.19_TheMorningChronicle_0004
1829.03.24_TheBelfastNews-Letter_S0001,1829.03.18_TheMorningChronicle_0002
1829.03.24_TheBelfastNews-Letter_S0002,1829.03.18_TheMorningChronicle_0003
1829.03.24_TheBristolMercury_0001,1829.03.18_TheMorningChronicle_0002
1829.03.24_TheBristolMercury_0002,1829.03.19_TheMorningChronicle_0004
1829.03.24_TheBristolMercury_0003,1829.03.23_TheMorningChronicle_0002
1829.03.24_TheBristolMercury_0004,1829.03.18_TheMorningChronicle_0003
1829.03.24_TheHullPacketandHumberMercury_0003,1829.03.18_TheMorningChronicle_0003
1829.03.24_TheHullPacketandHumberMercury_0004,1829.03.18_TheMorningChronicle_0003
1829.03.24_TheMorningChronicle_0004,1829.03.23_HampshireTelegraphandSussexChronicleetc_0004
1829.03.25_TheAberdeenJournal_0002,1829.03.21_TheMorningChronicle_0003
1829.03.25_TheAberdeenJournal_0004,1829.03.24_TheBristolMercury_0001
1829.03.25_TheDerbyMercury_0002,1829.03.07_TheNewcastleCourantetc_0003
1829.03.25_TheDerbyMercury_0004,1829.03.24_TheBelfastNews-Letter_S0002
1829.03.25_TheMorningChronicle_0004,1829.03.21_CaledonianMercury_0004
1829.03.26_CaledonianMercury_0002,1829.03.23_TheMorningChronicle_0002
1829.03.26_NorthWalesChronicle_0004,1829.03.24_TheBelfastNews-Letter_S0002
1829.03.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1829.03.18_TheMorningChronicle_0004
1829.03.27_LiverpoolMercuryetc_0003,1829.03.23_TheMorningChronicle_0002
1829.03.27_LiverpoolMercuryetc_0005,1829.03.21_TheNewcastleCourantetc_0003
1829.03.27_TheBelfastNews-Letter_0001,1829.03.23_TheMorningChronicle_0002
1829.03.28_CaledonianMercury_0002,1829.03.25_TheMorningChronicle_0002
1829.03.28_TheManchesterTimes_0003,1829.03.21_TheMorningChronicle_0002
1829.03.28_TheManchesterTimes_0007,1829.03.25_TheAberdeenJournal_0004
1829.03.28_TheNewcastleCourantetc_0002,1829.03.23_TheMorningChronicle_0002
1829.03.28_TheNewcastleCourantetc_0003,1829.03.20_LiverpoolMercuryetc_0005
1829.03.29_TheExaminer_0001,1829.03.25_TheMorningChronicle_0003
1829.03.29_TheExaminer_0003,1829.03.27_TheMorningChronicle_0003
1829.03.29_TheExaminer_0004,1829.03.27_TheBelfastNews-Letter_0001
1829.03.29_TheExaminer_0005,1829.03.28_TheNewcastleCourantetc_0002
1829.03.29_TheExaminer_0006,1829.03.28_TheNewcastleCourantetc_0002
1829.03.29_TheExaminer_0009,1829.03.25_TheMorningChronicle_0001
1829.03.29_TheExaminer_0012,1829.03.28_TheMorningChronicle_0003
1829.03.30_CaledonianMercury_0002,1829.03.29_TheExaminer_0010
1829.03.30_HampshireTelegraphandSussexChronicleetc_0002,1829.03.23_TheMorningChronicle_0002
1829.03.31_TheBelfastNews-Letter_0001,1829.03.25_TheDerbyMercury_0003
1829.03.31_TheBristolMercury_0001,1829.03.26_TheMorningChronicle_0003
1829.03.31_TheHullPacketandHumberMercury_0001,1829.03.14_TheManchesterTimes_0001
1829.03.31_TheHullPacketandHumberMercury_0004,1829.03.21_TheMorningChronicle_0003
1829.04.01_TheAberdeenJournal_0002,1829.03.23_CaledonianMercury_0001
1829.04.01_TheAberdeenJournal_0004,1829.03.23_TheMorningChronicle_0002
1829.04.01_TheDerbyMercury_0002,1829.03.28_TheNewcastleCourantetc_0003
1829.04.02_NorthWalesChronicle_0001,1829.03.27_TheMorningChronicle_0004
1829.04.02_NorthWalesChronicle_0004,1829.03.19_TheMorningChronicle_0004
1829.04.03_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.04.04_CaledonianMercury_0004,1829.03.30_TheMorningChronicle_0003
1829.04.04_TheLeedsMercury_0004,1829.03.06_LiverpoolMercuryetc_0007
1829.04.04_TheManchesterTimes_0001,1829.03.23_CaledonianMercury_0001
1829.04.04_TheNewcastleCourantetc_0002,1829.03.30_TheMorningChronicle_0004
1829.04.04_TheNewcastleCourantetc_0003,1829.03.27_TheMorningChronicle_0004
1829.04.06_HampshireTelegraphandSussexChronicleetc_0002,1829.03.30_TheMorningChronicle_0003
1829.04.07_TheBristolMercury_0001,1829.03.31_TheMorningChronicle_0002
1829.04.07_TheBristolMercury_0004,1829.03.31_TheMorningChronicle_0003
1829.04.07_TheHullPacketandHumberMercury_0001,1829.03.14_TheManchesterTimes_0001
1829.04.08_TheDerbyMercury_0001,1829.03.14_TheNewcastleCourantetc_0003
1829.04.09_TheMorningChronicle_0001,1829.03.29_TheExaminer_0016
1829.04.11_TheLeedsMercury_0001,1829.03.25_TheDerbyMercury_0001
1829.04.11_TheLeedsMercury_0004,1829.03.27_LiverpoolMercuryetc_0007
1829.04.11_TheNewcastleCourantetc_0003,1829.03.27_TheMorningChronicle_0001
1829.04.17_LiverpoolMercuryetc_0005,1829.03.23_CaledonianMercury_0001
1829.04.18_TheLeedsMercury_0001,1829.03.23_CaledonianMercury_0001
1829.04.18_TheLeedsMercury_0004,1829.03.06_LiverpoolMercuryetc_0007
1829.04.22_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.04.22_TheDerbyMercury_0004,1829.03.10_TheBristolMercury_0004
1829.04.23_CaledonianMercury_0004,1829.03.21_TheNewcastleCourantetc_0002
1829.04.25_TheManchesterTimes_0001,1829.03.23_CaledonianMercury_0001
1829.04.28_TheBelfastNews-Letter_0001,1829.03.26_CaledonianMercury_0001
1829.05.01_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.05.06_TheDerbyMercury_0001,1829.03.17_TheHullPacketandHumberMercury_0001
1829.05.08_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.05.12_TheBelfastNews-Letter_0001,1829.03.26_CaledonianMercury_0001
1829.05.12_TheHullPacketandHumberMercury_0001,1829.03.23_CaledonianMercury_0001
1829.05.13_TheAberdeenJournal_0004,1829.03.23_CaledonianMercury_0001
1829.05.15_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.05.16_TheMorningChronicle_0003,1829.03.21_TheNewcastleCourantetc_0002
1829.05.19_TheHullPacketandHumberMercury_0001,1829.03.23_CaledonianMercury_0001
1829.05.19_TheMorningChronicle_0002,1829.03.21_TheNewcastleCourantetc_0002
1829.05.19_TheMorningChronicle_0004,1829.03.21_TheNewcastleCourantetc_0002
1829.05.20_TheDerbyMercury_0001,1829.03.14_TheNewcastleCourantetc_0003
1829.05.22_TheBelfastNews-Letter_0001,1829.03.06_LiverpoolMercuryetc_0007
1829.05.26_TheBelfastNews-Letter_0003,1829.03.23_CaledonianMercury_0001
1829.05.26_TheHullPacketandHumberMercury_0001,1829.03.23_CaledonianMercury_0001
1829.05.26_TheHullPacketandHumberMercury_0002,1829.03.18_TheDerbyMercury_0002
1829.05.30_TheManchesterTimesandGazette_0001,1829.03.21_TheNewcastleCourantetc_0001
1829.06.02_TheHullPacketandHumberMercury_0001,1829.03.18_TheDerbyMercury_0002
1829.06.03_TheAberdeenJournal_0001,1829.03.23_CaledonianMercury_0001
1829.06.06_TheLeedsMercury_0004,1829.03.21_TheNewcastleCourantetc_0003
1829.06.06_TheManchesterTimesandGazette_0002,1829.03.23_CaledonianMercury_0001
1829.06.06_TheNewcastleCourantetc_0003,1829.03.17_TheHullPacketandHumberMercury_0001
1829.06.12_LiverpoolMercuryetc_0007,1829.03.10_TheBristolMercury_0004
1829.06.14_TheExaminer_0015,1829.03.11_TheAberdeenJournal_0001
1829.06.16_TheHullPacketandHumberMercury_0001,1829.03.23_HampshireTelegraphandSussexChronicleetc_0003
1829.06.17_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.06.17_TheDerbyMercury_0002,1829.03.21_TheNewcastleCourantetc_0003
1829.06.20_TheManchesterTimesandGazette_0001,1829.03.23_CaledonianMercury_0001
1829.06.23_TheHullPacketandHumberMercury_0001,1829.03.30_HampshireTelegraphandSussexChronicleetc_0002
1829.06.24_TheDerbyMercury_0001,1829.03.28_TheNewcastleCourantetc_0003
1829.06.26_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.06.27_TheManchesterTimesandGazette_0001,1829.03.28_TheManchesterTimes_0004
1829.06.27_TheNewcastleCourantetc_0003,1829.03.31_TheHullPacketandHumberMercury_0001
1829.07.01_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.07.03_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.07.08_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.07.15_TheDerbyMercury_0002,1829.03.21_TheNewcastleCourantetc_0003
1829.07.17_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.07.22_TheAberdeenJournal_0004,1829.03.06_LiverpoolMercuryetc_0007
1829.07.22_TheDerbyMercury_0001,1829.03.07_TheLeedsMercury_0001
1829.07.24_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.07.25_TheManchesterTimesandGazette_0007,1829.03.06_LiverpoolMercuryetc_0007
1829.07.29_TheDerbyMercury_0001,1829.03.28_TheNewcastleCourantetc_0003
1829.07.31_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.08.01_TheManchesterTimesandGazette_0001,1829.03.28_TheManchesterTimes_0001
1829.08.05_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.08.05_TheDerbyMercury_0002,1829.03.21_TheNewcastleCourantetc_0003
1829.08.07_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.08.08_TheManchesterTimesandGazette_0001,1829.03.28_TheManchesterTimes_0001
1829.08.12_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.08.12_TheDerbyMercury_0002,1829.03.21_TheNewcastleCourantetc_0003
1829.08.14_LiverpoolMercuryetc_0007,1829.03.07_TheLeedsMercury_0004
1829.08.17_HampshireTelegraphandSussexChronicleetc_0002,1829.03.21_TheNewcastleCourantetc_0003
1829.08.19_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.08.26_TheDerbyMercury_0001,1829.03.28_TheNewcastleCourantetc_0003
1829.08.26_TheDerbyMercury_0002,1829.03.21_TheNewcastleCourantetc_0003
1829.08.29_TheManchesterTimesandGazette_0003,1829.03.03_TheBelfastNews-Letter_0004
1829.09.02_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.09.07_HampshireTelegraphandSussexChronicleetc_0003,1829.03.21_TheNewcastleCourantetc_0003
1829.09.09_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.09.16_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.09.22_TheHullPacketandHumberMercury_0001,1829.03.28_TheNewcastleCourantetc_0003
1829.09.23_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.09.23_TheDerbyMercury_0002,1829.03.21_TheNewcastleCourantetc_0003
1829.09.30_TheDerbyMercury_0001,1829.03.21_TheNewcastleCourantetc_0003
1829.10.07_TheDerbyMercury_0001,1829.03.24_TheHullPacketandHumberMercury_0001
