1806.06.04_TheAberdeenJournal_0002,1806.06.02_CaledonianMercury_0001
1806.06.28_TheNewcastleCourantetc_0002,1806.06.26_CaledonianMercury_0002
1806.06.28_TheNewcastleCourantetc_0003,1806.06.19_CaledonianMercury_0001
1806.06.28_TheNewcastleCourantetc_0004,1806.06.24_TheMorningChronicle_0002
1806.06.30_CaledonianMercury_0001,1806.06.11_TheAberdeenJournal_0002
1806.06.30_CaledonianMercury_0002,1806.06.25_TheMorningChronicle_0001
1806.07.02_TheAberdeenJournal_0002,1806.06.28_TheNewcastleCourantetc_0004
1806.07.02_TheAberdeenJournal_0003,1806.06.26_CaledonianMercury_0003
1806.07.03_TheDerbyMercury_0001,1806.06.19_CaledonianMercury_0001
1806.07.03_TheDerbyMercury_0004,1806.06.28_Jackson'sOxfordJournal_0002
1806.07.03_Trewman'sExeterFlyingPost_0002,1806.06.30_CaledonianMercury_0003
1806.07.03_Trewman'sExeterFlyingPost_0003,1806.06.28_Jackson'sOxfordJournal_0001
1806.07.05_Jackson'sOxfordJournal_0001,1806.06.19_CaledonianMercury_0001
1806.07.05_TheNewcastleCourantetc_0003,1806.06.19_CaledonianMercury_0001
1806.07.07_CaledonianMercury_0001,1806.06.18_TheAberdeenJournal_0002
1806.07.09_TheAberdeenJournal_0002,1806.06.28_CaledonianMercury_0003
1806.07.10_TheDerbyMercury_0004,1806.06.12_Trewman'sExeterFlyingPost_0003
1806.07.10_Trewman'sExeterFlyingPost_0002,1806.06.19_CaledonianMercury_0001
1806.07.14_CaledonianMercury_0001,1806.06.25_TheAberdeenJournal_0002
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.06.12_Trewman'sExeterFlyingPost_0003
1806.07.31_CaledonianMercury_0004,1806.06.25_TheAberdeenJournal_0002
1806.07.31_TheDerbyMercury_0001,1806.06.12_Trewman'sExeterFlyingPost_0003
1806.08.02_Cobbett'sWeeklyPoliticalRegister_0015,1806.06.30_CaledonianMercury_0002
1806.08.02_TheNewcastleCourantetc_0003,1806.06.28_CaledonianMercury_0004
1806.08.09_Cobbett'sWeeklyPoliticalRegister_0014,1806.06.30_CaledonianMercury_0002
1806.08.09_Cobbett'sWeeklyPoliticalRegister_0015,1806.06.30_CaledonianMercury_0002
1806.08.14_TheDerbyMercury_0001,1806.06.07_Jackson'sOxfordJournal_0001
1806.08.23_TheNewcastleCourantetc_0003,1806.06.23_CaledonianMercury_0004
1806.09.04_CaledonianMercury_0004,1806.06.18_TheAberdeenJournal_0001
1806.09.04_TheDerbyMercury_0001,1806.06.12_Trewman'sExeterFlyingPost_0003
1806.09.10_TheAberdeenJournal_0002,1806.06.23_CaledonianMercury_0001
1806.09.18_TheDerbyMercury_0004,1806.06.07_Jackson'sOxfordJournal_0004
1806.09.25_TheDerbyMercury_0004,1806.06.12_Trewman'sExeterFlyingPost_0003
1806.09.29_CaledonianMercury_0004,1806.06.25_TheAberdeenJournal_0002
1806.10.02_CaledonianMercury_0004,1806.06.18_TheAberdeenJournal_0001
1806.10.30_TheDerbyMercury_0001,1806.06.12_Trewman'sExeterFlyingPost_0003
1806.11.20_TheDerbyMercury_0004,1806.06.28_Jackson'sOxfordJournal_0004
1806.11.27_TheDerbyMercury_0004,1806.06.12_Trewman'sExeterFlyingPost_0003
