Perfect_Match	Left_Match	Right_Match	Target_Year	Target_Month	Target_Day	Target	Target_Page	Source_Year	Source_Month	Source_Day	Source	Source_Page
1250	1803	1850	1806	1	11	Jackson'sOxfordJournal	3	1806	1	4	Jackson'sOxfordJournal	3
935	1451	1518	1806	1	11	Jackson'sOxfordJournal	4	1806	1	6	CaledonianMercury	2
688	1096	1097	1806	1	11	Jackson'sOxfordJournal	4	1806	1	6	HampshireTelegraphandSussexChronicleetc	4
325	479	486	1806	1	11	TheIpswichJournal	1	1806	1	4	TheIpswichJournal	1
603	994	1010	1806	1	11	TheIpswichJournal	1	1806	1	4	TheIpswichJournal	3
248	367	375	1806	1	11	TheIpswichJournal	1	1806	1	11	Jackson'sOxfordJournal	2
390	607	624	1806	1	11	TheIpswichJournal	2	1806	1	11	CaledonianMercury	2
486	771	777	1806	1	11	TheIpswichJournal	2	1806	1	11	Jackson'sOxfordJournal	2
478	810	795	1806	1	11	TheIpswichJournal	4	1806	1	9	CaledonianMercury	2
291	512	490	1806	1	11	TheIpswichJournal	4	1806	1	9	TheDerbyMercury	4
212	364	355	1806	1	11	TheIpswichJournal	4	1806	1	9	Trewman'sExeterFlyingPost	1
304	534	505	1806	1	11	TheIpswichJournal	4	1806	1	9	Trewman'sExeterFlyingPost	2
417	664	665	1806	1	11	TheIpswichJournal	4	1806	1	11	Jackson'sOxfordJournal	2
386	627	644	1806	1	11	TheMorningChronicle	4	1806	1	4	TheMorningChronicle	4
536	849	856	1806	1	11	TheMorningChronicle	4	1806	1	8	TheMorningChronicle	4
388	607	603	1806	1	11	TheMorningChronicle	4	1806	1	9	TheMorningChronicle	4
350	589	619	1806	1	11	TheNewcastleCourantetc	2	1806	1	4	CaledonianMercury	2
214	317	320	1806	1	13	CaledonianMercury	1	1806	1	6	CaledonianMercury	1
439	653	656	1806	1	13	CaledonianMercury	1	1806	1	9	CaledonianMercury	1
311	465	477	1806	1	13	CaledonianMercury	1	1806	1	11	CaledonianMercury	1
289	433	414	1806	1	13	CaledonianMercury	1	1806	1	11	CaledonianMercury	3
311	539	511	1806	1	13	CaledonianMercury	2	1806	1	10	TheMorningChronicle	1
460	623	608	1806	1	13	CaledonianMercury	3	1806	1	6	CaledonianMercury	4
248	374	347	1806	1	13	CaledonianMercury	3	1806	1	9	CaledonianMercury	1
219	341	339	1806	1	13	CaledonianMercury	4	1806	1	2	CaledonianMercury	4
322	498	494	1806	1	13	CaledonianMercury	4	1806	1	4	CaledonianMercury	4
607	900	887	1806	1	13	CaledonianMercury	4	1806	1	6	CaledonianMercury	1
717	1005	1024	1806	1	13	CaledonianMercury	4	1806	1	6	CaledonianMercury	4
345	516	512	1806	1	13	CaledonianMercury	4	1806	1	9	CaledonianMercury	1
718	1034	1038	1806	1	13	CaledonianMercury	4	1806	1	9	CaledonianMercury	4
420	609	626	1806	1	13	CaledonianMercury	4	1806	1	11	CaledonianMercury	1
521	784	776	1806	1	13	CaledonianMercury	4	1806	1	11	CaledonianMercury	4
296	491	506	1806	1	13	HampshireTelegraphandSussexChronicleetc	1	1806	1	6	HampshireTelegraphandSussexChronicleetc	1
331	543	529	1806	1	13	HampshireTelegraphandSussexChronicleetc	1	1806	1	6	HampshireTelegraphandSussexChronicleetc	2
309	498	510	1806	1	13	HampshireTelegraphandSussexChronicleetc	2	1806	1	11	CaledonianMercury	2
255	396	404	1806	1	13	HampshireTelegraphandSussexChronicleetc	2	1806	1	11	Jackson'sOxfordJournal	2
240	361	367	1806	1	13	HampshireTelegraphandSussexChronicleetc	4	1806	1	2	Trewman'sExeterFlyingPost	4
207	312	319	1806	1	13	HampshireTelegraphandSussexChronicleetc	4	1806	1	9	CaledonianMercury	2
218	354	334	1806	1	13	HampshireTelegraphandSussexChronicleetc	4	1806	1	9	TheMorningChronicle	2
216	326	328	1806	1	13	HampshireTelegraphandSussexChronicleetc	4	1806	1	11	CaledonianMercury	3
408	701	686	1806	1	13	TheMorningChronicle	4	1806	1	8	TheMorningChronicle	4
260	375	383	1806	1	13	TheMorningChronicle	4	1806	1	9	TheMorningChronicle	4
593	986	980	1806	1	13	TheMorningChronicle	4	1806	1	11	TheMorningChronicle	4
311	493	478	1806	1	15	TheAberdeenJournal	1	1806	1	8	TheAberdeenJournal	1
433	701	693	1806	1	15	TheAberdeenJournal	1	1806	1	8	TheAberdeenJournal	4
1379	1870	1883	1806	1	15	TheAberdeenJournal	2	1806	1	6	CaledonianMercury	2
729	1215	1184	1806	1	15	TheAberdeenJournal	2	1806	1	6	HampshireTelegraphandSussexChronicleetc	4
848	1329	1294	1806	1	15	TheAberdeenJournal	2	1806	1	11	Jackson'sOxfordJournal	4
235	378	378	1806	1	15	TheAberdeenJournal	3	1806	1	9	CaledonianMercury	2
352	523	528	1806	1	15	TheAberdeenJournal	3	1806	1	9	CaledonianMercury	3
373	545	558	1806	1	15	TheAberdeenJournal	3	1806	1	11	CaledonianMercury	2
423	668	650	1806	1	15	TheAberdeenJournal	3	1806	1	11	Jackson'sOxfordJournal	2
254	383	376	1806	1	15	TheAberdeenJournal	3	1806	1	11	TheIpswichJournal	2
345	565	584	1806	1	15	TheMorningChronicle	4	1806	1	8	TheMorningChronicle	4
532	857	873	1806	1	15	TheMorningChronicle	4	1806	1	11	TheMorningChronicle	4
229	365	372	1806	1	15	TheMorningChronicle	4	1806	1	13	TheMorningChronicle	4
207	286	284	1806	1	16	CaledonianMercury	1	1806	1	9	CaledonianMercury	1
257	383	388	1806	1	16	CaledonianMercury	1	1806	1	11	CaledonianMercury	3
963	1335	1379	1806	1	16	CaledonianMercury	1	1806	1	13	CaledonianMercury	1
334	537	522	1806	1	16	CaledonianMercury	2	1806	1	13	TheMorningChronicle	2
324	510	508	1806	1	16	CaledonianMercury	3	1806	1	2	CaledonianMercury	1
260	396	391	1806	1	16	CaledonianMercury	3	1806	1	4	CaledonianMercury	1
433	579	601	1806	1	16	CaledonianMercury	3	1806	1	9	CaledonianMercury	1
224	318	325	1806	1	16	CaledonianMercury	3	1806	1	11	CaledonianMercury	1
426	703	693	1806	1	16	CaledonianMercury	4	1806	1	2	CaledonianMercury	4
296	467	475	1806	1	16	CaledonianMercury	4	1806	1	4	CaledonianMercury	4
543	819	822	1806	1	16	CaledonianMercury	4	1806	1	6	CaledonianMercury	4
722	1076	1062	1806	1	16	CaledonianMercury	4	1806	1	9	CaledonianMercury	4
728	1094	1063	1806	1	16	CaledonianMercury	4	1806	1	11	CaledonianMercury	4
349	566	559	1806	1	16	CaledonianMercury	4	1806	1	13	CaledonianMercury	4
225	377	374	1806	1	16	TheDerbyMercury	1	1806	1	9	TheDerbyMercury	1
609	887	928	1806	1	16	TheDerbyMercury	1	1806	1	11	CaledonianMercury	2
377	568	582	1806	1	16	TheDerbyMercury	1	1806	1	11	Jackson'sOxfordJournal	2
277	469	473	1806	1	16	TheDerbyMercury	1	1806	1	11	TheIpswichJournal	2
265	416	414	1806	1	16	TheDerbyMercury	2	1806	1	9	TheDerbyMercury	1
465	753	764	1806	1	16	TheDerbyMercury	2	1806	1	9	TheDerbyMercury	2
277	432	435	1806	1	16	TheDerbyMercury	2	1806	1	16	CaledonianMercury	2
228	371	376	1806	1	16	TheDerbyMercury	4	1806	1	9	TheDerbyMercury	3
234	377	371	1806	1	16	TheMorningChronicle	1	1806	1	14	TheMorningChronicle	1
408	611	614	1806	1	16	TheMorningChronicle	4	1806	1	9	TheMorningChronicle	4
350	541	551	1806	1	16	TheMorningChronicle	4	1806	1	13	TheMorningChronicle	4
464	655	684	1806	1	16	Trewman'sExeterFlyingPost	1	1806	1	16	CaledonianMercury	2
319	530	515	1806	1	16	Trewman'sExeterFlyingPost	2	1806	1	2	Trewman'sExeterFlyingPost	3
336	540	519	1806	1	16	Trewman'sExeterFlyingPost	2	1806	1	9	Trewman'sExeterFlyingPost	2
600	874	902	1806	1	16	Trewman'sExeterFlyingPost	2	1806	1	13	CaledonianMercury	2
214	320	327	1806	1	16	Trewman'sExeterFlyingPost	3	1806	1	2	TheDerbyMercury	4
595	964	963	1806	1	16	Trewman'sExeterFlyingPost	3	1806	1	2	Trewman'sExeterFlyingPost	2
595	980	978	1806	1	16	Trewman'sExeterFlyingPost	3	1806	1	2	Trewman'sExeterFlyingPost	3
203	353	349	1806	1	16	Trewman'sExeterFlyingPost	3	1806	1	11	TheIpswichJournal	1
208	296	297	1806	1	18	CaledonianMercury	1	1806	1	6	CaledonianMercury	1
242	354	356	1806	1	18	CaledonianMercury	1	1806	1	9	CaledonianMercury	1
579	859	865	1806	1	18	CaledonianMercury	1	1806	1	11	CaledonianMercury	1
499	749	758	1806	1	18	CaledonianMercury	1	1806	1	13	CaledonianMercury	1
449	686	702	1806	1	18	CaledonianMercury	1	1806	1	16	CaledonianMercury	1
429	604	609	1806	1	18	CaledonianMercury	1	1806	1	16	CaledonianMercury	3
388	571	552	1806	1	18	CaledonianMercury	2	1806	1	15	TheMorningChronicle	2
259	418	392	1806	1	18	CaledonianMercury	2	1806	1	16	Trewman'sExeterFlyingPost	4
331	464	480	1806	1	18	CaledonianMercury	3	1806	1	16	CaledonianMercury	4
737	1094	1071	1806	1	18	CaledonianMercury	4	1806	1	4	CaledonianMercury	4
376	547	540	1806	1	18	CaledonianMercury	4	1806	1	6	CaledonianMercury	4
499	715	707	1806	1	18	CaledonianMercury	4	1806	1	9	CaledonianMercury	4
715	1012	974	1806	1	18	CaledonianMercury	4	1806	1	11	CaledonianMercury	4
343	514	505	1806	1	18	CaledonianMercury	4	1806	1	13	CaledonianMercury	3
491	744	740	1806	1	18	CaledonianMercury	4	1806	1	13	CaledonianMercury	4
514	773	769	1806	1	18	CaledonianMercury	4	1806	1	16	CaledonianMercury	4
207	286	287	1806	1	18	Cobbett'sWeeklyPoliticalRegister	8	1806	1	9	CaledonianMercury	2
282	445	458	1806	1	18	Cobbett'sWeeklyPoliticalRegister	9	1806	1	9	CaledonianMercury	2
226	376	381	1806	1	18	Cobbett'sWeeklyPoliticalRegister	9	1806	1	9	TheDerbyMercury	4
273	447	452	1806	1	18	Cobbett'sWeeklyPoliticalRegister	9	1806	1	9	Trewman'sExeterFlyingPost	2
583	847	858	1806	1	18	Cobbett'sWeeklyPoliticalRegister	10	1806	1	16	CaledonianMercury	2
243	381	378	1806	1	18	Jackson'sOxfordJournal	1	1806	1	4	Jackson'sOxfordJournal	1
321	474	488	1806	1	18	Jackson'sOxfordJournal	1	1806	1	4	Jackson'sOxfordJournal	3
214	296	302	1806	1	18	Jackson'sOxfordJournal	1	1806	1	4	Jackson'sOxfordJournal	4
208	336	317	1806	1	18	Jackson'sOxfordJournal	1	1806	1	6	HampshireTelegraphandSussexChronicleetc	1
236	352	354	1806	1	18	Jackson'sOxfordJournal	1	1806	1	9	CaledonianMercury	1
201	311	311	1806	1	18	Jackson'sOxfordJournal	1	1806	1	9	TheDerbyMercury	4
252	416	422	1806	1	18	Jackson'sOxfordJournal	1	1806	1	11	Jackson'sOxfordJournal	1
321	476	482	1806	1	18	Jackson'sOxfordJournal	1	1806	1	11	Jackson'sOxfordJournal	2
350	519	531	1806	1	18	Jackson'sOxfordJournal	1	1806	1	11	Jackson'sOxfordJournal	3
208	299	310	1806	1	18	Jackson'sOxfordJournal	1	1806	1	13	CaledonianMercury	3
360	569	553	1806	1	18	Jackson'sOxfordJournal	2	1806	1	15	TheMorningChronicle	2
254	386	369	1806	1	18	Jackson'sOxfordJournal	2	1806	1	16	Trewman'sExeterFlyingPost	4
884	1262	1268	1806	1	18	Jackson'sOxfordJournal	2	1806	1	18	CaledonianMercury	2
231	356	343	1806	1	18	Jackson'sOxfordJournal	3	1806	1	4	Jackson'sOxfordJournal	3
1305	1919	1825	1806	1	18	Jackson'sOxfordJournal	3	1806	1	11	Jackson'sOxfordJournal	3
347	539	516	1806	1	18	Jackson'sOxfordJournal	4	1806	1	11	Jackson'sOxfordJournal	2
343	542	535	1806	1	18	Jackson'sOxfordJournal	4	1806	1	13	TheMorningChronicle	2
344	479	502	1806	1	18	Jackson'sOxfordJournal	4	1806	1	16	CaledonianMercury	2
263	416	425	1806	1	18	Jackson'sOxfordJournal	4	1806	1	16	TheDerbyMercury	2
287	445	446	1806	1	18	Jackson'sOxfordJournal	4	1806	1	16	Trewman'sExeterFlyingPost	2
208	336	342	1806	1	18	TheIpswichJournal	1	1806	1	2	TheDerbyMercury	4
663	1001	1002	1806	1	18	TheIpswichJournal	1	1806	1	4	TheIpswichJournal	1
544	803	820	1806	1	18	TheIpswichJournal	1	1806	1	11	TheIpswichJournal	1
697	1018	1095	1806	1	18	TheIpswichJournal	1	1806	1	11	TheIpswichJournal	3
235	378	386	1806	1	18	TheIpswichJournal	1	1806	1	16	TheDerbyMercury	2
216	357	359	1806	1	18	TheIpswichJournal	1	1806	1	18	Jackson'sOxfordJournal	1
205	332	348	1806	1	18	TheIpswichJournal	1	1806	1	18	Jackson'sOxfordJournal	4
206	333	334	1806	1	18	TheIpswichJournal	4	1806	1	16	CaledonianMercury	2
226	389	383	1806	1	18	TheIpswichJournal	4	1806	1	16	Trewman'sExeterFlyingPost	4
348	537	535	1806	1	18	TheIpswichJournal	4	1806	1	18	Jackson'sOxfordJournal	1
219	357	366	1806	1	18	TheIpswichJournal	4	1806	1	18	Jackson'sOxfordJournal	2
290	443	436	1806	1	18	TheIpswichJournal	4	1806	1	18	Jackson'sOxfordJournal	4
392	624	634	1806	1	18	TheMorningChronicle	4	1806	1	11	TheMorningChronicle	4
350	561	552	1806	1	18	TheMorningChronicle	4	1806	1	15	TheMorningChronicle	4
642	969	1003	1806	1	18	TheNewcastleCourantetc	2	1806	1	11	CaledonianMercury	2
387	580	580	1806	1	18	TheNewcastleCourantetc	2	1806	1	11	Jackson'sOxfordJournal	2
335	520	516	1806	1	18	TheNewcastleCourantetc	2	1806	1	11	TheIpswichJournal	2
213	327	326	1806	1	18	TheNewcastleCourantetc	2	1806	1	15	TheAberdeenJournal	3
617	1002	987	1806	1	18	TheNewcastleCourantetc	2	1806	1	16	TheDerbyMercury	1
230	378	393	1806	1	18	TheNewcastleCourantetc	2	1806	1	16	Trewman'sExeterFlyingPost	4
239	417	416	1806	1	18	TheNewcastleCourantetc	3	1806	1	18	TheIpswichJournal	1
293	445	442	1806	1	18	TheNewcastleCourantetc	4	1806	1	15	TheMorningChronicle	2
216	382	378	1806	1	18	TheNewcastleCourantetc	4	1806	1	16	Trewman'sExeterFlyingPost	4
517	768	810	1806	1	18	TheNewcastleCourantetc	4	1806	1	18	CaledonianMercury	2
490	762	783	1806	1	18	TheNewcastleCourantetc	4	1806	1	18	Jackson'sOxfordJournal	2
285	393	387	1806	1	20	CaledonianMercury	1	1806	1	9	CaledonianMercury	1
227	383	368	1806	1	20	CaledonianMercury	1	1806	1	13	CaledonianMercury	1
231	358	348	1806	1	20	CaledonianMercury	1	1806	1	13	CaledonianMercury	4
322	493	475	1806	1	20	CaledonianMercury	1	1806	1	16	CaledonianMercury	3
813	1231	1197	1806	1	20	CaledonianMercury	1	1806	1	18	CaledonianMercury	1
350	536	528	1806	1	20	CaledonianMercury	1	1806	1	18	CaledonianMercury	4
231	305	301	1806	1	20	CaledonianMercury	1	1806	1	18	Jackson'sOxfordJournal	1
447	759	726	1806	1	20	CaledonianMercury	2	1806	1	17	TheMorningChronicle	2
258	423	424	1806	1	20	CaledonianMercury	2	1806	1	17	TheMorningChronicle	3
516	791	760	1806	1	20	CaledonianMercury	4	1806	1	4	CaledonianMercury	4
302	473	443	1806	1	20	CaledonianMercury	4	1806	1	6	CaledonianMercury	1
592	900	889	1806	1	20	CaledonianMercury	4	1806	1	6	CaledonianMercury	4
472	690	688	1806	1	20	CaledonianMercury	4	1806	1	9	CaledonianMercury	4
1139	1647	1586	1806	1	20	CaledonianMercury	4	1806	1	11	CaledonianMercury	4
868	1281	1269	1806	1	20	CaledonianMercury	4	1806	1	13	CaledonianMercury	4
775	1173	1152	1806	1	20	CaledonianMercury	4	1806	1	16	CaledonianMercury	4
794	1122	1111	1806	1	20	CaledonianMercury	4	1806	1	18	CaledonianMercury	4
252	427	438	1806	1	20	HampshireTelegraphandSussexChronicleetc	1	1806	1	6	HampshireTelegraphandSussexChronicleetc	2
610	1006	1011	1806	1	20	HampshireTelegraphandSussexChronicleetc	1	1806	1	13	HampshireTelegraphandSussexChronicleetc	1
430	688	687	1806	1	20	HampshireTelegraphandSussexChronicleetc	4	1806	1	16	Trewman'sExeterFlyingPost	4
368	625	637	1806	1	20	HampshireTelegraphandSussexChronicleetc	4	1806	1	18	CaledonianMercury	2
476	800	803	1806	1	20	HampshireTelegraphandSussexChronicleetc	4	1806	1	18	Jackson'sOxfordJournal	2
214	363	363	1806	1	20	HampshireTelegraphandSussexChronicleetc	4	1806	1	18	TheIpswichJournal	4
221	373	374	1806	1	20	HampshireTelegraphandSussexChronicleetc	4	1806	1	18	TheNewcastleCourantetc	4
228	363	392	1806	1	20	TheMorningChronicle	1	1806	1	18	Jackson'sOxfordJournal	2
214	324	325	1806	1	22	TheAberdeenJournal	1	1806	1	1	TheAberdeenJournal	1
318	469	465	1806	1	22	TheAberdeenJournal	1	1806	1	8	TheAberdeenJournal	1
408	658	657	1806	1	22	TheAberdeenJournal	1	1806	1	8	TheAberdeenJournal	4
465	738	755	1806	1	22	TheAberdeenJournal	1	1806	1	15	TheAberdeenJournal	1
225	382	372	1806	1	22	TheAberdeenJournal	2	1806	1	8	TheAberdeenJournal	1
332	602	601	1806	1	22	TheMorningChronicle	4	1806	1	8	TheMorningChronicle	4
323	524	526	1806	1	22	TheMorningChronicle	4	1806	1	15	TheMorningChronicle	4
248	409	406	1806	1	22	TheMorningChronicle	4	1806	1	17	TheMorningChronicle	4
239	358	348	1806	1	23	CaledonianMercury	1	1806	1	9	CaledonianMercury	1
469	689	695	1806	1	23	CaledonianMercury	1	1806	1	16	CaledonianMercury	1
353	470	488	1806	1	23	CaledonianMercury	1	1806	1	16	CaledonianMercury	3
500	699	705	1806	1	23	CaledonianMercury	1	1806	1	18	CaledonianMercury	1
1060	1544	1559	1806	1	23	CaledonianMercury	1	1806	1	20	CaledonianMercury	1
245	419	404	1806	1	23	CaledonianMercury	2	1806	1	20	TheMorningChronicle	1
229	401	391	1806	1	23	CaledonianMercury	3	1806	1	2	CaledonianMercury	4
689	1027	1015	1806	1	23	CaledonianMercury	3	1806	1	9	CaledonianMercury	4
346	509	488	1806	1	23	CaledonianMercury	3	1806	1	11	CaledonianMercury	4
426	588	602	1806	1	23	CaledonianMercury	3	1806	1	13	CaledonianMercury	4
794	1232	1263	1806	1	23	CaledonianMercury	3	1806	1	16	CaledonianMercury	4
281	418	402	1806	1	23	CaledonianMercury	3	1806	1	18	CaledonianMercury	4
480	701	731	1806	1	23	CaledonianMercury	3	1806	1	20	CaledonianMercury	4
211	359	359	1806	1	23	CaledonianMercury	4	1806	1	2	CaledonianMercury	4
288	434	423	1806	1	23	CaledonianMercury	4	1806	1	9	CaledonianMercury	4
217	382	375	1806	1	23	TheDerbyMercury	1	1806	1	16	TheDerbyMercury	3
275	416	428	1806	1	23	TheDerbyMercury	2	1806	1	23	CaledonianMercury	2
239	400	393	1806	1	23	TheDerbyMercury	4	1806	1	9	TheDerbyMercury	4
272	400	392	1806	1	23	TheDerbyMercury	4	1806	1	16	TheDerbyMercury	2
257	405	387	1806	1	23	Trewman'sExeterFlyingPost	1	1806	1	9	Trewman'sExeterFlyingPost	1
409	646	662	1806	1	23	Trewman'sExeterFlyingPost	1	1806	1	23	CaledonianMercury	2
290	458	461	1806	1	23	Trewman'sExeterFlyingPost	2	1806	1	16	Trewman'sExeterFlyingPost	3
604	943	979	1806	1	23	Trewman'sExeterFlyingPost	2	1806	1	20	CaledonianMercury	2
498	772	762	1806	1	23	Trewman'sExeterFlyingPost	3	1806	1	2	Trewman'sExeterFlyingPost	3
327	480	479	1806	1	23	Trewman'sExeterFlyingPost	3	1806	1	9	Trewman'sExeterFlyingPost	2
558	902	922	1806	1	23	Trewman'sExeterFlyingPost	3	1806	1	16	Trewman'sExeterFlyingPost	2
