1816.07.04_TheDerbyMercury_0004,1816.07.01_CaledonianMercury_0004
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.20_TheLeedsMercury_0002
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.25_CaledonianMercury_0004
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.20_Jackson'sOxfordJournal_0004
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.22_CaledonianMercury_0002
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1816.07.23_TheMorningChronicle_0003
1816.07.26_LiverpoolMercuryetc_0002,1816.07.25_CaledonianMercury_0002
1816.07.26_LiverpoolMercuryetc_0002,1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.07.26_LiverpoolMercuryetc_0003,1816.07.13_TheMorningChronicle_0003
1816.07.26_LiverpoolMercuryetc_0003,1816.07.18_TheMorningChronicle_0003
1816.07.26_LiverpoolMercuryetc_0003,1816.07.22_CaledonianMercury_0002
1816.07.26_LiverpoolMercuryetc_0003,1816.07.22_CaledonianMercury_0003
1816.07.26_LiverpoolMercuryetc_0007,1816.07.18_TheMorningChronicle_0002
1816.07.27_CaledonianMercury_0002,1816.07.23_TheMorningChronicle_0003
1816.07.27_CaledonianMercury_0002,1816.07.24_TheMorningChronicle_0002
1816.07.27_CaledonianMercury_0004,1816.07.21_TheExaminer_0007
1816.07.27_Jackson'sOxfordJournal_0001,1816.07.27_CaledonianMercury_0002
1816.07.27_Jackson'sOxfordJournal_0002,1816.07.24_TheMorningChronicle_0003
1816.07.27_Jackson'sOxfordJournal_0004,1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.07.27_Jackson'sOxfordJournal_0004,1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.07.27_TheIpswichJournal_0004,1816.07.23_TheMorningChronicle_0003
1816.07.28_TheExaminer_0003,1816.07.24_TheMorningChronicle_0003
1816.07.28_TheExaminer_0003,1816.07.27_Jackson'sOxfordJournal_0002
1816.07.28_TheExaminer_0004,1816.07.24_TheMorningChronicle_0002
1816.07.29_CaledonianMercury_0002,1816.07.24_TheMorningChronicle_0003
1816.07.29_CaledonianMercury_0002,1816.07.25_TheMorningChronicle_0003
1816.07.29_CaledonianMercury_0002,1816.07.26_TheMorningChronicle_0002
1816.07.29_CaledonianMercury_0002,1816.07.26_TheMorningChronicle_0003
1816.07.29_CaledonianMercury_0002,1816.07.27_Jackson'sOxfordJournal_0002
1816.07.29_CaledonianMercury_0002,1816.07.28_TheExaminer_0003
1816.07.29_CaledonianMercury_0004,1816.07.24_TheMorningChronicle_0002
1816.07.29_CaledonianMercury_0004,1816.07.27_Jackson'sOxfordJournal_0001
1816.07.31_TheAberdeenJournal_0004,1816.07.21_TheExaminer_0007
1816.07.31_TheAberdeenJournal_0004,1816.07.22_CaledonianMercury_0003
1816.07.31_TheAberdeenJournal_0004,1816.07.27_CaledonianMercury_0004
1816.08.01_CaledonianMercury_0002,1816.07.27_TheMorningChronicle_0002
1816.08.01_CaledonianMercury_0004,1816.07.27_TheMorningChronicle_0003
1816.08.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.27_TheMorningChronicle_0002
1816.08.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.29_CaledonianMercury_0002
1816.08.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.27_TheMorningChronicle_0003
1816.08.02_LiverpoolMercuryetc_0002,1816.07.31_TheMorningChronicle_0002
1816.08.02_LiverpoolMercuryetc_0003,1816.07.27_Jackson'sOxfordJournal_0002
1816.08.02_LiverpoolMercuryetc_0003,1816.07.29_CaledonianMercury_0002
1816.08.02_LiverpoolMercuryetc_0005,1816.07.20_TheLeedsMercury_0004
1816.08.02_LiverpoolMercuryetc_0006,1816.07.25_TheMorningChronicle_0003
1816.08.03_CaledonianMercury_0002,1816.07.31_TheMorningChronicle_0002
1816.08.03_CaledonianMercury_0002,1816.07.31_TheMorningChronicle_0003
1816.08.03_CaledonianMercury_0004,1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.08.03_CaledonianMercury_0004,1816.07.27_TheMorningChronicle_0004
1816.08.03_TheIpswichJournal_0002,1816.07.31_TheMorningChronicle_0003
1816.08.03_TheLeedsMercury_0002,1816.07.30_TheMorningChronicle_0002
1816.08.06_TheMorningChronicle_0001,1816.07.18_CaledonianMercury_0003
1816.08.07_TheAberdeenJournal_0004,1816.07.06_TheMorningChronicle_0002
1816.08.07_TheAberdeenJournal_0004,1816.07.08_CaledonianMercury_0002
1816.08.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.29_CaledonianMercury_0003
1816.08.10_TheLeedsMercury_0001,1816.07.05_LiverpoolMercuryetc_0001
1816.08.13_TheMorningChronicle_0001,1816.07.18_CaledonianMercury_0003
1816.08.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.31_TheMorningChronicle_0003
1816.08.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.13_Jackson'sOxfordJournal_0004
1816.08.16_LiverpoolMercuryetc_0006,1816.07.27_TheMorningChronicle_0004
1816.08.17_TheLeedsMercury_0001,1816.07.05_LiverpoolMercuryetc_0001
1816.08.17_TheLeedsMercury_0004,1816.07.20_Jackson'sOxfordJournal_0004
1816.08.24_Jackson'sOxfordJournal_0004,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.08.26_CaledonianMercury_0004,1816.07.31_TheMorningChronicle_0004
1816.08.31_TheLeedsMercury_0004,1816.07.05_LiverpoolMercuryetc_0001
1816.08.31_TheLeedsMercury_0004,1816.07.20_Jackson'sOxfordJournal_0004
1816.09.07_Jackson'sOxfordJournal_0004,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.09.13_LiverpoolMercuryetc_0005,1816.07.20_TheLeedsMercury_0004
1816.09.21_TheLeedsMercury_0004,1816.07.20_Jackson'sOxfordJournal_0004
1816.10.19_Jackson'sOxfordJournal_0004,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.10.21_CaledonianMercury_0004,1816.07.23_TheMorningChronicle_0005
1816.10.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.13_Jackson'sOxfordJournal_0004
1816.10.25_LiverpoolMercuryetc_0005,1816.07.20_TheLeedsMercury_0004
1816.10.31_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1816.07.05_LiverpoolMercuryetc_0001
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.05_LiverpoolMercuryetc_0001
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.12_LiverpoolMercuryetc_0005
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.20_Jackson'sOxfordJournal_0004
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.20_TheLeedsMercury_0004
1816.11.08_LiverpoolMercuryetc_0005,1816.07.20_TheLeedsMercury_0004
1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.05_LiverpoolMercuryetc_0001
1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.20_TheLeedsMercury_0004
1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.20_Jackson'sOxfordJournal_0004
1816.11.22_LiverpoolMercuryetc_0005,1816.07.20_TheLeedsMercury_0004
1816.11.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.13_Jackson'sOxfordJournal_0004
1816.11.29_LiverpoolMercuryetc_0005,1816.07.20_TheLeedsMercury_0004
1816.12.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.05_LiverpoolMercuryetc_0001
1816.12.21_TheLeedsMercury_0004,1816.07.05_LiverpoolMercuryetc_0001
1816.12.21_TheLeedsMercury_0004,1816.07.12_LiverpoolMercuryetc_0005
1816.12.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.05_LiverpoolMercuryetc_0001
1816.12.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.20_TheLeedsMercury_0004
1816.12.27_LiverpoolMercuryetc_0005,1816.07.20_TheLeedsMercury_0004
1817.01.10_LiverpoolMercuryetc_0008,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.16_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.13_Jackson'sOxfordJournal_0004
1817.01.17_LiverpoolMercuryetc_0008,1816.07.20_TheLeedsMercury_0004
1817.01.18_TheLeedsMercury_0004,1816.07.05_LiverpoolMercuryetc_0001
1817.01.18_TheLeedsMercury_0004,1816.07.12_LiverpoolMercuryetc_0005
1817.01.25_TheLeedsMercury_0004,1816.07.12_LiverpoolMercuryetc_0005
