1825.04.01_TheMorningChronicle_0004,1825.04.01_LiverpoolMercuryetc_0008
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0023,1825.04.02_TheIpswichJournal_0004
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0023,1825.04.06_TheAberdeenJournal_0002
1825.04.16_Cobbett'sWeeklyPoliticalRegister_0026,1825.04.02_TheIpswichJournal_0004
1825.04.16_TheIpswichJournal_0001,1825.04.13_TheDerbyMercury_0001
1825.04.16_TheLeedsMercury_0001,1825.04.09_TheNewcastleCourantetc_0002
1825.04.16_TheLeedsMercury_0004,1825.04.09_TheMorningChronicle_0002
1825.04.16_TheNewcastleCourantetc_0001,1825.04.09_TheMorningChronicle_0001
1825.04.16_TheNewcastleCourantetc_0001,1825.04.15_LiverpoolMercuryetc_0001
1825.04.16_TheNewcastleCourantetc_0002,1825.04.07_TheMorningChronicle_0002
1825.04.16_TheNewcastleCourantetc_0003,1825.04.06_TheDerbyMercury_0001
1825.04.16_TheNewcastleCourantetc_0003,1825.04.13_TheDerbyMercury_0001
1825.04.16_TheNewcastleCourantetc_0003,1825.04.16_TheIpswichJournal_0001
1825.04.17_TheExaminer_0009,1825.04.12_TheMorningChronicle_0004
1825.04.18_CaledonianMercury_0001,1825.04.14_TheMorningChronicle_0001
1825.04.18_CaledonianMercury_0002,1825.04.15_TheMorningChronicle_0004
1825.04.18_CaledonianMercury_0002,1825.04.16_TheMorningChronicle_0002
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.04.09_CaledonianMercury_0002
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.04.09_CaledonianMercury_0003
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.04.12_TheMorningChronicle_0004
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.04.13_TheDerbyMercury_0001
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.04.16_CaledonianMercury_0002
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.04.17_TheExaminer_0009
1825.04.18_TheBristolMercury_0001,1825.04.13_TheDerbyMercury_0002
1825.04.18_TheBristolMercury_0002,1825.04.18_HampshireTelegraphandSussexChronicleetc_0003
1825.04.19_TheMorningChronicle_0001,1825.04.15_LiverpoolMercuryetc_0001
1825.04.20_TheDerbyMercury_0002,1825.04.16_TheIpswichJournal_0003
1825.04.21_CaledonianMercury_0001,1825.04.14_TheMorningChronicle_0001
1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1825.04.20_TheDerbyMercury_0002
1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.04.18_TheBristolMercury_0002
1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.04.20_TheDerbyMercury_0002
1825.04.22_LiverpoolMercuryetc_0003,1825.04.11_CaledonianMercury_0001
1825.04.22_LiverpoolMercuryetc_0003,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1825.04.23_CaledonianMercury_0002,1825.04.20_TheMorningChronicle_0002
1825.04.23_Cobbett'sWeeklyPoliticalRegister_0018,1825.04.06_TheMorningChronicle_0002
1825.04.23_TheIpswichJournal_0001,1825.04.18_TheBristolMercury_0002
1825.04.23_TheIpswichJournal_0002,1825.04.19_TheMorningChronicle_0002
1825.04.23_TheIpswichJournal_0004,1825.04.18_TheMorningChronicle_0003
1825.04.23_TheIpswichJournal_0004,1825.04.20_TheDerbyMercury_0002
1825.04.23_TheIpswichJournal_0004,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1825.04.23_TheLeedsMercury_0002,1825.04.20_TheMorningChronicle_0002
1825.04.23_TheLeedsMercury_0002,1825.04.23_CaledonianMercury_0002
1825.04.23_TheLeedsMercury_0004,1825.04.17_TheExaminer_0007
1825.04.23_TheLeedsMercury_0004,1825.04.20_TheDerbyMercury_0002
1825.04.23_TheLeedsMercury_0004,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1825.04.23_TheLeedsMercury_0004,1825.04.22_LiverpoolMercuryetc_0003
1825.04.23_TheLeedsMercury_0004,1825.04.23_TheIpswichJournal_0004
1825.04.23_TheNewcastleCourantetc_0002,1825.04.17_TheExaminer_0011
1825.04.23_TheNewcastleCourantetc_0004,1825.04.15_LiverpoolMercuryetc_0001
1825.04.23_TheNewcastleCourantetc_0004,1825.04.20_TheDerbyMercury_0002
1825.04.24_TheExaminer_0007,1825.04.22_TheMorningChronicle_0002
1825.04.24_TheExaminer_0008,1825.04.22_TheMorningChronicle_0002
1825.04.24_TheExaminer_0008,1825.04.22_TheMorningChronicle_0003
1825.04.25_CaledonianMercury_0002,1825.04.22_TheMorningChronicle_0002
1825.04.25_CaledonianMercury_0002,1825.04.24_TheExaminer_0007
1825.04.25_CaledonianMercury_0003,1825.04.20_TheDerbyMercury_0002
1825.04.25_CaledonianMercury_0003,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1825.04.25_CaledonianMercury_0003,1825.04.23_TheIpswichJournal_0004
1825.04.25_CaledonianMercury_0003,1825.04.23_TheLeedsMercury_0004
1825.04.25_CaledonianMercury_0004,1825.04.22_LiverpoolMercuryetc_0002
1825.04.25_CaledonianMercury_0004,1825.04.23_TheNewcastleCourantetc_0002
1825.04.25_HampshireTelegraphandSussexChronicleetc_0002,1825.04.19_TheMorningChronicle_0002
1825.04.25_HampshireTelegraphandSussexChronicleetc_0002,1825.04.20_TheMorningChronicle_0002
1825.04.25_HampshireTelegraphandSussexChronicleetc_0002,1825.04.20_TheMorningChronicle_0003
1825.04.25_HampshireTelegraphandSussexChronicleetc_0002,1825.04.23_CaledonianMercury_0002
1825.04.25_HampshireTelegraphandSussexChronicleetc_0002,1825.04.23_TheIpswichJournal_0002
1825.04.25_HampshireTelegraphandSussexChronicleetc_0003,1825.04.22_TheMorningChronicle_0003
1825.04.25_TheBristolMercury_0001,1825.04.20_TheDerbyMercury_0002
1825.04.25_TheBristolMercury_0001,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1825.04.25_TheBristolMercury_0001,1825.04.23_TheIpswichJournal_0002
1825.04.25_TheBristolMercury_0001,1825.04.23_TheIpswichJournal_0004
1825.04.25_TheBristolMercury_0001,1825.04.23_TheLeedsMercury_0004
1825.04.25_TheBristolMercury_0001,1825.04.25_CaledonianMercury_0003
1825.04.25_TheBristolMercury_0004,1825.04.18_TheMorningChronicle_0003
1825.04.25_TheMorningChronicle_0002,1825.04.25_HampshireTelegraphandSussexChronicleetc_0004
1825.04.26_TheMorningChronicle_0001,1825.04.15_LiverpoolMercuryetc_0001
1825.04.27_TheDerbyMercury_0001,1825.04.02_CaledonianMercury_0001
1825.04.27_TheDerbyMercury_0001,1825.04.23_TheIpswichJournal_0003
1825.04.27_TheDerbyMercury_0002,1825.04.23_TheNewcastleCourantetc_0001
1825.04.27_TheDerbyMercury_0004,1825.04.25_TheBristolMercury_0002
1825.04.28_CaledonianMercury_0002,1825.04.25_HampshireTelegraphandSussexChronicleetc_0004
1825.04.28_CaledonianMercury_0002,1825.04.25_TheMorningChronicle_0002
1825.04.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.04.22_TheMorningChronicle_0002
1825.04.29_LiverpoolMercuryetc_0002,1825.04.22_TheMorningChronicle_0002
1825.04.29_LiverpoolMercuryetc_0002,1825.04.25_TheMorningChronicle_0002
1825.04.29_LiverpoolMercuryetc_0002,1825.04.28_CaledonianMercury_0002
1825.04.29_LiverpoolMercuryetc_0003,1825.04.23_TheLeedsMercury_0004
1825.04.30_CaledonianMercury_0002,1825.04.26_TheMorningChronicle_0002
1825.04.30_CaledonianMercury_0002,1825.04.27_TheMorningChronicle_0002
1825.04.30_TheLeedsMercury_0002,1825.04.26_TheMorningChronicle_0002
1825.04.30_TheLeedsMercury_0002,1825.04.30_CaledonianMercury_0002
1825.04.30_TheNewcastleCourantetc_0001,1825.04.05_TheMorningChronicle_0001
1825.04.30_TheNewcastleCourantetc_0001,1825.04.09_TheMorningChronicle_0001
1825.04.30_TheNewcastleCourantetc_0001,1825.04.15_LiverpoolMercuryetc_0001
1825.04.30_TheNewcastleCourantetc_0001,1825.04.19_TheMorningChronicle_0001
1825.04.30_TheNewcastleCourantetc_0001,1825.04.23_TheLeedsMercury_0001
1825.04.30_TheNewcastleCourantetc_0001,1825.04.26_TheMorningChronicle_0001
1825.04.30_TheNewcastleCourantetc_0002,1825.04.23_TheIpswichJournal_0002
1825.04.30_TheNewcastleCourantetc_0002,1825.04.25_HampshireTelegraphandSussexChronicleetc_0004
1825.04.30_TheNewcastleCourantetc_0002,1825.04.25_TheMorningChronicle_0002
1825.04.30_TheNewcastleCourantetc_0002,1825.04.28_CaledonianMercury_0002
1825.04.30_TheNewcastleCourantetc_0002,1825.04.29_LiverpoolMercuryetc_0002
1825.04.30_TheNewcastleCourantetc_0003,1825.04.23_TheIpswichJournal_0003
1825.04.30_TheNewcastleCourantetc_0003,1825.04.27_TheDerbyMercury_0001
1825.04.30_TheNewcastleCourantetc_0003,1825.04.27_TheDerbyMercury_0002
1825.05.01_TheExaminer_0004,1825.04.26_TheMorningChronicle_0002
1825.05.01_TheExaminer_0004,1825.04.30_CaledonianMercury_0002
1825.05.01_TheExaminer_0015,1825.04.21_CaledonianMercury_0004
1825.05.02_HampshireTelegraphandSussexChronicleetc_0001,1825.04.22_LiverpoolMercuryetc_0003
1825.05.02_HampshireTelegraphandSussexChronicleetc_0002,1825.04.26_TheMorningChronicle_0002
1825.05.02_HampshireTelegraphandSussexChronicleetc_0002,1825.04.30_CaledonianMercury_0002
1825.05.02_HampshireTelegraphandSussexChronicleetc_0002,1825.04.30_TheIpswichJournal_0004
1825.05.02_HampshireTelegraphandSussexChronicleetc_0002,1825.04.30_TheLeedsMercury_0002
1825.05.02_HampshireTelegraphandSussexChronicleetc_0003,1825.04.29_TheMorningChronicle_0002
1825.05.02_TheBristolMercury_0001,1825.04.30_CaledonianMercury_0002
1825.05.02_TheBristolMercury_0001,1825.04.30_TheIpswichJournal_0004
1825.05.02_TheBristolMercury_0001,1825.04.30_TheLeedsMercury_0002
1825.05.02_TheBristolMercury_0002,1825.04.30_CaledonianMercury_0002
1825.05.03_TheMorningChronicle_0001,1825.04.15_LiverpoolMercuryetc_0001
1825.05.03_TheMorningChronicle_0001,1825.04.16_TheNewcastleCourantetc_0001
1825.05.03_TheMorningChronicle_0001,1825.04.23_TheNewcastleCourantetc_0004
1825.05.03_TheMorningChronicle_0001,1825.04.30_TheNewcastleCourantetc_0001
1825.05.04_TheAberdeenJournal_0002,1825.04.27_TheDerbyMercury_0002
1825.05.04_TheDerbyMercury_0002,1825.04.26_TheMorningChronicle_0002
1825.05.04_TheDerbyMercury_0002,1825.04.29_TheMorningChronicle_0002
1825.05.04_TheDerbyMercury_0002,1825.04.30_CaledonianMercury_0002
1825.05.04_TheDerbyMercury_0002,1825.04.30_TheIpswichJournal_0004
1825.05.04_TheDerbyMercury_0002,1825.04.30_TheLeedsMercury_0002
1825.05.04_TheDerbyMercury_0002,1825.04.30_TheMorningChronicle_0004
1825.05.04_TheDerbyMercury_0004,1825.04.29_TheMorningChronicle_0002
1825.05.04_TheDerbyMercury_0004,1825.04.29_TheMorningChronicle_0003
1825.05.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.04.26_TheMorningChronicle_0002
1825.05.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.04.30_CaledonianMercury_0002
1825.05.07_TheIpswichJournal_0004,1825.04.30_TheMorningChronicle_0004
1825.05.09_TheBristolMercury_0002,1825.04.26_TheMorningChronicle_0001
1825.05.09_TheBristolMercury_0002,1825.04.30_TheMorningChronicle_0001
1825.05.11_TheDerbyMercury_0001,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1825.05.12_CaledonianMercury_0004,1825.04.30_TheMorningChronicle_0004
1825.05.13_LiverpoolMercuryetc_0003,1825.04.09_CaledonianMercury_0003
1825.05.13_LiverpoolMercuryetc_0003,1825.04.23_TheLeedsMercury_0004
1825.05.14_Cobbett'sWeeklyPoliticalRegister_0018,1825.04.28_TheMorningChronicle_0003
1825.05.14_TheIpswichJournal_0001,1825.04.25_TheBristolMercury_0001
1825.05.18_TheDerbyMercury_0001,1825.04.16_TheNewcastleCourantetc_0003
1825.05.18_TheDerbyMercury_0002,1825.04.09_Cobbett'sWeeklyPoliticalRegister_0030
1825.05.18_TheDerbyMercury_0002,1825.04.30_Cobbett'sWeeklyPoliticalRegister_0030
1825.05.27_LiverpoolMercuryetc_0003,1825.04.23_TheLeedsMercury_0004
1825.05.28_TheNewcastleCourantetc_0002,1825.04.23_CaledonianMercury_0004
1825.05.28_TheNewcastleCourantetc_0003,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1825.05.30_TheBristolMercury_0004,1825.04.23_TheLeedsMercury_0004
1825.05.30_TheBristolMercury_0004,1825.04.29_LiverpoolMercuryetc_0003
1825.06.04_TheLeedsMercury_0004,1825.04.13_TheDerbyMercury_0001
1825.06.11_TheNewcastleCourantetc_0001,1825.04.02_CaledonianMercury_0001
1825.06.13_TheBristolMercury_0002,1825.04.22_LiverpoolMercuryetc_0003
1825.06.18_TheNewcastleCourantetc_0003,1825.04.02_CaledonianMercury_0001
1825.07.09_TheIpswichJournal_0004,1825.04.22_LiverpoolMercuryetc_0003
1825.07.09_TheLeedsMercury_0004,1825.04.13_TheDerbyMercury_0001
1825.07.09_TheLeedsMercury_0004,1825.04.16_TheNewcastleCourantetc_0003
1825.07.09_TheLeedsMercury_0004,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1825.07.30_TheLeedsMercury_0004,1825.04.16_TheNewcastleCourantetc_0003
1825.08.10_TheDerbyMercury_0001,1825.04.16_TheNewcastleCourantetc_0003
1825.08.10_TheDerbyMercury_0002,1825.04.16_TheNewcastleCourantetc_0003
1825.08.20_TheLeedsMercury_0004,1825.04.16_TheNewcastleCourantetc_0003
1825.08.20_TheLeedsMercury_0004,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1825.08.20_TheLeedsMercury_0004,1825.04.29_LiverpoolMercuryetc_0001
1825.08.31_TheDerbyMercury_0001,1825.04.25_TheBristolMercury_0002
1825.09.17_TheLeedsMercury_0004,1825.04.13_TheDerbyMercury_0001
1825.09.17_TheLeedsMercury_0004,1825.04.16_TheNewcastleCourantetc_0003
1825.09.22_CaledonianMercury_0001,1825.04.01_LiverpoolMercuryetc_0003
1825.10.01_TheLeedsMercury_0004,1825.04.16_TheNewcastleCourantetc_0003
1825.10.01_TheLeedsMercury_0004,1825.04.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1825.10.12_TheDerbyMercury_0001,1825.04.16_TheNewcastleCourantetc_0003
