1832.06.01_TheMorningChronicle_0002,1832.06.01_TheBelfastNews-Letter_0004
1832.06.06_TheDerbyMercury_0001,1832.06.03_TheExaminer_0009
1832.06.06_TheDerbyMercury_0001,1832.06.05_TheHullPacketandHumberMercury_0001
1832.06.06_TheDerbyMercury_0001,1832.06.05_TheHullPacketandHumberMercury_0002
1832.06.06_TheDerbyMercury_0002,1832.06.04_TheMorningChronicle_0003
1832.06.06_TheDerbyMercury_0002,1832.06.05_TheBelfastNews-Letter_0001
1832.06.06_TheDerbyMercury_0003,1832.06.05_TheMorningChronicle_0001
1832.06.06_TheDerbyMercury_0003,1832.06.05_TheMorningChronicle_0002
1832.06.06_TheDerbyMercury_0004,1832.06.02_TheMorningChronicle_0001
1832.06.06_TheDerbyMercury_0004,1832.06.02_TheNewcastleCourantetc_0004
1832.06.06_TheDerbyMercury_0004,1832.06.04_HampshireTelegraphandSussexChronicleetc_0003
1832.06.06_TheDerbyMercury_0004,1832.06.05_TheHullPacketandHumberMercury_0001
1832.06.06_TheDerbyMercury_0004,1832.06.06_TheAberdeenJournal_0004
1832.06.07_CaledonianMercury_0002,1832.06.05_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.06.07_CaledonianMercury_0002,1832.06.05_TheHullPacketandHumberMercury_0003
1832.06.07_CaledonianMercury_0004,1832.06.02_TheMorningChronicle_0002
1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.04_TheMorningChronicle_0002
1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.04_TheMorningChronicle_0003
1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.04_TheMorningChronicle_0002
1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.07_CaledonianMercury_0003
1832.06.08_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.05_TheMorningChronicle_0002
1832.06.08_LiverpoolMercuryetc_0002,1832.06.03_TheExaminer_0007
1832.06.08_LiverpoolMercuryetc_0002,1832.06.03_TheExaminer_0008
1832.06.08_LiverpoolMercuryetc_0003,1832.06.03_TheExaminer_0002
1832.06.08_LiverpoolMercuryetc_0003,1832.06.04_TheMorningChronicle_0004
1832.06.08_LiverpoolMercuryetc_0003,1832.06.05_TheBelfastNews-Letter_0001
1832.06.08_LiverpoolMercuryetc_0003,1832.06.05_TheBelfastNews-Letter_0002
1832.06.08_LiverpoolMercuryetc_0003,1832.06.06_TheDerbyMercury_0002
1832.06.08_LiverpoolMercuryetc_0006,1832.06.02_TheBristolMercury_0002
1832.06.08_LiverpoolMercuryetc_0006,1832.06.06_TheDerbyMercury_0001
1832.06.08_LiverpoolMercuryetc_0007,1832.06.02_PrestonChronicle_0003
1832.06.08_TheBelfastNews-Letter_0002,1832.06.07_CaledonianMercury_0002
1832.06.08_TheBelfastNews-Letter_0002,1832.06.07_CaledonianMercury_0003
1832.06.08_TheBelfastNews-Letter_0002,1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.08_TheMorningChronicle_0003,1832.06.07_CaledonianMercury_0003
1832.06.09_CaledonianMercury_0002,1832.06.06_TheMorningChronicle_0003
1832.06.09_CaledonianMercury_0004,1832.06.05_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.06.09_CaledonianMercury_0004,1832.06.08_TheBelfastNews-Letter_0001
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0002,1832.06.05_TheMorningChronicle_0001
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0003,1832.06.05_TheMorningChronicle_0001
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0004,1832.06.05_TheMorningChronicle_0001
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0005,1832.06.05_TheMorningChronicle_0001
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0005,1832.06.06_TheDerbyMercury_0003
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0006,1832.06.05_TheMorningChronicle_0001
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0007,1832.06.05_TheMorningChronicle_0002
1832.06.09_Cobbett'sWeeklyPoliticalRegister_0008,1832.06.06_TheMorningChronicle_0002
1832.06.09_PrestonChronicle_0001,1832.06.05_TheHullPacketandHumberMercury_0001
1832.06.09_PrestonChronicle_0001,1832.06.05_TheMorningChronicle_0001
1832.06.09_PrestonChronicle_0001,1832.06.06_TheDerbyMercury_0003
1832.06.09_PrestonChronicle_0001,1832.06.09_Cobbett'sWeeklyPoliticalRegister_0005
1832.06.09_PrestonChronicle_0002,1832.06.02_TheBristolMercury_0002
1832.06.09_PrestonChronicle_0002,1832.06.04_TheMorningChronicle_0004
1832.06.09_PrestonChronicle_0002,1832.06.05_TheMorningChronicle_0002
1832.06.09_PrestonChronicle_0002,1832.06.05_TheMorningChronicle_0003
1832.06.09_PrestonChronicle_0002,1832.06.08_LiverpoolMercuryetc_0006
1832.06.09_PrestonChronicle_0003,1832.06.01_LiverpoolMercuryetc_0007
1832.06.09_PrestonChronicle_0003,1832.06.08_LiverpoolMercuryetc_0006
1832.06.09_PrestonChronicle_0003,1832.06.08_LiverpoolMercuryetc_0007
1832.06.09_PrestonChronicle_0003,1832.06.08_TheBelfastNews-Letter_0004
1832.06.09_PrestonChronicle_0004,1832.06.04_TheMorningChronicle_0004
1832.06.09_PrestonChronicle_0004,1832.06.05_TheBelfastNews-Letter_0002
1832.06.09_PrestonChronicle_0004,1832.06.05_TheMorningChronicle_0004
1832.06.09_PrestonChronicle_0004,1832.06.06_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.09_PrestonChronicle_0004,1832.06.06_TheMorningChronicle_0001
1832.06.09_PrestonChronicle_0004,1832.06.08_LiverpoolMercuryetc_0003
1832.06.09_TheBristolMercury_0001,1832.06.04_TheMorningChronicle_0002
1832.06.09_TheBristolMercury_0001,1832.06.05_TheBelfastNews-Letter_0003
1832.06.09_TheBristolMercury_0001,1832.06.06_TheMorningChronicle_0001
1832.06.09_TheBristolMercury_0001,1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.06.09_TheBristolMercury_0001,1832.06.07_TheMorningChronicle_0003
1832.06.09_TheBristolMercury_0001,1832.06.08_LiverpoolMercuryetc_0006
1832.06.09_TheBristolMercury_0001,1832.06.08_TheBelfastNews-Letter_0003
1832.06.09_TheBristolMercury_0001,1832.06.09_PrestonChronicle_0004
1832.06.09_TheBristolMercury_0002,1832.06.07_TheMorningChronicle_0003
1832.06.09_TheBristolMercury_0002,1832.06.08_TheMorningChronicle_0002
1832.06.09_TheBristolMercury_0002,1832.06.09_PrestonChronicle_0003
1832.06.09_TheBristolMercury_0004,1832.06.05_TheHullPacketandHumberMercury_0004
1832.06.09_TheBristolMercury_0004,1832.06.06_TheDerbyMercury_0004
1832.06.09_TheLeedsMercury_0003,1832.06.09_TheBristolMercury_0002
1832.06.09_TheManchesterTimesandGazette_0002,1832.06.09_TheBristolMercury_0002
1832.06.09_TheManchesterTimesandGazette_0004,1832.06.05_TheMorningChronicle_0004
1832.06.09_TheNewcastleCourantetc_0002,1832.06.02_TheBristolMercury_0002
1832.06.09_TheNewcastleCourantetc_0002,1832.06.04_CaledonianMercury_0004
1832.06.09_TheNewcastleCourantetc_0002,1832.06.04_HampshireTelegraphandSussexChronicleetc_0002
1832.06.09_TheNewcastleCourantetc_0002,1832.06.05_TheBelfastNews-Letter_0001
1832.06.09_TheNewcastleCourantetc_0002,1832.06.05_TheBelfastNews-Letter_0004
1832.06.09_TheNewcastleCourantetc_0002,1832.06.05_TheHullPacketandHumberMercury_0004
1832.06.09_TheNewcastleCourantetc_0002,1832.06.06_TheDerbyMercury_0001
1832.06.09_TheNewcastleCourantetc_0002,1832.06.06_TheDerbyMercury_0002
1832.06.09_TheNewcastleCourantetc_0002,1832.06.07_CaledonianMercury_0002
1832.06.09_TheNewcastleCourantetc_0002,1832.06.08_LiverpoolMercuryetc_0003
1832.06.09_TheNewcastleCourantetc_0002,1832.06.08_LiverpoolMercuryetc_0006
1832.06.09_TheNewcastleCourantetc_0002,1832.06.09_TheBristolMercury_0001
1832.06.09_TheNewcastleCourantetc_0003,1832.06.01_TheMorningChronicle_0001
1832.06.09_TheNewcastleCourantetc_0003,1832.06.01_TheMorningChronicle_0002
1832.06.09_TheNewcastleCourantetc_0003,1832.06.02_TheBristolMercury_0002
1832.06.09_TheNewcastleCourantetc_0003,1832.06.02_TheLeedsMercury_0002
1832.06.09_TheNewcastleCourantetc_0003,1832.06.03_TheExaminer_0008
1832.06.09_TheNewcastleCourantetc_0003,1832.06.04_CaledonianMercury_0002
1832.06.09_TheNewcastleCourantetc_0003,1832.06.04_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.06.09_TheNewcastleCourantetc_0003,1832.06.04_HampshireTelegraphandSussexChronicleetc_0003
1832.06.09_TheNewcastleCourantetc_0003,1832.06.05_TheBelfastNews-Letter_0001
1832.06.09_TheNewcastleCourantetc_0003,1832.06.05_TheHullPacketandHumberMercury_0001
1832.06.09_TheNewcastleCourantetc_0003,1832.06.06_TheAberdeenJournal_0004
1832.06.09_TheNewcastleCourantetc_0004,1832.06.08_LiverpoolMercuryetc_0002
1832.06.09_ThePoorMan'sGuardian_0003,1832.06.09_Cobbett'sWeeklyPoliticalRegister_0016
1832.06.09_ThePoorMan'sGuardian_0003,1832.06.09_Cobbett'sWeeklyPoliticalRegister_0017
1832.06.09_ThePoorMan'sGuardian_0004,1832.06.05_TheMorningChronicle_0004
1832.06.09_ThePoorMan'sGuardian_0004,1832.06.09_PrestonChronicle_0004
1832.06.09_ThePoorMan'sGuardian_0005,1832.06.02_TheBristolMercury_0001
1832.06.09_ThePoorMan'sGuardian_0005,1832.06.05_TheBelfastNews-Letter_0001
1832.06.09_ThePoorMan'sGuardian_0006,1832.06.03_TheExaminer_0002
1832.06.09_ThePoorMan'sGuardian_0006,1832.06.08_LiverpoolMercuryetc_0003
1832.06.10_TheExaminer_0006,1832.06.05_TheMorningChronicle_0001
1832.06.10_TheExaminer_0007,1832.06.06_TheMorningChronicle_0002
1832.06.10_TheExaminer_0008,1832.06.07_TheMorningChronicle_0002
1832.06.10_TheExaminer_0008,1832.06.08_TheMorningChronicle_0002
1832.06.10_TheExaminer_0013,1832.06.07_TheMorningChronicle_0004
1832.06.10_TheExaminer_0014,1832.06.06_TheMorningChronicle_0001
1832.06.11_CaledonianMercury_0002,1832.06.09_TheMorningChronicle_0002
1832.06.11_CaledonianMercury_0004,1832.06.07_TheMorningChronicle_0002
1832.06.11_CaledonianMercury_0004,1832.06.07_TheMorningChronicle_0003
1832.06.11_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.07_TheMorningChronicle_0004
1832.06.11_HampshireTelegraphandSussexChronicleetc_0001,1832.06.05_TheMorningChronicle_0004
1832.06.11_HampshireTelegraphandSussexChronicleetc_0001,1832.06.09_PrestonChronicle_0004
1832.06.11_HampshireTelegraphandSussexChronicleetc_0001,1832.06.09_ThePoorMan'sGuardian_0004
1832.06.11_HampshireTelegraphandSussexChronicleetc_0002,1832.06.06_TheMorningChronicle_0002
1832.06.11_HampshireTelegraphandSussexChronicleetc_0002,1832.06.09_PrestonChronicle_0002
1832.06.11_HampshireTelegraphandSussexChronicleetc_0003,1832.06.08_TheMorningChronicle_0001
1832.06.11_TheMorningChronicle_0003,1832.06.09_TheLeedsMercury_0003
1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.09_TheMorningChronicle_0002
1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.09_TheMorningChronicle_0003
1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.11_TheMorningChronicle_0004
1832.06.12_NorthWalesChronicle_0001,1832.06.02_TheMorningChronicle_0004
1832.06.12_NorthWalesChronicle_0002,1832.06.08_LiverpoolMercuryetc_0002
1832.06.12_NorthWalesChronicle_0002,1832.06.09_PrestonChronicle_0004
1832.06.12_TheBelfastNews-Letter_0001,1832.06.06_TheMorningChronicle_0002
1832.06.12_TheBelfastNews-Letter_0001,1832.06.06_TheMorningChronicle_0003
1832.06.12_TheBelfastNews-Letter_0001,1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.12_TheBelfastNews-Letter_0001,1832.06.09_CaledonianMercury_0002
1832.06.12_TheBelfastNews-Letter_0001,1832.06.10_TheExaminer_0007
1832.06.12_TheBelfastNews-Letter_0001,1832.06.11_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.12_TheBelfastNews-Letter_0001,1832.06.11_HampshireTelegraphandSussexChronicleetc_0002
1832.06.12_TheBelfastNews-Letter_0002,1832.06.09_TheMorningChronicle_0003
1832.06.12_TheBelfastNews-Letter_0002,1832.06.11_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.12_TheBelfastNews-Letter_0004,1832.06.08_TheMorningChronicle_0001
1832.06.12_TheHullPacketandHumberMercury_0002,1832.06.08_LiverpoolMercuryetc_0002
1832.06.12_TheHullPacketandHumberMercury_0002,1832.06.08_TheMorningChronicle_0002
1832.06.12_TheHullPacketandHumberMercury_0002,1832.06.09_TheBristolMercury_0002
1832.06.12_TheHullPacketandHumberMercury_0002,1832.06.09_TheNewcastleCourantetc_0004
1832.06.12_TheHullPacketandHumberMercury_0003,1832.06.08_LiverpoolMercuryetc_0007
1832.06.12_TheHullPacketandHumberMercury_0003,1832.06.08_TheMorningChronicle_0004
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.04_TheMorningChronicle_0004
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.05_TheBelfastNews-Letter_0002
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.05_TheMorningChronicle_0004
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.06_TheMorningChronicle_0001
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.07_TheMorningChronicle_0003
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.09_PrestonChronicle_0002
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.09_PrestonChronicle_0004
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.09_TheBristolMercury_0001
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.11_TheMorningChronicle_0004
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.12_TheHullPacketandHumberMercury_0004,1832.06.12_NorthWalesChronicle_0002
1832.06.12_TheMorningChronicle_0003,1832.06.09_CaledonianMercury_0003
1832.06.12_TheMorningChronicle_0004,1832.06.08_TheBelfastNews-Letter_0002
1832.06.13_Freeman'sJournalandDailyCommercialAdvertiser_0001,1832.06.12_TheBelfastNews-Letter_0002
1832.06.13_TheAberdeenJournal_0002,1832.06.05_TheBelfastNews-Letter_0002
1832.06.13_TheAberdeenJournal_0002,1832.06.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.13_TheAberdeenJournal_0002,1832.06.09_TheNewcastleCourantetc_0004
1832.06.13_TheAberdeenJournal_0002,1832.06.12_TheHullPacketandHumberMercury_0004
1832.06.13_TheAberdeenJournal_0004,1832.06.02_Cobbett'sWeeklyPoliticalRegister_0018
1832.06.13_TheAberdeenJournal_0004,1832.06.09_CaledonianMercury_0002
1832.06.13_TheAberdeenJournal_0004,1832.06.09_TheNewcastleCourantetc_0002
1832.06.13_TheAberdeenJournal_0004,1832.06.09_TheNewcastleCourantetc_0004
1832.06.13_TheDerbyMercury_0001,1832.06.05_TheHullPacketandHumberMercury_0001
1832.06.13_TheDerbyMercury_0001,1832.06.07_TheMorningChronicle_0003
1832.06.13_TheDerbyMercury_0001,1832.06.11_TheMorningChronicle_0004
1832.06.13_TheDerbyMercury_0001,1832.06.12_TheHullPacketandHumberMercury_0004
1832.06.13_TheDerbyMercury_0002,1832.06.09_TheMorningChronicle_0001
1832.06.13_TheDerbyMercury_0002,1832.06.11_HampshireTelegraphandSussexChronicleetc_0003
1832.06.13_TheDerbyMercury_0004,1832.06.08_LiverpoolMercuryetc_0002
1832.06.13_TheDerbyMercury_0004,1832.06.09_TheBristolMercury_0002
1832.06.13_TheDerbyMercury_0004,1832.06.09_TheMorningChronicle_0002
1832.06.13_TheDerbyMercury_0004,1832.06.09_TheMorningChronicle_0003
1832.06.13_TheDerbyMercury_0004,1832.06.09_TheNewcastleCourantetc_0004
1832.06.13_TheDerbyMercury_0004,1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.14_CaledonianMercury_0001,1832.06.05_TheHullPacketandHumberMercury_0001
1832.06.14_CaledonianMercury_0002,1832.06.10_TheExaminer_0009
1832.06.14_CaledonianMercury_0002,1832.06.11_TheMorningChronicle_0003
1832.06.14_CaledonianMercury_0002,1832.06.12_TheMorningChronicle_0001
1832.06.14_Freeman'sJournalandDailyCommercialAdvertiser_0001,1832.06.11_TheMorningChronicle_0004
1832.06.14_Freeman'sJournalandDailyCommercialAdvertiser_0001,1832.06.12_TheBelfastNews-Letter_0003
1832.06.14_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.11_TheMorningChronicle_0003
1832.06.14_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.12_TheBelfastNews-Letter_0002
1832.06.15_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.12_TheMorningChronicle_0003
1832.06.15_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.13_TheMorningChronicle_0003
1832.06.15_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.13_TheMorningChronicle_0003
1832.06.15_LiverpoolMercuryetc_0002,1832.06.08_TheMorningChronicle_0002
1832.06.15_LiverpoolMercuryetc_0002,1832.06.09_TheBristolMercury_0002
1832.06.15_LiverpoolMercuryetc_0002,1832.06.09_TheLeedsMercury_0003
1832.06.15_LiverpoolMercuryetc_0002,1832.06.09_TheManchesterTimesandGazette_0002
1832.06.15_LiverpoolMercuryetc_0002,1832.06.09_TheMorningChronicle_0002
1832.06.15_LiverpoolMercuryetc_0002,1832.06.10_TheExaminer_0008
1832.06.15_LiverpoolMercuryetc_0002,1832.06.12_TheMorningChronicle_0001
1832.06.15_LiverpoolMercuryetc_0002,1832.06.14_CaledonianMercury_0002
1832.06.15_LiverpoolMercuryetc_0003,1832.06.07_TheMorningChronicle_0003
1832.06.15_LiverpoolMercuryetc_0003,1832.06.11_CaledonianMercury_0004
1832.06.15_LiverpoolMercuryetc_0003,1832.06.11_TheMorningChronicle_0004
1832.06.15_LiverpoolMercuryetc_0003,1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.15_LiverpoolMercuryetc_0003,1832.06.12_TheHullPacketandHumberMercury_0004
1832.06.15_LiverpoolMercuryetc_0003,1832.06.12_TheMorningChronicle_0004
1832.06.15_LiverpoolMercuryetc_0003,1832.06.13_TheDerbyMercury_0001
1832.06.15_LiverpoolMercuryetc_0007,1832.06.02_PrestonChronicle_0003
1832.06.15_LiverpoolMercuryetc_0007,1832.06.09_PrestonChronicle_0003
1832.06.15_LiverpoolMercuryetc_0008,1832.06.14_TheMorningChronicle_0003
1832.06.15_TheBelfastNews-Letter_0001,1832.06.11_TheMorningChronicle_0004
1832.06.15_TheBelfastNews-Letter_0001,1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.15_TheBelfastNews-Letter_0001,1832.06.12_TheHullPacketandHumberMercury_0004
1832.06.15_TheBelfastNews-Letter_0001,1832.06.13_TheDerbyMercury_0001
1832.06.15_TheBelfastNews-Letter_0001,1832.06.14_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.15_TheBelfastNews-Letter_0001,1832.06.15_LiverpoolMercuryetc_0003
1832.06.15_TheBelfastNews-Letter_0002,1832.06.13_TheMorningChronicle_0003
1832.06.15_TheBelfastNews-Letter_0002,1832.06.15_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.15_TheBelfastNews-Letter_0004,1832.06.01_LiverpoolMercuryetc_0007
1832.06.15_TheBelfastNews-Letter_0004,1832.06.08_LiverpoolMercuryetc_0007
1832.06.15_TheBelfastNews-Letter_0004,1832.06.15_LiverpoolMercuryetc_0007
1832.06.16_CaledonianMercury_0004,1832.06.03_TheExaminer_0011
1832.06.16_CaledonianMercury_0004,1832.06.10_TheExaminer_0004
1832.06.16_CaledonianMercury_0004,1832.06.11_TheMorningChronicle_0004
1832.06.16_CaledonianMercury_0004,1832.06.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.16_CaledonianMercury_0004,1832.06.12_TheHullPacketandHumberMercury_0004
1832.06.16_CaledonianMercury_0004,1832.06.13_TheDerbyMercury_0001
1832.06.16_CaledonianMercury_0004,1832.06.13_TheMorningChronicle_0004
1832.06.16_CaledonianMercury_0004,1832.06.15_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.16_CaledonianMercury_0004,1832.06.15_LiverpoolMercuryetc_0003
1832.06.16_CaledonianMercury_0004,1832.06.15_TheBelfastNews-Letter_0001
1832.06.16_CaledonianMercury_0004,1832.06.15_TheBelfastNews-Letter_0002
1832.06.16_CaledonianMercury_0004,1832.06.15_TheBelfastNews-Letter_0004
1832.06.16_Cobbett'sWeeklyPoliticalRegister_0022,1832.06.15_TheMorningChronicle_0002
1832.06.16_Cobbett'sWeeklyPoliticalRegister_0023,1832.06.15_TheMorningChronicle_0002
1832.06.16_Cobbett'sWeeklyPoliticalRegister_0024,1832.06.15_TheMorningChronicle_0002
1832.06.16_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.06.14_TheMorningChronicle_0003
1832.06.16_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.15_LiverpoolMercuryetc_0005
1832.06.16_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.13_TheMorningChronicle_0003
1832.06.16_TheBristolMercury_0001,1832.06.05_TheBelfastNews-Letter_0003
1832.06.16_TheBristolMercury_0001,1832.06.08_TheBelfastNews-Letter_0003
1832.06.16_TheBristolMercury_0003,1832.06.15_LiverpoolMercuryetc_0005
1832.06.16_TheBristolMercury_0003,1832.06.16_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.06.16_TheBristolMercury_0004,1832.06.07_TheMorningChronicle_0004
1832.06.16_TheBristolMercury_0004,1832.06.09_TheNewcastleCourantetc_0002
1832.06.16_TheBristolMercury_0004,1832.06.11_TheMorningChronicle_0004
1832.06.16_TheBristolMercury_0004,1832.06.12_TheHullPacketandHumberMercury_0004
