1828.02.02_CaledonianMercury_0001,1828.02.01_TheBelfastNews-Letter_0001
1828.02.09_CaledonianMercury_0003,1828.02.08_LiverpoolMercuryetc_0003
1828.02.09_TheIpswichJournal_0001,1828.02.04_HampshireTelegraphandSussexChronicleetc_0004
1828.02.09_TheIpswichJournal_0002,1828.02.07_TheMorningChronicle_0001
1828.02.09_TheIpswichJournal_0002,1828.02.09_CaledonianMercury_0002
1828.02.09_TheIpswichJournal_0004,1828.02.05_TheMorningChronicle_0001
1828.02.09_TheLeedsMercury_0003,1828.02.08_LiverpoolMercuryetc_0003
1828.02.09_TheNewcastleCourantetc_0002,1828.02.02_TheIpswichJournal_0002
1828.02.09_TheNewcastleCourantetc_0002,1828.02.02_TheMorningChronicle_0002
1828.02.09_TheNewcastleCourantetc_0002,1828.02.04_CaledonianMercury_0002
1828.02.09_TheNewcastleCourantetc_0002,1828.02.05_TheBelfastNews-Letter_0002
1828.02.09_TheNewcastleCourantetc_0002,1828.02.06_TheDerbyMercury_0001
1828.02.09_TheNewcastleCourantetc_0002,1828.02.06_TheDerbyMercury_0004
1828.02.09_TheNewcastleCourantetc_0003,1828.02.02_TheIpswichJournal_0004
1828.02.10_TheExaminer_0006,1828.02.08_LiverpoolMercuryetc_0008
1828.02.10_TheExaminer_0006,1828.02.09_CaledonianMercury_0002
1828.02.10_TheExaminer_0006,1828.02.09_TheIpswichJournal_0002
1828.02.10_TheExaminer_0013,1828.02.05_TheMorningChronicle_0004
1828.02.10_TheExaminer_0014,1828.02.02_TheIpswichJournal_0004
1828.02.10_TheExaminer_0014,1828.02.09_TheNewcastleCourantetc_0003
1828.02.11_CaledonianMercury_0002,1828.02.08_TheMorningChronicle_0001
1828.02.11_HampshireTelegraphandSussexChronicleetc_0002,1828.02.07_TheMorningChronicle_0001
1828.02.11_TheBristolMercury_0001,1828.02.05_TheMorningChronicle_0001
1828.02.11_TheMorningChronicle_0002,1828.02.09_TheLeedsMercury_0002
1828.02.12_TheBelfastNews-Letter_0001,1828.02.07_TheMorningChronicle_0001
1828.02.12_TheBelfastNews-Letter_0001,1828.02.07_TheMorningChronicle_0003
1828.02.12_TheBelfastNews-Letter_0001,1828.02.08_LiverpoolMercuryetc_0003
1828.02.12_TheBelfastNews-Letter_0001,1828.02.09_CaledonianMercury_0002
1828.02.12_TheBelfastNews-Letter_0001,1828.02.09_CaledonianMercury_0003
1828.02.12_TheBelfastNews-Letter_0001,1828.02.09_TheIpswichJournal_0002
1828.02.12_TheBelfastNews-Letter_0001,1828.02.11_HampshireTelegraphandSussexChronicleetc_0002
1828.02.12_TheBelfastNews-Letter_0002,1828.02.08_TheMorningChronicle_0003
1828.02.12_TheBelfastNews-Letter_0004,1828.02.02_CaledonianMercury_0004
1828.02.12_TheBelfastNews-Letter_0004,1828.02.05_TheMorningChronicle_0002
1828.02.12_TheBelfastNews-Letter_0004,1828.02.08_LiverpoolMercuryetc_0008
1828.02.12_TheBelfastNews-Letter_0004,1828.02.09_CaledonianMercury_0002
1828.02.12_TheBelfastNews-Letter_0004,1828.02.09_TheIpswichJournal_0002
1828.02.12_TheBelfastNews-Letter_0004,1828.02.10_TheExaminer_0006
1828.02.12_TheHullPacketandHumberMercury_0001,1828.02.06_TheMorningChronicle_0004
1828.02.12_TheHullPacketandHumberMercury_0001,1828.02.09_CaledonianMercury_0002
1828.02.12_TheHullPacketandHumberMercury_0002,1828.02.05_TheMorningChronicle_0004
1828.02.12_TheHullPacketandHumberMercury_0002,1828.02.09_CaledonianMercury_0002
1828.02.12_TheHullPacketandHumberMercury_0002,1828.02.09_TheIpswichJournal_0002
1828.02.12_TheHullPacketandHumberMercury_0002,1828.02.10_TheExaminer_0013
1828.02.12_TheHullPacketandHumberMercury_0002,1828.02.11_TheBristolMercury_0001
1828.02.12_TheHullPacketandHumberMercury_0002,1828.02.12_TheBelfastNews-Letter_0004
1828.02.12_TheHullPacketandHumberMercury_0004,1828.02.07_NorthWalesChronicle_0004
1828.02.13_TheDerbyMercury_0001,1828.02.08_LiverpoolMercuryetc_0005
1828.02.13_TheDerbyMercury_0001,1828.02.11_CaledonianMercury_0002
1828.02.13_TheDerbyMercury_0002,1828.02.07_TheMorningChronicle_0001
1828.02.13_TheDerbyMercury_0002,1828.02.09_TheIpswichJournal_0002
1828.02.13_TheDerbyMercury_0002,1828.02.11_HampshireTelegraphandSussexChronicleetc_0002
1828.02.13_TheDerbyMercury_0002,1828.02.12_TheBelfastNews-Letter_0001
1828.02.13_TheDerbyMercury_0004,1828.02.11_CaledonianMercury_0002
1828.02.14_NorthWalesChronicle_0004,1828.02.07_TheMorningChronicle_0002
1828.02.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1828.02.09_CaledonianMercury_0002
1828.02.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1828.02.09_TheIpswichJournal_0002
1828.02.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1828.02.12_TheHullPacketandHumberMercury_0001
1828.02.15_TheMorningChronicle_0001,1828.02.15_TheBelfastNews-Letter_0001
1828.02.16_CaledonianMercury_0002,1828.02.12_TheMorningChronicle_0002
1828.02.16_TheIpswichJournal_0004,1828.02.12_TheHullPacketandHumberMercury_0001
1828.02.16_TheIpswichJournal_0004,1828.02.12_TheMorningChronicle_0002
1828.02.16_TheIpswichJournal_0004,1828.02.16_CaledonianMercury_0002
1828.02.16_TheNewcastleCourantetc_0002,1828.02.07_TheMorningChronicle_0001
1828.02.16_TheNewcastleCourantetc_0002,1828.02.07_TheMorningChronicle_0002
1828.02.16_TheNewcastleCourantetc_0002,1828.02.08_TheMorningChronicle_0002
1828.02.16_TheNewcastleCourantetc_0002,1828.02.09_CaledonianMercury_0002
1828.02.16_TheNewcastleCourantetc_0002,1828.02.09_TheIpswichJournal_0002
1828.02.16_TheNewcastleCourantetc_0002,1828.02.10_TheExaminer_0006
1828.02.16_TheNewcastleCourantetc_0002,1828.02.12_TheBelfastNews-Letter_0001
1828.02.16_TheNewcastleCourantetc_0002,1828.02.12_TheBelfastNews-Letter_0004
1828.02.16_TheNewcastleCourantetc_0002,1828.02.13_TheDerbyMercury_0002
1828.02.16_TheNewcastleCourantetc_0004,1828.02.16_TheIpswichJournal_0004
1828.02.17_TheExaminer_0001,1828.02.12_TheMorningChronicle_0002
1828.02.17_TheExaminer_0004,1828.02.12_TheMorningChronicle_0002
1828.02.17_TheExaminer_0004,1828.02.16_TheIpswichJournal_0004
1828.02.17_TheExaminer_0005,1828.02.12_TheMorningChronicle_0002
1828.02.17_TheExaminer_0006,1828.02.12_TheMorningChronicle_0003
1828.02.17_TheExaminer_0011,1828.02.14_TheMorningChronicle_0002
1828.02.17_TheExaminer_0012,1828.02.11_TheMorningChronicle_0003
1828.02.18_CaledonianMercury_0002,1828.02.14_TheMorningChronicle_0002
1828.02.18_CaledonianMercury_0002,1828.02.16_TheMorningChronicle_0003
1828.02.18_TheBristolMercury_0002,1828.02.15_TheMorningChronicle_0004
1828.02.18_TheBristolMercury_0002,1828.02.16_CaledonianMercury_0003
1828.02.18_TheBristolMercury_0004,1828.02.13_TheMorningChronicle_0002
1828.02.18_TheMorningChronicle_0002,1828.02.16_TheLeedsMercury_0003
1828.02.18_TheMorningChronicle_0002,1828.02.17_TheExaminer_0002
1828.02.18_TheMorningChronicle_0003,1828.02.18_HampshireTelegraphandSussexChronicleetc_0004
1828.02.19_TheBelfastNews-Letter_0001,1828.02.12_TheMorningChronicle_0002
1828.02.19_TheBelfastNews-Letter_0001,1828.02.16_CaledonianMercury_0002
1828.02.19_TheBelfastNews-Letter_0001,1828.02.16_TheIpswichJournal_0004
1828.02.19_TheHullPacketandHumberMercury_0001,1828.02.09_TheNewcastleCourantetc_0003
1828.02.19_TheHullPacketandHumberMercury_0001,1828.02.12_TheMorningChronicle_0002
1828.02.19_TheHullPacketandHumberMercury_0001,1828.02.16_TheNewcastleCourantetc_0004
1828.02.19_TheHullPacketandHumberMercury_0004,1828.02.13_TheMorningChronicle_0002
1828.02.19_TheHullPacketandHumberMercury_0004,1828.02.18_HampshireTelegraphandSussexChronicleetc_0003
1828.02.19_TheHullPacketandHumberMercury_0004,1828.02.18_TheBristolMercury_0004
1828.02.19_TheMorningChronicle_0001,1828.02.16_TheIpswichJournal_0004
1828.02.20_TheAberdeenJournal_0004,1828.02.16_TheNewcastleCourantetc_0004
1828.02.20_TheDerbyMercury_0001,1828.02.12_TheMorningChronicle_0002
1828.02.20_TheDerbyMercury_0001,1828.02.16_CaledonianMercury_0002
1828.02.20_TheDerbyMercury_0001,1828.02.16_TheIpswichJournal_0004
1828.02.20_TheDerbyMercury_0001,1828.02.16_TheNewcastleCourantetc_0004
1828.02.20_TheDerbyMercury_0001,1828.02.18_CaledonianMercury_0002
1828.02.20_TheDerbyMercury_0001,1828.02.19_TheHullPacketandHumberMercury_0001
1828.02.20_TheDerbyMercury_0002,1828.02.17_TheExaminer_0013
1828.02.20_TheDerbyMercury_0003,1828.02.19_TheMorningChronicle_0004
1828.02.20_TheDerbyMercury_0004,1828.02.18_CaledonianMercury_0002
1828.02.20_TheDerbyMercury_0004,1828.02.19_TheHullPacketandHumberMercury_0004
1828.02.21_NorthWalesChronicle_0001,1828.02.16_TheNewcastleCourantetc_0004
1828.02.21_NorthWalesChronicle_0004,1828.02.09_TheIpswichJournal_0002
1828.02.21_NorthWalesChronicle_0004,1828.02.15_TheBelfastNews-Letter_0001
1828.02.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1828.02.19_TheHullPacketandHumberMercury_0004
1828.02.22_LiverpoolMercuryetc_0002,1828.02.19_TheMorningChronicle_0002
1828.02.22_LiverpoolMercuryetc_0003,1828.02.19_TheMorningChronicle_0002
1828.02.22_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.02.23_TheIpswichJournal_0001,1828.02.02_TheNewcastleCourantetc_0003
1828.02.23_TheIpswichJournal_0001,1828.02.03_TheExaminer_0016
1828.02.23_TheIpswichJournal_0001,1828.02.04_TheBristolMercury_0002
1828.02.23_TheIpswichJournal_0001,1828.02.13_TheDerbyMercury_0004
1828.02.23_TheIpswichJournal_0001,1828.02.14_NorthWalesChronicle_0003
1828.02.23_TheIpswichJournal_0001,1828.02.18_TheBristolMercury_0002
1828.02.23_TheIpswichJournal_0002,1828.02.20_TheDerbyMercury_0002
1828.02.23_TheIpswichJournal_0002,1828.02.20_TheMorningChronicle_0002
1828.02.23_TheNewcastleCourantetc_0002,1828.02.16_TheMorningChronicle_0001
1828.02.23_TheNewcastleCourantetc_0002,1828.02.16_TheMorningChronicle_0002
1828.02.23_TheNewcastleCourantetc_0002,1828.02.16_TheMorningChronicle_0003
1828.02.23_TheNewcastleCourantetc_0002,1828.02.18_CaledonianMercury_0002
1828.02.23_TheNewcastleCourantetc_0002,1828.02.20_TheDerbyMercury_0001
1828.02.23_TheNewcastleCourantetc_0002,1828.02.20_TheDerbyMercury_0002
1828.02.23_TheNewcastleCourantetc_0002,1828.02.20_TheDerbyMercury_0004
1828.02.23_TheNewcastleCourantetc_0003,1828.02.10_TheExaminer_0014
1828.02.23_TheNewcastleCourantetc_0003,1828.02.19_TheHullPacketandHumberMercury_0003
1828.02.23_TheNewcastleCourantetc_0004,1828.02.20_TheDerbyMercury_0002
1828.02.24_TheExaminer_0004,1828.02.19_TheMorningChronicle_0001
1828.02.25_CaledonianMercury_0002,1828.02.21_TheMorningChronicle_0002
1828.02.25_HampshireTelegraphandSussexChronicleetc_0002,1828.02.19_TheMorningChronicle_0004
1828.02.25_HampshireTelegraphandSussexChronicleetc_0003,1828.02.21_TheMorningChronicle_0002
1828.02.25_HampshireTelegraphandSussexChronicleetc_0003,1828.02.25_CaledonianMercury_0002
1828.02.25_TheBristolMercury_0001,1828.02.19_TheMorningChronicle_0001
1828.02.25_TheBristolMercury_0001,1828.02.19_TheMorningChronicle_0002
1828.02.25_TheBristolMercury_0001,1828.02.20_TheMorningChronicle_0003
1828.02.25_TheBristolMercury_0001,1828.02.22_LiverpoolMercuryetc_0002
1828.02.25_TheBristolMercury_0002,1828.02.20_TheMorningChronicle_0001
1828.02.25_TheBristolMercury_0004,1828.02.19_TheMorningChronicle_0003
1828.02.25_TheBristolMercury_0004,1828.02.19_TheMorningChronicle_0004
1828.02.25_TheMorningChronicle_0002,1828.02.24_TheExaminer_0001
1828.02.25_TheMorningChronicle_0002,1828.02.25_HampshireTelegraphandSussexChronicleetc_0004
1828.02.25_TheMorningChronicle_0003,1828.02.24_TheExaminer_0011
1828.02.25_TheMorningChronicle_0004,1828.02.23_TheLeedsMercury_0005
1828.02.26_TheBelfastNews-Letter_0004,1828.02.22_TheMorningChronicle_0002
1828.02.26_TheBelfastNews-Letter_0004,1828.02.23_TheIpswichJournal_0004
1828.02.26_TheHullPacketandHumberMercury_0001,1828.02.18_HampshireTelegraphandSussexChronicleetc_0004
1828.02.26_TheHullPacketandHumberMercury_0001,1828.02.18_TheMorningChronicle_0003
1828.02.26_TheHullPacketandHumberMercury_0001,1828.02.20_TheMorningChronicle_0001
1828.02.26_TheHullPacketandHumberMercury_0001,1828.02.20_TheMorningChronicle_0002
1828.02.26_TheHullPacketandHumberMercury_0001,1828.02.22_TheBelfastNews-Letter_0001
1828.02.26_TheHullPacketandHumberMercury_0001,1828.02.23_TheIpswichJournal_0004
1828.02.26_TheHullPacketandHumberMercury_0001,1828.02.25_TheBristolMercury_0002
1828.02.26_TheHullPacketandHumberMercury_0003,1828.02.25_TheMorningChronicle_0004
1828.02.27_TheDerbyMercury_0002,1828.02.23_TheLeedsMercury_0005
1828.02.27_TheDerbyMercury_0002,1828.02.25_TheMorningChronicle_0004
1828.02.27_TheDerbyMercury_0002,1828.02.26_TheHullPacketandHumberMercury_0003
1828.02.27_TheDerbyMercury_0004,1828.02.25_CaledonianMercury_0002
1828.02.27_TheDerbyMercury_0004,1828.02.26_TheHullPacketandHumberMercury_0004
1828.02.28_CaledonianMercury_0002,1828.02.25_TheMorningChronicle_0002
1828.02.29_LiverpoolMercuryetc_0001,1828.02.03_TheExaminer_0016
1828.02.29_LiverpoolMercuryetc_0001,1828.02.23_TheIpswichJournal_0001
1828.02.29_LiverpoolMercuryetc_0007,1828.02.04_TheBristolMercury_0004
1828.02.29_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.02.29_LiverpoolMercuryetc_0008,1828.02.27_TheMorningChronicle_0004
1828.02.29_TheBelfastNews-Letter_0001,1828.02.23_TheMorningChronicle_0004
1828.02.29_TheBelfastNews-Letter_0002,1828.02.25_TheMorningChronicle_0002
1828.02.29_TheBelfastNews-Letter_0002,1828.02.28_CaledonianMercury_0002
1828.03.01_CaledonianMercury_0002,1828.02.27_TheMorningChronicle_0001
1828.03.01_CaledonianMercury_0002,1828.02.27_TheMorningChronicle_0002
1828.03.01_CaledonianMercury_0002,1828.02.27_TheMorningChronicle_0004
1828.03.01_TheIpswichJournal_0001,1828.02.09_TheNewcastleCourantetc_0003
1828.03.01_TheIpswichJournal_0001,1828.02.10_TheExaminer_0014
1828.03.01_TheIpswichJournal_0001,1828.02.23_TheMorningChronicle_0003
1828.03.01_TheIpswichJournal_0001,1828.02.25_TheMorningChronicle_0002
1828.03.01_TheIpswichJournal_0001,1828.02.28_CaledonianMercury_0002
1828.03.01_TheIpswichJournal_0001,1828.02.29_TheBelfastNews-Letter_0002
1828.03.01_TheIpswichJournal_0004,1828.02.26_TheHullPacketandHumberMercury_0004
1828.03.01_TheNewcastleCourantetc_0002,1828.02.20_TheDerbyMercury_0002
1828.03.01_TheNewcastleCourantetc_0002,1828.02.21_TheMorningChronicle_0002
1828.03.01_TheNewcastleCourantetc_0002,1828.02.23_TheIpswichJournal_0002
1828.03.01_TheNewcastleCourantetc_0002,1828.02.23_TheMorningChronicle_0003
1828.03.01_TheNewcastleCourantetc_0002,1828.02.25_CaledonianMercury_0002
1828.03.01_TheNewcastleCourantetc_0002,1828.02.25_HampshireTelegraphandSussexChronicleetc_0003
1828.03.01_TheNewcastleCourantetc_0002,1828.02.25_TheMorningChronicle_0002
1828.03.01_TheNewcastleCourantetc_0002,1828.02.27_TheDerbyMercury_0004
1828.03.01_TheNewcastleCourantetc_0002,1828.02.28_CaledonianMercury_0002
1828.03.01_TheNewcastleCourantetc_0002,1828.02.29_TheBelfastNews-Letter_0002
1828.03.02_TheExaminer_0002,1828.02.27_TheMorningChronicle_0004
1828.03.02_TheExaminer_0005,1828.02.26_TheMorningChronicle_0002
1828.03.02_TheExaminer_0007,1828.02.27_TheMorningChronicle_0003
1828.03.02_TheExaminer_0011,1828.02.28_TheMorningChronicle_0002
1828.03.02_TheExaminer_S0014,1828.02.23_TheIpswichJournal_0001
1828.03.03_CaledonianMercury_0002,1828.02.29_TheMorningChronicle_0001
1828.03.03_HampshireTelegraphandSussexChronicleetc_0002,1828.02.25_TheMorningChronicle_0002
1828.03.03_HampshireTelegraphandSussexChronicleetc_0002,1828.02.27_TheMorningChronicle_0004
1828.03.03_HampshireTelegraphandSussexChronicleetc_0002,1828.02.29_TheBelfastNews-Letter_0002
1828.03.03_HampshireTelegraphandSussexChronicleetc_0003,1828.02.29_TheMorningChronicle_0004
1828.03.03_TheBristolMercury_0001,1828.02.25_TheMorningChronicle_0002
1828.03.03_TheBristolMercury_0001,1828.02.26_TheMorningChronicle_0003
1828.03.03_TheBristolMercury_0001,1828.02.27_TheMorningChronicle_0001
1828.03.03_TheBristolMercury_0001,1828.02.27_TheMorningChronicle_0002
1828.03.03_TheBristolMercury_0001,1828.02.28_CaledonianMercury_0002
1828.03.03_TheBristolMercury_0001,1828.02.29_TheBelfastNews-Letter_0002
1828.03.03_TheBristolMercury_0002,1828.02.02_TheNewcastleCourantetc_0003
1828.03.03_TheBristolMercury_0002,1828.02.03_TheExaminer_0016
1828.03.03_TheBristolMercury_0002,1828.02.23_TheIpswichJournal_0001
1828.03.03_TheBristolMercury_0002,1828.02.29_LiverpoolMercuryetc_0001
1828.03.03_TheBristolMercury_0003,1828.02.29_LiverpoolMercuryetc_0007
1828.03.03_TheBristolMercury_0004,1828.02.27_TheMorningChronicle_0002
1828.03.03_TheBristolMercury_0004,1828.02.27_TheMorningChronicle_0003
1828.03.03_TheBristolMercury_0004,1828.02.29_LiverpoolMercuryetc_0007
1828.03.04_TheBelfastNews-Letter_0001,1828.02.29_TheMorningChronicle_0001
1828.03.04_TheBelfastNews-Letter_0002,1828.02.28_TheMorningChronicle_0003
1828.03.04_TheHullPacketandHumberMercury_0001,1828.02.02_TheIpswichJournal_0004
1828.03.04_TheHullPacketandHumberMercury_0001,1828.02.09_TheNewcastleCourantetc_0003
1828.03.04_TheHullPacketandHumberMercury_0001,1828.02.10_TheExaminer_0014
1828.03.04_TheHullPacketandHumberMercury_0001,1828.02.25_TheMorningChronicle_0004
1828.03.04_TheHullPacketandHumberMercury_0001,1828.02.27_TheMorningChronicle_0002
1828.03.04_TheHullPacketandHumberMercury_0001,1828.02.27_TheMorningChronicle_0003
1828.03.04_TheHullPacketandHumberMercury_0002,1828.02.27_TheDerbyMercury_0002
1828.03.04_TheHullPacketandHumberMercury_0002,1828.02.28_TheMorningChronicle_0002
1828.03.04_TheHullPacketandHumberMercury_0002,1828.02.29_TheMorningChronicle_0001
1828.03.04_TheHullPacketandHumberMercury_0003,1828.02.24_TheExaminer_0011
1828.03.04_TheHullPacketandHumberMercury_0003,1828.02.28_NorthWalesChronicle_0003
1828.03.04_TheHullPacketandHumberMercury_0003,1828.02.29_LiverpoolMercuryetc_0007
1828.03.04_TheHullPacketandHumberMercury_0004,1828.02.27_TheMorningChronicle_0003
1828.03.04_TheHullPacketandHumberMercury_0004,1828.02.28_TheMorningChronicle_0002
1828.03.04_TheHullPacketandHumberMercury_0004,1828.02.29_TheBelfastNews-Letter_0001
1828.03.05_TheDerbyMercury_0002,1828.02.28_TheMorningChronicle_0003
1828.03.05_TheDerbyMercury_0004,1828.02.02_TheIpswichJournal_0004
1828.03.05_TheDerbyMercury_0004,1828.02.10_TheExaminer_0014
1828.03.05_TheDerbyMercury_0004,1828.02.29_TheMorningChronicle_0001
1828.03.06_NorthWalesChronicle_0001,1828.02.23_TheNewcastleCourantetc_0003
1828.03.06_NorthWalesChronicle_0003,1828.02.29_LiverpoolMercuryetc_0007
1828.03.06_NorthWalesChronicle_0004,1828.02.27_TheMorningChronicle_0001
1828.03.06_NorthWalesChronicle_0004,1828.02.27_TheMorningChronicle_0002
1828.03.06_NorthWalesChronicle_0004,1828.02.27_TheMorningChronicle_0003
1828.03.07_LiverpoolMercuryetc_0007,1828.02.14_NorthWalesChronicle_0003
1828.03.08_TheIpswichJournal_0001,1828.02.03_TheExaminer_0016
1828.03.08_TheIpswichJournal_0001,1828.02.04_TheBristolMercury_0002
1828.03.08_TheIpswichJournal_0001,1828.02.23_TheNewcastleCourantetc_0003
1828.03.08_TheIpswichJournal_0001,1828.02.29_LiverpoolMercuryetc_0001
1828.03.08_TheNewcastleCourantetc_0003,1828.02.02_TheIpswichJournal_0004
1828.03.08_TheNewcastleCourantetc_0003,1828.02.08_LiverpoolMercuryetc_0005
1828.03.08_TheNewcastleCourantetc_0003,1828.02.10_TheExaminer_0014
1828.03.08_TheNewcastleCourantetc_0003,1828.02.16_TheIpswichJournal_0001
1828.03.08_TheNewcastleCourantetc_0003,1828.02.25_TheBristolMercury_0002
1828.03.10_TheMorningChronicle_0001,1828.02.10_TheExaminer_0014
1828.03.15_TheIpswichJournal_0001,1828.02.09_TheNewcastleCourantetc_0003
1828.03.15_TheIpswichJournal_0001,1828.02.10_TheExaminer_0014
1828.03.15_TheNewcastleCourantetc_0003,1828.02.03_TheExaminer_0016
1828.03.15_TheNewcastleCourantetc_0003,1828.02.04_TheBristolMercury_0002
