1832.10.01_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.01_CaledonianMercury_0002
1832.10.14_TheExaminer_0002,1832.10.12_TheMorningChronicle_0002
1832.10.14_TheExaminer_0007,1832.10.11_TheMorningChronicle_0003
1832.10.14_TheExaminer_0009,1832.10.09_TheMorningChronicle_0003
1832.10.14_TheExaminer_0009,1832.10.12_TheMorningChronicle_0003
1832.10.14_TheExaminer_0011,1832.10.10_TheMorningChronicle_0004
1832.10.14_TheExaminer_0012,1832.10.09_TheMorningChronicle_0004
1832.10.14_TheExaminer_0012,1832.10.10_TheMorningChronicle_0004
1832.10.14_TheExaminer_0012,1832.10.12_TheMorningChronicle_0004
1832.10.15_CaledonianMercury_0001,1832.10.10_TheMorningChronicle_0002
1832.10.15_CaledonianMercury_0002,1832.10.11_TheMorningChronicle_0002
1832.10.15_CaledonianMercury_0002,1832.10.11_TheMorningChronicle_0004
1832.10.15_CaledonianMercury_0002,1832.10.12_TheMorningChronicle_0004
1832.10.15_CaledonianMercury_0004,1832.10.06_ThePoorMan'sGuardian_0002
1832.10.15_CaledonianMercury_0004,1832.10.11_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.15_HampshireTelegraphandSussexChronicleetc_0001,1832.10.10_TheMorningChronicle_0002
1832.10.15_HampshireTelegraphandSussexChronicleetc_0001,1832.10.13_CaledonianMercury_0002
1832.10.16_TheHullPacketandHumberMercury_0001,1832.10.10_TheDerbyMercury_0001
1832.10.16_TheHullPacketandHumberMercury_0001,1832.10.12_LiverpoolMercuryetc_0003
1832.10.16_TheHullPacketandHumberMercury_0001,1832.10.13_PrestonChronicle_0001
1832.10.16_TheHullPacketandHumberMercury_0002,1832.10.05_TheMorningChronicle_0001
1832.10.16_TheHullPacketandHumberMercury_0002,1832.10.11_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.16_TheHullPacketandHumberMercury_0002,1832.10.11_TheMorningChronicle_0001
1832.10.16_TheHullPacketandHumberMercury_0002,1832.10.13_TheMorningChronicle_0002
1832.10.16_TheHullPacketandHumberMercury_0003,1832.10.12_TheMorningChronicle_0003
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.03_TheDerbyMercury_0001
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.04_TheMorningChronicle_0001
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.05_TheBelfastNews-Letter_0004
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.06_PrestonChronicle_0004
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.06_TheMorningChronicle_0003
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.07_TheExaminer_0004
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.10_TheDerbyMercury_0004
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.11_CaledonianMercury_0004
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.12_TheBelfastNews-Letter_0001
1832.10.16_TheHullPacketandHumberMercury_0004,1832.10.13_TheBristolMercury_0001
1832.10.16_TheMorningChronicle_0001,1832.10.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.16_TheMorningChronicle_0001,1832.10.13_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.17_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.15_TheMorningChronicle_0004
1832.10.17_TheAberdeenJournal_0002,1832.10.10_TheDerbyMercury_0002
1832.10.17_TheAberdeenJournal_0004,1832.10.04_CaledonianMercury_0003
1832.10.17_TheAberdeenJournal_0004,1832.10.06_TheMorningChronicle_0003
1832.10.17_TheAberdeenJournal_0004,1832.10.08_CaledonianMercury_0004
1832.10.17_TheAberdeenJournal_0004,1832.10.08_TheMorningChronicle_0004
1832.10.17_TheAberdeenJournal_0004,1832.10.10_TheDerbyMercury_0004
1832.10.17_TheAberdeenJournal_0004,1832.10.12_TheBelfastNews-Letter_0001
1832.10.17_TheAberdeenJournal_0004,1832.10.13_TheBristolMercury_0001
1832.10.17_TheAberdeenJournal_0004,1832.10.16_TheHullPacketandHumberMercury_0004
1832.10.17_TheDerbyMercury_0001,1832.10.03_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.17_TheDerbyMercury_0001,1832.10.09_TheHullPacketandHumberMercury_0001
1832.10.17_TheDerbyMercury_0001,1832.10.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1832.10.17_TheDerbyMercury_0001,1832.10.12_LiverpoolMercuryetc_0003
1832.10.17_TheDerbyMercury_0001,1832.10.13_PrestonChronicle_0001
1832.10.17_TheDerbyMercury_0001,1832.10.16_TheHullPacketandHumberMercury_0001
1832.10.17_TheDerbyMercury_0004,1832.10.06_PrestonChronicle_0004
1832.10.17_TheDerbyMercury_0004,1832.10.06_TheMorningChronicle_0003
1832.10.17_TheDerbyMercury_0004,1832.10.12_TheMorningChronicle_0002
1832.10.17_TheDerbyMercury_0004,1832.10.12_TheMorningChronicle_0004
1832.10.17_TheMorningChronicle_0001,1832.10.17_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.18_CaledonianMercury_0001,1832.10.12_TheMorningChronicle_0003
1832.10.18_CaledonianMercury_0002,1832.10.16_TheMorningChronicle_0002
1832.10.18_CaledonianMercury_0004,1832.10.12_TheMorningChronicle_0004
1832.10.18_CaledonianMercury_0004,1832.10.14_TheExaminer_0005
1832.10.18_CaledonianMercury_0004,1832.10.14_TheExaminer_0006
1832.10.18_Freeman'sJournalandDailyCommercialAdvertiser_0001,1832.10.16_TheHullPacketandHumberMercury_0002
1832.10.18_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.10.15_TheMorningChronicle_0001
1832.10.18_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.10.15_TheMorningChronicle_0002
1832.10.18_TheMorningChronicle_0001,1832.10.16_TheHullPacketandHumberMercury_0002
1832.10.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1832.10.06_TheMorningChronicle_0003
1832.10.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1832.10.08_TheMorningChronicle_0004
1832.10.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1832.10.10_TheDerbyMercury_0004
1832.10.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1832.10.12_TheBelfastNews-Letter_0001
1832.10.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1832.10.17_TheAberdeenJournal_0004
1832.10.19_LiverpoolMercuryetc_0002,1832.10.11_TheMorningChronicle_0003
1832.10.19_LiverpoolMercuryetc_0002,1832.10.12_TheMorningChronicle_0004
1832.10.19_LiverpoolMercuryetc_0002,1832.10.14_TheExaminer_0007
1832.10.19_LiverpoolMercuryetc_0002,1832.10.14_TheExaminer_0008
1832.10.19_LiverpoolMercuryetc_0002,1832.10.15_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.10.19_LiverpoolMercuryetc_0004,1832.10.16_TheHullPacketandHumberMercury_0002
1832.10.19_TheBelfastNews-Letter_0004,1832.10.05_LiverpoolMercuryetc_0007
1832.10.19_TheBelfastNews-Letter_0004,1832.10.12_TheMorningChronicle_0004
1832.10.19_TheBelfastNews-Letter_0004,1832.10.14_TheExaminer_0013
1832.10.19_TheBelfastNews-Letter_0004,1832.10.17_TheDerbyMercury_0004
1832.10.19_TheMorningChronicle_0001,1832.10.19_LiverpoolMercuryetc_0008
1832.10.20_CaledonianMercury_0001,1832.10.05_LiverpoolMercuryetc_0001
1832.10.20_CaledonianMercury_0001,1832.10.12_LiverpoolMercuryetc_0001
1832.10.20_CaledonianMercury_0001,1832.10.13_TheManchesterTimesandGazette_0001
1832.10.20_CaledonianMercury_0001,1832.10.15_TheMorningChronicle_0002
1832.10.20_CaledonianMercury_0001,1832.10.19_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.20_CaledonianMercury_0002,1832.10.19_LiverpoolMercuryetc_0008
1832.10.20_CaledonianMercury_0002,1832.10.19_TheMorningChronicle_0001
1832.10.20_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.10.19_LiverpoolMercuryetc_0008
1832.10.20_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.10.19_TheMorningChronicle_0001
1832.10.20_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.10.20_CaledonianMercury_0002
1832.10.20_PrestonChronicle_0001,1832.10.12_LiverpoolMercuryetc_0003
1832.10.20_PrestonChronicle_0001,1832.10.12_TheMorningChronicle_0003
1832.10.20_PrestonChronicle_0001,1832.10.15_TheMorningChronicle_0002
1832.10.20_PrestonChronicle_0001,1832.10.16_TheHullPacketandHumberMercury_0002
1832.10.20_PrestonChronicle_0001,1832.10.17_TheDerbyMercury_0001
1832.10.20_PrestonChronicle_0001,1832.10.19_LiverpoolMercuryetc_0002
1832.10.20_PrestonChronicle_0001,1832.10.20_CaledonianMercury_0001
1832.10.20_PrestonChronicle_0002,1832.10.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1832.10.20_PrestonChronicle_0002,1832.10.13_TheBristolMercury_0001
1832.10.20_PrestonChronicle_0002,1832.10.19_LiverpoolMercuryetc_0002
1832.10.20_PrestonChronicle_0004,1832.10.10_TheMorningChronicle_0001
1832.10.20_PrestonChronicle_0004,1832.10.11_CaledonianMercury_0004
1832.10.20_PrestonChronicle_0004,1832.10.12_TheMorningChronicle_0003
1832.10.20_PrestonChronicle_0004,1832.10.12_TheMorningChronicle_0004
1832.10.20_PrestonChronicle_0004,1832.10.17_TheDerbyMercury_0004
1832.10.20_PrestonChronicle_0004,1832.10.19_TheBelfastNews-Letter_0004
1832.10.20_TheBristolMercury_0001,1832.10.13_TheMorningChronicle_0004
1832.10.20_TheLeedsMercury_0007,1832.10.10_TheMorningChronicle_0004
1832.10.20_TheManchesterTimesandGazette_0004,1832.10.14_TheExaminer_0003
1832.10.20_TheMorningChronicle_0003,1832.10.20_Cobbett'sWeeklyPoliticalRegister_0010
1832.10.20_TheMorningChronicle_0003,1832.10.20_Cobbett'sWeeklyPoliticalRegister_0011
1832.10.20_TheMorningChronicle_0003,1832.10.20_Cobbett'sWeeklyPoliticalRegister_0012
1832.10.20_TheMorningChronicle_0003,1832.10.20_Cobbett'sWeeklyPoliticalRegister_0013
1832.10.20_TheMorningChronicle_0003,1832.10.20_Cobbett'sWeeklyPoliticalRegister_0014
1832.10.20_ThePoorMan'sGuardian_0004,1832.10.13_TheMorningChronicle_0004
1832.10.20_ThePoorMan'sGuardian_0004,1832.10.20_TheBristolMercury_0001
1832.10.20_ThePoorMan'sGuardian_0005,1832.10.13_TheMorningChronicle_0002
1832.10.20_ThePoorMan'sGuardian_0006,1832.10.12_TheMorningChronicle_0004
1832.10.21_TheExaminer_0003,1832.10.19_TheMorningChronicle_0003
1832.10.21_TheExaminer_0004,1832.10.19_TheMorningChronicle_0003
1832.10.21_TheExaminer_0007,1832.10.17_TheMorningChronicle_0003
1832.10.21_TheExaminer_0007,1832.10.18_TheMorningChronicle_0002
1832.10.21_TheExaminer_0009,1832.10.17_TheMorningChronicle_0003
1832.10.21_TheExaminer_0009,1832.10.20_TheMorningChronicle_0004
1832.10.21_TheExaminer_0010,1832.10.20_TheMorningChronicle_0004
1832.10.21_TheExaminer_0011,1832.10.16_TheMorningChronicle_0004
1832.10.21_TheExaminer_0012,1832.10.16_TheMorningChronicle_0004
1832.10.22_CaledonianMercury_0001,1832.10.19_TheMorningChronicle_0002
1832.10.22_CaledonianMercury_0002,1832.10.19_TheMorningChronicle_0001
1832.10.22_CaledonianMercury_0002,1832.10.19_TheMorningChronicle_0002
1832.10.22_CaledonianMercury_0002,1832.10.20_TheLeedsMercury_0007
1832.10.22_CaledonianMercury_0002,1832.10.20_TheMorningChronicle_0002
1832.10.22_CaledonianMercury_0003,1832.10.19_TheBelfastNews-Letter_0002
1832.10.22_CaledonianMercury_0004,1832.10.15_TheMorningChronicle_0003
1832.10.22_CaledonianMercury_0004,1832.10.15_TheMorningChronicle_0004
1832.10.22_HampshireTelegraphandSussexChronicleetc_0001,1832.10.12_LiverpoolMercuryetc_0003
1832.10.22_HampshireTelegraphandSussexChronicleetc_0001,1832.10.20_PrestonChronicle_0001
1832.10.22_HampshireTelegraphandSussexChronicleetc_0002,1832.10.16_TheMorningChronicle_0003
1832.10.22_TheMorningChronicle_0002,1832.10.21_TheExaminer_0008
1832.10.22_TheMorningChronicle_0003,1832.10.18_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.22_TheMorningChronicle_0003,1832.10.20_TheLeedsMercury_0005
1832.10.22_TheMorningChronicle_0003,1832.10.22_HampshireTelegraphandSussexChronicleetc_0004
1832.10.23_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.20_TheMorningChronicle_0004
1832.10.23_TheBelfastNews-Letter_0001,1832.10.19_LiverpoolMercuryetc_0008
1832.10.23_TheBelfastNews-Letter_0001,1832.10.19_TheMorningChronicle_0001
1832.10.23_TheBelfastNews-Letter_0001,1832.10.20_CaledonianMercury_0002
1832.10.23_TheBelfastNews-Letter_0001,1832.10.20_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.10.23_TheBelfastNews-Letter_0001,1832.10.20_TheLeedsMercury_0004
1832.10.23_TheBelfastNews-Letter_0004,1832.10.18_TheMorningChronicle_0001
1832.10.23_TheBelfastNews-Letter_0004,1832.10.22_CaledonianMercury_0002
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.05_TheMorningChronicle_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.11_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.11_TheMorningChronicle_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.12_LiverpoolMercuryetc_0003
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.13_PrestonChronicle_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.17_TheDerbyMercury_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.18_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.18_TheMorningChronicle_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.19_LiverpoolMercuryetc_0004
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.20_PrestonChronicle_0001
1832.10.23_TheHullPacketandHumberMercury_0001,1832.10.22_HampshireTelegraphandSussexChronicleetc_0001
1832.10.23_TheHullPacketandHumberMercury_0003,1832.10.12_TheMorningChronicle_0004
