1825.02.03_CaledonianMercury_0002,1825.02.02_TheDerbyMercury_0002
1825.02.12_TheNewcastleCourantetc_0003,1825.02.09_TheDerbyMercury_0002
1825.02.12_TheNewcastleCourantetc_0004,1825.02.12_TheIpswichJournal_0004
1825.02.13_TheExaminer_0002,1825.02.08_TheMorningChronicle_0002
1825.02.13_TheExaminer_0012,1825.02.12_TheIpswichJournal_0002
1825.02.14_CaledonianMercury_0002,1825.02.11_TheMorningChronicle_0003
1825.02.14_CaledonianMercury_0002,1825.02.12_TheIpswichJournal_0002
1825.02.14_CaledonianMercury_0004,1825.02.03_TheMorningChronicle_0004
1825.02.14_HampshireTelegraphandSussexChronicleetc_0002,1825.02.08_TheMorningChronicle_0004
1825.02.14_HampshireTelegraphandSussexChronicleetc_0002,1825.02.12_CaledonianMercury_0004
1825.02.14_HampshireTelegraphandSussexChronicleetc_0002,1825.02.12_TheIpswichJournal_0004
1825.02.14_TheBristolMercury_0001,1825.02.14_HampshireTelegraphandSussexChronicleetc_0001
1825.02.14_TheBristolMercury_0002,1825.02.03_TheMorningChronicle_0001
1825.02.14_TheBristolMercury_0004,1825.02.12_TheIpswichJournal_0004
1825.02.14_TheMorningChronicle_0002,1825.02.06_TheExaminer_0013
1825.02.14_TheMorningChronicle_0002,1825.02.13_TheExaminer_0016
1825.02.16_TheAberdeenJournal_0002,1825.02.10_CaledonianMercury_0002
1825.02.16_TheAberdeenJournal_0002,1825.02.12_TheNewcastleCourantetc_0004
1825.02.16_TheAberdeenJournal_0004,1825.02.10_CaledonianMercury_0002
1825.02.16_TheDerbyMercury_0001,1825.02.11_LiverpoolMercuryetc_0005
1825.02.16_TheDerbyMercury_0001,1825.02.11_TheMorningChronicle_0003
1825.02.16_TheDerbyMercury_0001,1825.02.14_CaledonianMercury_0002
1825.02.16_TheDerbyMercury_0002,1825.02.12_TheIpswichJournal_0002
1825.02.16_TheDerbyMercury_0002,1825.02.13_TheExaminer_0012
1825.02.16_TheDerbyMercury_0004,1825.02.11_TheMorningChronicle_0003
1825.02.16_TheDerbyMercury_0004,1825.02.14_CaledonianMercury_0002
1825.02.17_CaledonianMercury_0004,1825.02.12_TheMorningChronicle_0002
1825.02.17_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.02.14_HampshireTelegraphandSussexChronicleetc_0003
1825.02.17_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.02.16_TheDerbyMercury_0004
1825.02.18_LiverpoolMercuryetc_0001,1825.02.16_TheDerbyMercury_0001
1825.02.18_LiverpoolMercuryetc_0002,1825.02.13_TheExaminer_0004
1825.02.18_LiverpoolMercuryetc_0002,1825.02.13_TheExaminer_0005
1825.02.19_Cobbett'sWeeklyPoliticalRegister_0002,1825.02.04_TheMorningChronicle_0001
1825.02.19_Cobbett'sWeeklyPoliticalRegister_0002,1825.02.06_TheExaminer_0003
1825.02.19_Cobbett'sWeeklyPoliticalRegister_0002,1825.02.07_CaledonianMercury_0002
1825.02.19_Cobbett'sWeeklyPoliticalRegister_0002,1825.02.07_HampshireTelegraphandSussexChronicleetc_0003
1825.02.19_Cobbett'sWeeklyPoliticalRegister_0002,1825.02.11_LiverpoolMercuryetc_0002
1825.02.19_TheIpswichJournal_0003,1825.02.09_TheDerbyMercury_0001
1825.02.19_TheIpswichJournal_0004,1825.02.19_CaledonianMercury_0004
1825.02.19_TheNewcastleCourantetc_0002,1825.02.14_CaledonianMercury_0002
1825.02.19_TheNewcastleCourantetc_0002,1825.02.16_TheDerbyMercury_0001
1825.02.19_TheNewcastleCourantetc_0002,1825.02.19_TheIpswichJournal_0001
1825.02.20_TheExaminer_0004,1825.02.15_TheMorningChronicle_0002
1825.02.20_TheExaminer_0016,1825.02.17_TheMorningChronicle_0004
1825.02.21_CaledonianMercury_0002,1825.02.19_TheIpswichJournal_0002
1825.02.21_CaledonianMercury_0004,1825.02.05_TheIpswichJournal_0004
1825.02.21_HampshireTelegraphandSussexChronicleetc_0002,1825.02.16_TheMorningChronicle_0003
1825.02.21_TheBristolMercury_0002,1825.02.18_LiverpoolMercuryetc_0006
1825.02.21_TheBristolMercury_0004,1825.02.20_TheExaminer_0007
1825.02.21_TheMorningChronicle_0002,1825.02.20_TheExaminer_0013
1825.02.21_TheMorningChronicle_0002,1825.02.20_TheExaminer_0016
1825.02.22_TheMorningChronicle_0001,1825.02.20_TheExaminer_0016
1825.02.23_TheDerbyMercury_0004,1825.02.15_TheMorningChronicle_0003
1825.02.23_TheDerbyMercury_0004,1825.02.19_TheIpswichJournal_0004
1825.02.23_TheDerbyMercury_0004,1825.02.21_HampshireTelegraphandSussexChronicleetc_0002
1825.02.24_CaledonianMercury_0002,1825.02.16_TheMorningChronicle_0004
1825.02.24_TheMorningChronicle_0004,1825.02.20_TheExaminer_0013
1825.02.24_TheMorningChronicle_0004,1825.02.20_TheExaminer_0015
1825.02.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.02.19_TheIpswichJournal_0002
1825.02.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.02.19_TheIpswichJournal_0003
1825.02.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.02.19_TheIpswichJournal_0004
1825.02.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.02.23_TheDerbyMercury_0004
1825.02.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.21_TheBristolMercury_0002
1825.02.26_Cobbett'sWeeklyPoliticalRegister_0021,1825.02.22_TheMorningChronicle_0003
1825.02.26_Cobbett'sWeeklyPoliticalRegister_0022,1825.02.22_TheMorningChronicle_0003
1825.02.26_Cobbett'sWeeklyPoliticalRegister_0024,1825.02.22_TheMorningChronicle_0003
1825.02.26_Cobbett'sWeeklyPoliticalRegister_0025,1825.02.22_TheMorningChronicle_0003
1825.02.26_TheIpswichJournal_0001,1825.02.09_TheDerbyMercury_0001
1825.02.26_TheIpswichJournal_0002,1825.02.25_TheMorningChronicle_0003
1825.02.26_TheIpswichJournal_0004,1825.02.18_TheMorningChronicle_0004
1825.02.26_TheIpswichJournal_0004,1825.02.21_TheMorningChronicle_0003
1825.02.26_TheLeedsMercury_0002,1825.02.20_TheExaminer_0007
1825.02.26_TheNewcastleCourantetc_0002,1825.02.18_TheMorningChronicle_0004
1825.02.27_TheExaminer_0011,1825.02.22_TheMorningChronicle_0004
1825.02.27_TheExaminer_0011,1825.02.24_TheMorningChronicle_0003
1825.02.27_TheExaminer_0013,1825.02.24_TheMorningChronicle_0004
1825.02.27_TheExaminer_0016,1825.02.17_TheMorningChronicle_0004
1825.02.27_TheExaminer_0016,1825.02.21_TheMorningChronicle_0002
1825.02.27_TheExaminer_0016,1825.02.22_TheMorningChronicle_0001
1825.02.27_TheExaminer_0016,1825.02.24_TheMorningChronicle_0004
1825.02.28_CaledonianMercury_0002,1825.02.19_TheIpswichJournal_0004
1825.02.28_CaledonianMercury_0002,1825.02.25_TheMorningChronicle_0002
1825.02.28_CaledonianMercury_0003,1825.02.26_TheMorningChronicle_0003
1825.02.28_HampshireTelegraphandSussexChronicleetc_0002,1825.02.26_TheIpswichJournal_0004
1825.02.28_HampshireTelegraphandSussexChronicleetc_0002,1825.02.27_TheExaminer_0004
1825.02.28_HampshireTelegraphandSussexChronicleetc_0003,1825.02.25_TheMorningChronicle_0002
1825.02.28_HampshireTelegraphandSussexChronicleetc_0003,1825.02.26_TheIpswichJournal_0004
1825.02.28_TheBristolMercury_0001,1825.02.26_TheIpswichJournal_0004
1825.02.28_TheBristolMercury_0001,1825.02.27_TheExaminer_0003
1825.02.28_TheBristolMercury_0001,1825.02.27_TheExaminer_0004
1825.02.28_TheBristolMercury_0001,1825.02.28_HampshireTelegraphandSussexChronicleetc_0002
1825.02.28_TheBristolMercury_0002,1825.02.21_TheMorningChronicle_0003
1825.02.28_TheBristolMercury_0002,1825.02.28_HampshireTelegraphandSussexChronicleetc_0003
1825.03.02_TheDerbyMercury_0001,1825.02.19_TheIpswichJournal_0003
1825.03.02_TheDerbyMercury_0001,1825.02.26_TheIpswichJournal_0001
1825.03.02_TheDerbyMercury_0002,1825.02.27_TheExaminer_0007
1825.03.02_TheDerbyMercury_0003,1825.02.19_TheIpswichJournal_0003
1825.03.02_TheDerbyMercury_0004,1825.02.27_TheExaminer_0004
1825.03.02_TheDerbyMercury_0004,1825.02.28_CaledonianMercury_0002
1825.03.02_TheDerbyMercury_0004,1825.02.28_TheBristolMercury_0002
1825.03.02_TheMorningChronicle_S0001,1825.02.04_LiverpoolMercuryetc_0005
1825.03.03_CaledonianMercury_0001,1825.02.23_TheDerbyMercury_0002
1825.03.03_CaledonianMercury_0002,1825.02.28_TheBristolMercury_0002
1825.03.03_CaledonianMercury_0003,1825.02.26_TheMorningChronicle_0004
1825.03.04_LiverpoolMercuryetc_0002,1825.02.27_TheExaminer_0006
1825.03.04_LiverpoolMercuryetc_0003,1825.02.28_HampshireTelegraphandSussexChronicleetc_0001
1825.03.04_LiverpoolMercuryetc_0005,1825.02.23_TheDerbyMercury_0002
1825.03.04_LiverpoolMercuryetc_0008,1825.02.20_TheExaminer_0005
1825.03.05_Cobbett'sWeeklyPoliticalRegister_0006,1825.02.28_TheMorningChronicle_0002
1825.03.06_TheExaminer_0014,1825.02.09_TheMorningChronicle_0001
1825.03.06_TheExaminer_0016,1825.02.28_HampshireTelegraphandSussexChronicleetc_0001
1825.03.07_HampshireTelegraphandSussexChronicleetc_0002,1825.02.13_TheExaminer_0013
1825.03.09_TheDerbyMercury_0001,1825.02.19_TheIpswichJournal_0003
1825.03.09_TheDerbyMercury_0001,1825.02.26_TheIpswichJournal_0001
1825.03.09_TheDerbyMercury_0001,1825.02.28_HampshireTelegraphandSussexChronicleetc_0001
1825.03.10_CaledonianMercury_0001,1825.02.28_HampshireTelegraphandSussexChronicleetc_0001
1825.03.10_TheMorningChronicle_0001,1825.02.03_CaledonianMercury_0003
1825.03.10_TheMorningChronicle_0001,1825.02.17_CaledonianMercury_0001
1825.03.10_TheMorningChronicle_0004,1825.02.27_TheExaminer_0013
1825.03.14_CaledonianMercury_0002,1825.02.27_TheExaminer_0009
1825.03.14_HampshireTelegraphandSussexChronicleetc_0002,1825.02.20_TheExaminer_0015
1825.03.16_TheAberdeenJournal_0004,1825.02.05_Cobbett'sWeeklyPoliticalRegister_0024
1825.03.16_TheDerbyMercury_0002,1825.02.24_TheMorningChronicle_0004
1825.03.18_LiverpoolMercuryetc_0006,1825.02.21_TheBristolMercury_0003
1825.04.13_TheDerbyMercury_0001,1825.02.24_TheMorningChronicle_0004
1825.04.18_HampshireTelegraphandSussexChronicleetc_0002,1825.02.24_TheMorningChronicle_0004
1825.05.18_TheDerbyMercury_0002,1825.02.06_TheExaminer_0012
1825.05.18_TheDerbyMercury_0002,1825.02.19_Cobbett'sWeeklyPoliticalRegister_0030
1825.05.18_TheDerbyMercury_0002,1825.02.26_Cobbett'sWeeklyPoliticalRegister_0030
1825.06.06_TheBristolMercury_0002,1825.02.28_HampshireTelegraphandSussexChronicleetc_0001
1825.07.27_TheMorningChronicle_0002,1825.02.21_TheBristolMercury_0003
1825.08.15_HampshireTelegraphandSussexChronicleetc_0002,1825.02.05_TheIpswichJournal_0001
