1803.08.04_Trewman'sExeterFlyingPost_0002,1803.08.02_TheHullPacket_0001
1803.08.18_TheDerbyMercury_0004,1803.08.15_HampshireTelegraphandSussexChronicleetc_0003
1803.08.18_Trewman'sExeterFlyingPost_0001,1803.08.06_Cobbett'sAnnualRegister_0006
1803.08.18_Trewman'sExeterFlyingPost_0001,1803.08.06_Cobbett'sAnnualRegister_0007
1803.08.18_Trewman'sExeterFlyingPost_0001,1803.08.06_Jackson'sOxfordJournal_0002
1803.08.18_Trewman'sExeterFlyingPost_0002,1803.08.13_Cobbett'sAnnualRegister_0012
1803.08.18_Trewman'sExeterFlyingPost_0002,1803.08.13_Cobbett'sAnnualRegister_0013
1803.08.18_Trewman'sExeterFlyingPost_0002,1803.08.13_TheMorningChronicle_0002
1803.08.18_Trewman'sExeterFlyingPost_0002,1803.08.15_HampshireTelegraphandSussexChronicleetc_0003
1803.08.18_Trewman'sExeterFlyingPost_0002,1803.08.18_TheDerbyMercury_0004
1803.08.18_Trewman'sExeterFlyingPost_0003,1803.08.06_TheIpswichJournal_0001
1803.08.18_Trewman'sExeterFlyingPost_0003,1803.08.13_TheNewcastleCourantetc_0003
1803.08.18_Trewman'sExeterFlyingPost_0004,1803.08.13_Cobbett'sAnnualRegister_0011
1803.08.18_Trewman'sExeterFlyingPost_0004,1803.08.18_TheDerbyMercury_0002
1803.08.20_Jackson'sOxfordJournal_0001,1803.08.16_TheMorningChronicle_0002
1803.08.20_Jackson'sOxfordJournal_0003,1803.08.10_TheMorningChronicle_0004
1803.08.20_Jackson'sOxfordJournal_0004,1803.08.13_TheNewcastleCourantetc_0003
1803.08.20_Jackson'sOxfordJournal_0004,1803.08.18_Trewman'sExeterFlyingPost_0002
1803.08.20_TheIpswichJournal_0001,1803.08.13_Cobbett'sAnnualRegister_0012
1803.08.20_TheIpswichJournal_0001,1803.08.13_Cobbett'sAnnualRegister_0013
1803.08.20_TheIpswichJournal_0001,1803.08.13_TheMorningChronicle_0002
1803.08.20_TheIpswichJournal_0001,1803.08.15_HampshireTelegraphandSussexChronicleetc_0003
1803.08.20_TheIpswichJournal_0001,1803.08.18_TheDerbyMercury_0004
1803.08.20_TheIpswichJournal_0001,1803.08.18_Trewman'sExeterFlyingPost_0002
1803.08.20_TheIpswichJournal_0001,1803.08.20_Jackson'sOxfordJournal_0004
1803.08.20_TheIpswichJournal_0004,1803.08.13_TheNewcastleCourantetc_0003
1803.08.20_TheIpswichJournal_0004,1803.08.18_TheDerbyMercury_0002
1803.08.20_TheNewcastleCourantetc_0002,1803.08.13_Cobbett'sAnnualRegister_0012
1803.08.20_TheNewcastleCourantetc_0002,1803.08.13_Cobbett'sAnnualRegister_0013
1803.08.20_TheNewcastleCourantetc_0002,1803.08.15_HampshireTelegraphandSussexChronicleetc_0003
1803.08.20_TheNewcastleCourantetc_0002,1803.08.18_TheDerbyMercury_0004
1803.08.20_TheNewcastleCourantetc_0002,1803.08.18_Trewman'sExeterFlyingPost_0002
1803.08.20_TheNewcastleCourantetc_0002,1803.08.20_TheIpswichJournal_0001
1803.08.20_TheNewcastleCourantetc_0003,1803.08.18_Trewman'sExeterFlyingPost_0003
1803.08.20_TheNewcastleCourantetc_0004,1803.08.13_Cobbett'sAnnualRegister_0011
1803.08.20_TheNewcastleCourantetc_0004,1803.08.17_TheMorningChronicle_0002
1803.08.20_TheNewcastleCourantetc_0004,1803.08.18_Trewman'sExeterFlyingPost_0004
1803.08.20_TheNewcastleCourantetc_0004,1803.08.20_TheIpswichJournal_0004
1803.08.22_TheMorningChronicle_0003,1803.08.20_Cobbett'sAnnualRegister_0008
1803.08.23_TheHullPacket_0004,1803.08.13_Cobbett'sAnnualRegister_0012
1803.08.23_TheHullPacket_0004,1803.08.15_HampshireTelegraphandSussexChronicleetc_0003
1803.08.23_TheHullPacket_0004,1803.08.18_TheDerbyMercury_0004
1803.08.23_TheHullPacket_0004,1803.08.18_Trewman'sExeterFlyingPost_0002
1803.08.23_TheHullPacket_0004,1803.08.20_TheIpswichJournal_0001
1803.08.23_TheHullPacket_0004,1803.08.20_TheNewcastleCourantetc_0002
1803.08.23_TheMorningChronicle_0001,1803.08.06_Jackson'sOxfordJournal_0003
1803.08.23_TheMorningChronicle_0001,1803.08.13_Jackson'sOxfordJournal_0001
1803.08.25_TheDerbyMercury_0001,1803.08.13_TheNewcastleCourantetc_0003
1803.08.25_TheDerbyMercury_0001,1803.08.20_Jackson'sOxfordJournal_0002
1803.08.25_TheDerbyMercury_0001,1803.08.20_TheIpswichJournal_0004
1803.08.25_TheDerbyMercury_0001,1803.08.20_TheNewcastleCourantetc_0003
1803.08.25_TheDerbyMercury_0004,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.08.25_TheDerbyMercury_0004,1803.08.06_TheNewcastleCourantetc_0003
1803.08.25_Trewman'sExeterFlyingPost_0001,1803.08.25_TheDerbyMercury_0002
1803.08.25_Trewman'sExeterFlyingPost_0002,1803.08.25_TheDerbyMercury_0004
1803.08.25_Trewman'sExeterFlyingPost_0003,1803.08.06_Jackson'sOxfordJournal_0004
1803.08.25_Trewman'sExeterFlyingPost_0003,1803.08.06_TheNewcastleCourantetc_0003
1803.08.25_Trewman'sExeterFlyingPost_0003,1803.08.13_TheNewcastleCourantetc_0003
1803.08.27_Jackson'sOxfordJournal_0001,1803.08.20_Cobbett'sAnnualRegister_0008
1803.08.27_Jackson'sOxfordJournal_0001,1803.08.22_TheMorningChronicle_0003
1803.08.27_Jackson'sOxfordJournal_0001,1803.08.25_TheDerbyMercury_0003
1803.08.27_Jackson'sOxfordJournal_0001,1803.08.25_Trewman'sExeterFlyingPost_0004
1803.08.27_Jackson'sOxfordJournal_0003,1803.08.13_TheNewcastleCourantetc_0003
1803.08.27_Jackson'sOxfordJournal_0004,1803.08.13_TheNewcastleCourantetc_0003
1803.08.27_Jackson'sOxfordJournal_0004,1803.08.20_TheMorningChronicle_0002
1803.08.27_Jackson'sOxfordJournal_0004,1803.08.25_TheDerbyMercury_0001
1803.08.27_Jackson'sOxfordJournal_0004,1803.08.25_TheDerbyMercury_0004
1803.08.27_Jackson'sOxfordJournal_0004,1803.08.25_Trewman'sExeterFlyingPost_0002
1803.08.27_TheIpswichJournal_0002,1803.08.27_Jackson'sOxfordJournal_0001
1803.08.27_TheIpswichJournal_0004,1803.08.13_TheNewcastleCourantetc_0003
1803.08.27_TheNewcastleCourantetc_0002,1803.08.20_TheMorningChronicle_0003
1803.08.27_TheNewcastleCourantetc_0002,1803.08.22_TheMorningChronicle_0002
1803.08.27_TheNewcastleCourantetc_0002,1803.08.25_TheDerbyMercury_0002
1803.08.27_TheNewcastleCourantetc_0002,1803.08.25_Trewman'sExeterFlyingPost_0001
1803.08.27_TheNewcastleCourantetc_0002,1803.08.25_Trewman'sExeterFlyingPost_0002
1803.08.27_TheNewcastleCourantetc_0002,1803.08.27_Jackson'sOxfordJournal_0004
1803.08.29_HampshireTelegraphandSussexChronicleetc_0004,1803.08.19_TheMorningChronicle_0003
1803.08.30_TheHullPacket_0004,1803.08.20_TheMorningChronicle_0002
1803.08.30_TheHullPacket_0004,1803.08.27_Jackson'sOxfordJournal_0004
1803.08.31_TheAberdeenJournal_0002,1803.08.27_TheNewcastleCourantetc_0002
1803.09.01_TheDerbyMercury_0004,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.09.01_Trewman'sExeterFlyingPost_0001,1803.08.26_TheMorningChronicle_0002
1803.09.02_TheMorningChronicle_0001,1803.08.11_Trewman'sExeterFlyingPost_0002
1803.09.03_Jackson'sOxfordJournal_0003,1803.08.09_TheMorningChronicle_0004
1803.09.03_Jackson'sOxfordJournal_0003,1803.08.19_TheMorningChronicle_0004
1803.09.03_TheIpswichJournal_0004,1803.08.13_TheNewcastleCourantetc_0003
1803.09.03_TheNewcastleCourantetc_0002,1803.08.20_Cobbett'sAnnualRegister_0008
1803.09.03_TheNewcastleCourantetc_0002,1803.08.27_Jackson'sOxfordJournal_0003
1803.09.03_TheNewcastleCourantetc_0002,1803.08.27_TheIpswichJournal_0004
1803.09.03_TheNewcastleCourantetc_0003,1803.08.06_TheIpswichJournal_0004
1803.09.03_TheNewcastleCourantetc_0003,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.09.03_TheNewcastleCourantetc_0003,1803.08.20_TheIpswichJournal_0004
1803.09.03_TheNewcastleCourantetc_0003,1803.08.25_TheDerbyMercury_0001
1803.09.03_TheNewcastleCourantetc_0003,1803.08.25_TheDerbyMercury_0004
1803.09.03_TheNewcastleCourantetc_0003,1803.08.27_Jackson'sOxfordJournal_0004
1803.09.03_TheNewcastleCourantetc_0004,1803.08.20_Cobbett'sAnnualRegister_0008
1803.09.03_TheNewcastleCourantetc_0004,1803.08.27_Jackson'sOxfordJournal_0001
1803.09.05_HampshireTelegraphandSussexChronicleetc_0001,1803.08.20_Jackson'sOxfordJournal_0002
1803.09.08_Trewman'sExeterFlyingPost_0003,1803.08.11_TheDerbyMercury_0004
1803.09.08_Trewman'sExeterFlyingPost_0003,1803.08.13_TheNewcastleCourantetc_0003
1803.09.10_TheIpswichJournal_0002,1803.08.27_Cobbett'sAnnualRegister_0011
1803.09.10_TheNewcastleCourantetc_0003,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.09.12_HampshireTelegraphandSussexChronicleetc_0004,1803.08.20_Jackson'sOxfordJournal_0002
1803.09.12_HampshireTelegraphandSussexChronicleetc_0004,1803.08.27_Jackson'sOxfordJournal_0004
1803.09.13_TheHullPacket_0004,1803.08.20_Jackson'sOxfordJournal_0002
1803.09.13_TheHullPacket_0004,1803.08.27_Jackson'sOxfordJournal_0004
1803.09.15_TheDerbyMercury_0001,1803.08.20_Jackson'sOxfordJournal_0002
1803.09.15_TheDerbyMercury_0002,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.09.15_Trewman'sExeterFlyingPost_0003,1803.08.27_Jackson'sOxfordJournal_0004
1803.09.17_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.09.17_TheNewcastleCourantetc_0003,1803.08.25_TheDerbyMercury_0004
1803.09.22_TheDerbyMercury_0004,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.09.22_Trewman'sExeterFlyingPost_0003,1803.08.18_TheDerbyMercury_0004
1803.09.29_TheDerbyMercury_0004,1803.08.13_TheNewcastleCourantetc_0003
1803.09.29_TheDerbyMercury_0004,1803.08.25_Trewman'sExeterFlyingPost_0003
1803.09.29_Trewman'sExeterFlyingPost_0001,1803.08.20_Jackson'sOxfordJournal_0002
1803.09.29_Trewman'sExeterFlyingPost_0002,1803.08.11_TheDerbyMercury_0004
1803.09.29_Trewman'sExeterFlyingPost_0002,1803.08.13_TheNewcastleCourantetc_0003
1803.10.06_TheDerbyMercury_0004,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.10.06_TheDerbyMercury_0004,1803.08.06_TheNewcastleCourantetc_0003
1803.10.06_TheDerbyMercury_0004,1803.08.25_Trewman'sExeterFlyingPost_0003
1803.10.08_TheIpswichJournal_0004,1803.08.06_TheNewcastleCourantetc_0003
1803.10.08_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.10.13_TheDerbyMercury_0004,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.10.13_Trewman'sExeterFlyingPost_0003,1803.08.06_TheNewcastleCourantetc_0003
1803.10.13_Trewman'sExeterFlyingPost_0003,1803.08.25_TheDerbyMercury_0004
1803.10.20_TheMorningChronicle_0003,1803.08.27_Jackson'sOxfordJournal_0004
1803.10.20_TheMorningChronicle_0003,1803.08.30_TheHullPacket_0004
1803.10.22_Jackson'sOxfordJournal_0003,1803.08.25_TheDerbyMercury_0001
1803.10.22_TheIpswichJournal_0002,1803.08.20_TheMorningChronicle_0002
1803.10.22_TheIpswichJournal_0002,1803.08.27_Jackson'sOxfordJournal_0004
1803.10.22_TheIpswichJournal_0002,1803.08.30_TheHullPacket_0004
1803.10.22_TheNewcastleCourantetc_0003,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.10.26_TheAberdeenJournal_0001,1803.08.20_Jackson'sOxfordJournal_0002
1803.10.27_Trewman'sExeterFlyingPost_0003,1803.08.11_TheDerbyMercury_0004
1803.10.27_Trewman'sExeterFlyingPost_0003,1803.08.13_TheNewcastleCourantetc_0003
1803.10.29_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.11.03_TheDerbyMercury_0004,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.11.03_TheDerbyMercury_0004,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.11.03_TheDerbyMercury_0004,1803.08.20_TheNewcastleCourantetc_0003
1803.11.03_TheDerbyMercury_0004,1803.08.23_TheHullPacket_0004
1803.11.05_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.11.10_TheDerbyMercury_0004,1803.08.06_TheNewcastleCourantetc_0003
1803.11.10_Trewman'sExeterFlyingPost_0003,1803.08.06_TheNewcastleCourantetc_0003
1803.11.17_TheDerbyMercury_0001,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.11.19_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.11.19_TheNewcastleCourantetc_0003,1803.08.25_TheDerbyMercury_0004
1803.11.24_TheDerbyMercury_0004,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.11.24_TheDerbyMercury_0004,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.11.26_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.12.01_Trewman'sExeterFlyingPost_0003,1803.08.13_Jackson'sOxfordJournal_0004
1803.12.01_Trewman'sExeterFlyingPost_0003,1803.08.20_TheNewcastleCourantetc_0003
1803.12.03_TheNewcastleCourantetc_0003,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.12.10_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.12.13_TheHullPacket_0004,1803.08.06_TheNewcastleCourantetc_0003
1803.12.15_Trewman'sExeterFlyingPost_0002,1803.08.18_TheDerbyMercury_0004
1803.12.17_Cobbett'sAnnualRegister_0004,1803.08.23_TheMorningChronicle_0002
1803.12.24_TheNewcastleCourantetc_0003,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.12.29_TheDerbyMercury_0004,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.12.29_TheDerbyMercury_0004,1803.08.06_TheNewcastleCourantetc_0003
1803.12.29_Trewman'sExeterFlyingPost_0002,1803.08.20_Jackson'sOxfordJournal_0002
1803.12.29_Trewman'sExeterFlyingPost_0003,1803.08.13_Jackson'sOxfordJournal_0004
1803.12.29_Trewman'sExeterFlyingPost_0003,1803.08.20_TheNewcastleCourantetc_0003
1804.01.02_HampshireTelegraphandSussexChronicleetc_0004,1803.08.20_Jackson'sOxfordJournal_0002
1804.01.02_HampshireTelegraphandSussexChronicleetc_0004,1803.08.27_Jackson'sOxfordJournal_0004
1804.01.10_TheHullPacket_0004,1803.08.18_Trewman'sExeterFlyingPost_0002
1804.01.16_HampshireTelegraphandSussexChronicleetc_0001,1803.08.25_TheDerbyMercury_0001
1804.02.09_Trewman'sExeterFlyingPost_0003,1803.08.13_TheNewcastleCourantetc_0003
1804.02.16_Trewman'sExeterFlyingPost_0003,1803.08.06_TheNewcastleCourantetc_0003
1804.03.01_Trewman'sExeterFlyingPost_0003,1803.08.18_TheDerbyMercury_0004
1804.03.01_Trewman'sExeterFlyingPost_0003,1803.08.30_TheHullPacket_0004
