1806.05.03_Jackson'sOxfordJournal_0001,1806.05.03_CaledonianMercury_0002
1806.05.10_CaledonianMercury_0004,1806.05.07_TheAberdeenJournal_0002
1806.05.10_Jackson'sOxfordJournal_0001,1806.05.01_Trewman'sExeterFlyingPost_0002
1806.05.10_Jackson'sOxfordJournal_0001,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.05.10_Jackson'sOxfordJournal_0001,1806.05.03_TheNewcastleCourantetc_0002
1806.05.10_Jackson'sOxfordJournal_0001,1806.05.05_HampshireTelegraphandSussexChronicleetc_0004
1806.05.10_Jackson'sOxfordJournal_0001,1806.05.08_Trewman'sExeterFlyingPost_0003
1806.05.10_Jackson'sOxfordJournal_0002,1806.05.10_CaledonianMercury_0002
1806.05.10_Jackson'sOxfordJournal_0004,1806.05.08_TheDerbyMercury_0004
1806.05.10_TheIpswichJournal_0004,1806.05.03_TheNewcastleCourantetc_0002
1806.05.10_TheIpswichJournal_0004,1806.05.10_Jackson'sOxfordJournal_0001
1806.05.12_CaledonianMercury_0003,1806.05.07_TheAberdeenJournal_0002
1806.05.14_TheAberdeenJournal_0001,1806.05.03_CaledonianMercury_0004
1806.05.14_TheAberdeenJournal_0001,1806.05.10_CaledonianMercury_0004
1806.05.14_TheAberdeenJournal_0002,1806.05.05_CaledonianMercury_0004
1806.05.14_TheAberdeenJournal_0002,1806.05.12_CaledonianMercury_0003
1806.05.14_TheAberdeenJournal_0003,1806.05.05_CaledonianMercury_0004
1806.05.14_TheAberdeenJournal_0003,1806.05.08_CaledonianMercury_0003
1806.05.14_TheAberdeenJournal_0003,1806.05.08_Trewman'sExeterFlyingPost_0004
1806.05.15_TheDerbyMercury_0004,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.05.15_TheDerbyMercury_0004,1806.05.03_Jackson'sOxfordJournal_0004
1806.05.15_TheDerbyMercury_0004,1806.05.10_Jackson'sOxfordJournal_0001
1806.05.17_Cobbett'sWeeklyPoliticalRegister_0027,1806.05.03_TheNewcastleCourantetc_0002
1806.05.17_Cobbett'sWeeklyPoliticalRegister_0028,1806.05.03_TheNewcastleCourantetc_0002
1806.05.17_Cobbett'sWeeklyPoliticalRegister_0029,1806.05.03_TheNewcastleCourantetc_0002
1806.05.17_Cobbett'sWeeklyPoliticalRegister_0030,1806.05.01_CaledonianMercury_0002
1806.05.17_Cobbett'sWeeklyPoliticalRegister_0031,1806.05.01_CaledonianMercury_0002
1806.05.17_Cobbett'sWeeklyPoliticalRegister_0032,1806.05.01_CaledonianMercury_0002
1806.05.17_Jackson'sOxfordJournal_0001,1806.05.17_CaledonianMercury_0002
1806.05.17_Jackson'sOxfordJournal_0002,1806.05.17_CaledonianMercury_0002
1806.05.17_Jackson'sOxfordJournal_0004,1806.05.01_Trewman'sExeterFlyingPost_0002
1806.05.17_Jackson'sOxfordJournal_0004,1806.05.03_TheNewcastleCourantetc_0002
1806.05.17_Jackson'sOxfordJournal_0004,1806.05.05_HampshireTelegraphandSussexChronicleetc_0004
1806.05.17_Jackson'sOxfordJournal_0004,1806.05.15_Trewman'sExeterFlyingPost_0004
1806.05.17_TheIpswichJournal_0002,1806.05.17_Jackson'sOxfordJournal_0002
1806.05.17_TheNewcastleCourantetc_0002,1806.05.12_CaledonianMercury_0002
1806.05.19_CaledonianMercury_0002,1806.05.17_Jackson'sOxfordJournal_0002
1806.05.19_HampshireTelegraphandSussexChronicleetc_0004,1806.05.17_Jackson'sOxfordJournal_0002
1806.05.21_TheAberdeenJournal_0002,1806.05.17_TheNewcastleCourantetc_0004
1806.05.21_TheAberdeenJournal_0003,1806.05.15_CaledonianMercury_0003
1806.05.21_TheAberdeenJournal_0003,1806.05.15_Trewman'sExeterFlyingPost_0004
1806.05.22_CaledonianMercury_0001,1806.05.21_TheAberdeenJournal_0003
1806.05.22_CaledonianMercury_0002,1806.05.19_TheMorningChronicle_0002
1806.05.22_CaledonianMercury_0003,1806.05.20_TheMorningChronicle_0003
1806.05.22_TheDerbyMercury_0004,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.05.22_Trewman'sExeterFlyingPost_0001,1806.05.22_CaledonianMercury_0002
1806.05.24_Jackson'sOxfordJournal_0001,1806.05.24_CaledonianMercury_0002
1806.05.24_Jackson'sOxfordJournal_0002,1806.05.24_CaledonianMercury_0002
1806.05.24_Jackson'sOxfordJournal_0004,1806.05.19_TheMorningChronicle_0002
1806.05.24_Jackson'sOxfordJournal_0004,1806.05.22_CaledonianMercury_0002
1806.05.24_Jackson'sOxfordJournal_0004,1806.05.22_CaledonianMercury_0003
1806.05.24_Jackson'sOxfordJournal_0004,1806.05.22_Trewman'sExeterFlyingPost_0001
1806.05.24_TheNewcastleCourantetc_0002,1806.05.19_CaledonianMercury_0002
1806.05.24_TheNewcastleCourantetc_0002,1806.05.19_TheMorningChronicle_0002
1806.05.24_TheNewcastleCourantetc_0002,1806.05.22_CaledonianMercury_0002
1806.05.24_TheNewcastleCourantetc_0002,1806.05.22_Trewman'sExeterFlyingPost_0001
1806.05.24_TheNewcastleCourantetc_0002,1806.05.24_Jackson'sOxfordJournal_0002
1806.05.24_TheNewcastleCourantetc_0002,1806.05.24_Jackson'sOxfordJournal_0004
1806.05.24_TheNewcastleCourantetc_0004,1806.05.22_CaledonianMercury_0003
1806.05.24_TheNewcastleCourantetc_0004,1806.05.24_CaledonianMercury_0002
1806.05.24_TheNewcastleCourantetc_0004,1806.05.24_Jackson'sOxfordJournal_0002
1806.05.26_CaledonianMercury_0001,1806.05.21_TheAberdeenJournal_0003
1806.05.26_CaledonianMercury_0001,1806.05.24_Jackson'sOxfordJournal_0003
1806.05.26_CaledonianMercury_0003,1806.05.24_Jackson'sOxfordJournal_0002
1806.05.26_CaledonianMercury_0003,1806.05.24_Jackson'sOxfordJournal_0003
1806.05.26_HampshireTelegraphandSussexChronicleetc_0004,1806.05.20_TheMorningChronicle_0002
1806.05.28_TheAberdeenJournal_0002,1806.05.15_CaledonianMercury_0001
1806.05.28_TheAberdeenJournal_0002,1806.05.22_CaledonianMercury_0001
1806.05.28_TheAberdeenJournal_0002,1806.05.22_CaledonianMercury_0003
1806.05.28_TheAberdeenJournal_0002,1806.05.22_TheMorningChronicle_0003
1806.05.28_TheAberdeenJournal_0002,1806.05.22_Trewman'sExeterFlyingPost_0004
1806.05.28_TheAberdeenJournal_0002,1806.05.26_CaledonianMercury_0001
1806.05.28_TheAberdeenJournal_0002,1806.05.26_CaledonianMercury_0002
1806.05.28_TheAberdeenJournal_0003,1806.05.22_CaledonianMercury_0002
1806.05.28_TheAberdeenJournal_0003,1806.05.22_CaledonianMercury_0003
1806.05.28_TheAberdeenJournal_0003,1806.05.22_Trewman'sExeterFlyingPost_0004
1806.05.28_TheAberdeenJournal_0003,1806.05.24_CaledonianMercury_0003
1806.05.28_TheAberdeenJournal_0003,1806.05.24_TheNewcastleCourantetc_0004
1806.05.29_CaledonianMercury_0002,1806.05.24_TheMorningChronicle_0002
1806.05.29_CaledonianMercury_0002,1806.05.24_TheMorningChronicle_0003
1806.05.29_CaledonianMercury_0002,1806.05.26_TheMorningChronicle_0003
1806.05.29_Trewman'sExeterFlyingPost_0003,1806.05.24_Jackson'sOxfordJournal_0002
1806.05.29_Trewman'sExeterFlyingPost_0003,1806.05.24_TheNewcastleCourantetc_0002
1806.05.29_Trewman'sExeterFlyingPost_0004,1806.05.29_CaledonianMercury_0002
1806.05.31_CaledonianMercury_0002,1806.05.26_TheMorningChronicle_0003
1806.05.31_CaledonianMercury_0002,1806.05.28_TheMorningChronicle_0002
1806.05.31_Jackson'sOxfordJournal_0001,1806.05.24_TheNewcastleCourantetc_0002
1806.05.31_Jackson'sOxfordJournal_0001,1806.05.29_CaledonianMercury_0002
1806.05.31_Jackson'sOxfordJournal_0001,1806.05.29_Trewman'sExeterFlyingPost_0003
1806.05.31_Jackson'sOxfordJournal_0001,1806.05.31_CaledonianMercury_0002
1806.05.31_Jackson'sOxfordJournal_0002,1806.05.28_TheMorningChronicle_0002
1806.05.31_Jackson'sOxfordJournal_0002,1806.05.31_CaledonianMercury_0002
1806.05.31_Jackson'sOxfordJournal_0004,1806.05.29_CaledonianMercury_0002
1806.05.31_Jackson'sOxfordJournal_0004,1806.05.29_Trewman'sExeterFlyingPost_0003
1806.05.31_Jackson'sOxfordJournal_0004,1806.05.31_CaledonianMercury_0004
1806.05.31_TheNewcastleCourantetc_0002,1806.05.31_CaledonianMercury_0004
1806.05.31_TheNewcastleCourantetc_0002,1806.05.31_Jackson'sOxfordJournal_0004
1806.05.31_TheNewcastleCourantetc_0003,1806.05.31_Jackson'sOxfordJournal_0001
1806.05.31_TheNewcastleCourantetc_0004,1806.05.28_TheMorningChronicle_0002
1806.05.31_TheNewcastleCourantetc_0004,1806.05.31_CaledonianMercury_0002
1806.05.31_TheNewcastleCourantetc_0004,1806.05.31_Jackson'sOxfordJournal_0001
1806.06.02_CaledonianMercury_0002,1806.05.30_TheMorningChronicle_0002
1806.06.02_CaledonianMercury_0002,1806.05.31_Jackson'sOxfordJournal_0003
1806.06.02_HampshireTelegraphandSussexChronicleetc_0004,1806.05.31_CaledonianMercury_0002
1806.06.02_HampshireTelegraphandSussexChronicleetc_0004,1806.05.31_Jackson'sOxfordJournal_0002
1806.06.04_TheAberdeenJournal_0002,1806.05.22_CaledonianMercury_0001
1806.06.04_TheAberdeenJournal_0002,1806.05.26_CaledonianMercury_0001
1806.06.04_TheAberdeenJournal_0002,1806.05.29_CaledonianMercury_0001
1806.06.04_TheAberdeenJournal_0002,1806.05.29_CaledonianMercury_0003
1806.06.04_TheAberdeenJournal_0003,1806.05.31_CaledonianMercury_0004
1806.06.04_TheAberdeenJournal_0003,1806.05.31_Jackson'sOxfordJournal_0004
1806.06.11_TheAberdeenJournal_0002,1806.05.29_CaledonianMercury_0001
1806.06.12_TheDerbyMercury_0004,1806.05.01_Trewman'sExeterFlyingPost_0002
1806.06.12_TheDerbyMercury_0004,1806.05.17_Jackson'sOxfordJournal_0004
1806.06.12_TheDerbyMercury_0004,1806.05.29_Trewman'sExeterFlyingPost_0003
1806.07.10_TheDerbyMercury_0004,1806.05.15_Trewman'sExeterFlyingPost_0003
1806.07.19_TheNewcastleCourantetc_0003,1806.05.17_Jackson'sOxfordJournal_0003
1806.07.23_TheAberdeenJournal_0004,1806.05.03_CaledonianMercury_0004
1806.07.24_TheDerbyMercury_0004,1806.05.17_Jackson'sOxfordJournal_0003
1806.07.24_TheDerbyMercury_0004,1806.05.22_Trewman'sExeterFlyingPost_0003
1806.07.26_CaledonianMercury_0004,1806.05.07_TheAberdeenJournal_0002
1806.07.26_CaledonianMercury_0004,1806.05.14_TheAberdeenJournal_0001
1806.08.13_TheAberdeenJournal_0002,1806.05.03_CaledonianMercury_0004
1806.08.14_TheDerbyMercury_0001,1806.05.31_Jackson'sOxfordJournal_0002
1806.08.28_TheDerbyMercury_0001,1806.05.22_Trewman'sExeterFlyingPost_0003
1806.09.11_TheDerbyMercury_0004,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.09.18_TheDerbyMercury_0004,1806.05.22_Trewman'sExeterFlyingPost_0003
1806.10.16_TheDerbyMercury_0004,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.10.16_TheDerbyMercury_0004,1806.05.29_Trewman'sExeterFlyingPost_0003
1806.10.16_TheDerbyMercury_0004,1806.05.31_Jackson'sOxfordJournal_0004
1806.10.23_TheDerbyMercury_0004,1806.05.08_Trewman'sExeterFlyingPost_0003
1806.10.23_TheDerbyMercury_0004,1806.05.22_Trewman'sExeterFlyingPost_0003
1806.11.12_TheAberdeenJournal_0001,1806.05.31_CaledonianMercury_0004
1806.11.13_TheDerbyMercury_0004,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.11.13_TheDerbyMercury_0004,1806.05.03_Jackson'sOxfordJournal_0004
1806.11.13_TheDerbyMercury_0004,1806.05.29_Trewman'sExeterFlyingPost_0003
1806.11.13_TheDerbyMercury_0004,1806.05.31_Jackson'sOxfordJournal_0004
1806.11.17_HampshireTelegraphandSussexChronicleetc_0004,1806.05.03_Jackson'sOxfordJournal_0001
1806.11.20_TheDerbyMercury_0004,1806.05.17_Jackson'sOxfordJournal_0003
1806.11.20_TheDerbyMercury_0004,1806.05.22_Trewman'sExeterFlyingPost_0003
