1831.07.02_PrestonChronicle_0001,1831.07.01_LiverpoolMercuryetc_0004
1831.07.09_TheNewcastleCourantetc_0002,1831.07.04_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.09_TheNewcastleCourantetc_0002,1831.07.04_HampshireTelegraphandSussexChronicleetc_0002
1831.07.09_TheNewcastleCourantetc_0002,1831.07.07_CaledonianMercury_0004
1831.07.09_TheNewcastleCourantetc_0003,1831.07.06_TheDerbyMercury_0001
1831.07.09_TheNewcastleCourantetc_0003,1831.07.08_TheBelfastNews-Letter_0001
1831.07.09_TheNewcastleCourantetc_0003,1831.07.09_PrestonChronicle_0001
1831.07.09_TheNewcastleCourantetc_0004,1831.07.05_TheHullPacketandHumberMercury_0003
1831.07.10_TheExaminer_0006,1831.07.09_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.10_TheExaminer_0006,1831.07.09_PrestonChronicle_0004
1831.07.10_TheExaminer_0011,1831.07.02_TheManchesterTimesandGazette_0002
1831.07.11_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.01_TheBelfastNews-Letter_0003
1831.07.11_HampshireTelegraphandSussexChronicleetc_0001,1831.07.06_TheDerbyMercury_0001
1831.07.11_HampshireTelegraphandSussexChronicleetc_0001,1831.07.09_TheNewcastleCourantetc_0003
1831.07.11_HampshireTelegraphandSussexChronicleetc_0002,1831.07.02_TheNewcastleCourantetc_0003
1831.07.12_TheBelfastNews-Letter_0001,1831.07.08_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.12_TheBelfastNews-Letter_0003,1831.07.11_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.12_TheBristolMercury_0002,1831.07.10_TheExaminer_0012
1831.07.12_TheBristolMercury_0004,1831.07.09_PrestonChronicle_0004
1831.07.12_TheBristolMercury_0004,1831.07.10_TheExaminer_0006
1831.07.12_TheHullPacketandHumberMercury_0002,1831.07.10_TheExaminer_0014
1831.07.12_TheHullPacketandHumberMercury_0002,1831.07.11_HampshireTelegraphandSussexChronicleetc_0003
1831.07.12_TheHullPacketandHumberMercury_0004,1831.07.03_TheExaminer_0002
1831.07.12_TheHullPacketandHumberMercury_0004,1831.07.05_TheBristolMercury_0001
1831.07.13_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.05_TheBelfastNews-Letter_0003
1831.07.13_TheDerbyMercury_0001,1831.07.05_TheHullPacketandHumberMercury_0001
1831.07.13_TheDerbyMercury_0001,1831.07.11_HampshireTelegraphandSussexChronicleetc_0003
1831.07.13_TheDerbyMercury_0002,1831.07.09_TheNewcastleCourantetc_0001
1831.07.13_TheDerbyMercury_0004,1831.07.11_HampshireTelegraphandSussexChronicleetc_0003
1831.07.13_TheDerbyMercury_0004,1831.07.12_TheHullPacketandHumberMercury_0002
1831.07.15_LiverpoolMercuryetc_0007,1831.07.02_PrestonChronicle_0004
1831.07.15_TheBelfastNews-Letter_0002,1831.07.14_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.15_TheBelfastNews-Letter_0002,1831.07.14_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.15_TheBelfastNews-Letter_0002,1831.07.14_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.15_TheBelfastNews-Letter_0004,1831.07.02_PrestonChronicle_0004
1831.07.15_TheBelfastNews-Letter_0004,1831.07.07_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.16_Cobbett'sWeeklyPoliticalRegister_0014,1831.07.10_TheExaminer_0002
1831.07.16_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.07.15_LiverpoolMercuryetc_0002
1831.07.16_PrestonChronicle_0002,1831.07.16_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.16_PrestonChronicle_0003,1831.07.09_TheManchesterTimesandGazette_0005
1831.07.16_PrestonChronicle_0004,1831.07.10_TheExaminer_0012
1831.07.16_PrestonChronicle_0004,1831.07.12_TheBelfastNews-Letter_0002
1831.07.16_PrestonChronicle_0004,1831.07.12_TheBristolMercury_0002
1831.07.16_TheManchesterTimesandGazette_0006,1831.07.12_TheBelfastNews-Letter_0002
1831.07.17_TheExaminer_0002,1831.07.16_Cobbett'sWeeklyPoliticalRegister_0006
1831.07.17_TheExaminer_0002,1831.07.16_Cobbett'sWeeklyPoliticalRegister_0007
1831.07.17_TheExaminer_0006,1831.07.16_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.18_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.01_TheBelfastNews-Letter_0003
1831.07.18_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.12_TheBelfastNews-Letter_0003
1831.07.18_HampshireTelegraphandSussexChronicleetc_0002,1831.07.16_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.18_HampshireTelegraphandSussexChronicleetc_0002,1831.07.16_PrestonChronicle_0002
1831.07.18_HampshireTelegraphandSussexChronicleetc_0003,1831.07.17_TheExaminer_0007
1831.07.19_NorthWalesChronicle_0003,1831.07.15_TheBelfastNews-Letter_0004
1831.07.19_TheBelfastNews-Letter_0001,1831.07.16_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.19_TheBelfastNews-Letter_0002,1831.07.18_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.19_TheBelfastNews-Letter_0003,1831.07.13_TheDerbyMercury_0001
1831.07.19_TheBelfastNews-Letter_0004,1831.07.18_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.19_TheBristolMercury_0001,1831.07.18_HampshireTelegraphandSussexChronicleetc_0001
1831.07.19_TheBristolMercury_0001,1831.07.18_HampshireTelegraphandSussexChronicleetc_0002
1831.07.19_TheBristolMercury_0002,1831.07.16_TheManchesterTimesandGazette_0003
1831.07.19_TheBristolMercury_0004,1831.07.13_TheAberdeenJournal_0008
1831.07.19_TheHullPacketandHumberMercury_0001,1831.07.03_TheExaminer_0015
1831.07.19_TheHullPacketandHumberMercury_0001,1831.07.17_TheExaminer_0015
1831.07.19_TheHullPacketandHumberMercury_0001,1831.07.19_TheBristolMercury_0002
1831.07.19_TheHullPacketandHumberMercury_0004,1831.07.14_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.19_TheHullPacketandHumberMercury_0004,1831.07.15_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.19_TheHullPacketandHumberMercury_0004,1831.07.19_TheBristolMercury_0001
1831.07.20_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.05_TheBelfastNews-Letter_0003
1831.07.20_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.07.02_TheManchesterTimesandGazette_0005
1831.07.20_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.07.19_TheBelfastNews-Letter_0004
1831.07.20_TheDerbyMercury_0001,1831.07.16_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.20_TheDerbyMercury_0001,1831.07.16_PrestonChronicle_0002
1831.07.20_TheDerbyMercury_0001,1831.07.16_TheManchesterTimesandGazette_0003
1831.07.20_TheDerbyMercury_0001,1831.07.18_HampshireTelegraphandSussexChronicleetc_0002
1831.07.20_TheDerbyMercury_0001,1831.07.19_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.20_TheDerbyMercury_0001,1831.07.19_TheBristolMercury_0002
1831.07.20_TheDerbyMercury_0001,1831.07.19_TheHullPacketandHumberMercury_0001
1831.07.20_TheDerbyMercury_0002,1831.07.09_TheNewcastleCourantetc_0001
1831.07.20_TheDerbyMercury_0002,1831.07.16_PrestonChronicle_0001
1831.07.20_TheDerbyMercury_0004,1831.07.16_PrestonChronicle_0002
1831.07.20_TheDerbyMercury_0004,1831.07.17_TheExaminer_0007
1831.07.20_TheDerbyMercury_0004,1831.07.18_HampshireTelegraphandSussexChronicleetc_0003
1831.07.20_TheDerbyMercury_0004,1831.07.19_TheBristolMercury_0002
1831.07.21_CaledonianMercury_0004,1831.07.17_TheExaminer_0002
1831.07.21_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.07.20_TheDerbyMercury_0002
1831.07.22_LiverpoolMercuryetc_0002,1831.07.22_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.22_TheBelfastNews-Letter_0001,1831.07.20_TheDerbyMercury_0001
1831.07.22_TheBelfastNews-Letter_0002,1831.07.16_Cobbett'sWeeklyPoliticalRegister_0006
1831.07.22_TheBelfastNews-Letter_0002,1831.07.16_Cobbett'sWeeklyPoliticalRegister_0007
1831.07.22_TheBelfastNews-Letter_0002,1831.07.17_TheExaminer_0002
1831.07.22_TheBelfastNews-Letter_0002,1831.07.21_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.22_TheBelfastNews-Letter_0002,1831.07.22_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.22_TheBelfastNews-Letter_0003,1831.07.04_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.22_TheBelfastNews-Letter_0003,1831.07.06_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.22_TheBelfastNews-Letter_0003,1831.07.13_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.22_TheBelfastNews-Letter_0003,1831.07.20_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.22_TheBelfastNews-Letter_0004,1831.07.08_LiverpoolMercuryetc_0007
1831.07.22_TheBelfastNews-Letter_0004,1831.07.08_LiverpoolMercuryetc_0008
1831.07.22_TheBelfastNews-Letter_0004,1831.07.19_NorthWalesChronicle_0003
1831.07.23_Cobbett'sWeeklyPoliticalRegister_0018,1831.07.22_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.23_Cobbett'sWeeklyPoliticalRegister_0018,1831.07.22_TheBelfastNews-Letter_0002
1831.07.23_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.22_TheBelfastNews-Letter_0002
1831.07.23_Freeman'sJournalandDailyCommercialAdvertiser_0003,1831.07.22_TheBelfastNews-Letter_0002
1831.07.23_PrestonChronicle_0002,1831.07.23_Cobbett'sWeeklyPoliticalRegister_0002
1831.07.23_PrestonChronicle_0003,1831.07.01_TheBelfastNews-Letter_0004
1831.07.23_PrestonChronicle_0003,1831.07.08_LiverpoolMercuryetc_0007
1831.07.23_PrestonChronicle_0003,1831.07.22_LiverpoolMercuryetc_0007
1831.07.23_PrestonChronicle_0003,1831.07.22_TheBelfastNews-Letter_0004
1831.07.23_PrestonChronicle_0004,1831.07.16_Cobbett'sWeeklyPoliticalRegister_0006
1831.07.23_PrestonChronicle_0004,1831.07.16_Cobbett'sWeeklyPoliticalRegister_0007
1831.07.23_PrestonChronicle_0004,1831.07.17_TheExaminer_0002
1831.07.23_PrestonChronicle_0004,1831.07.22_TheBelfastNews-Letter_0002
1831.07.23_TheManchesterTimesandGazette_0002,1831.07.17_TheExaminer_0009
1831.07.23_TheManchesterTimesandGazette_0003,1831.07.17_TheExaminer_0008
1831.07.23_TheManchesterTimesandGazette_0006,1831.07.16_Cobbett'sWeeklyPoliticalRegister_0007
1831.07.23_TheManchesterTimesandGazette_0006,1831.07.17_TheExaminer_0002
1831.07.23_TheManchesterTimesandGazette_0006,1831.07.22_TheBelfastNews-Letter_0002
1831.07.23_TheManchesterTimesandGazette_0006,1831.07.23_PrestonChronicle_0004
1831.07.23_TheNewcastleCourantetc_0001,1831.07.19_TheBristolMercury_0001
1831.07.23_TheNewcastleCourantetc_0001,1831.07.20_TheDerbyMercury_0002
1831.07.23_TheNewcastleCourantetc_0002,1831.07.17_TheExaminer_0011
1831.07.23_TheNewcastleCourantetc_0002,1831.07.19_TheHullPacketandHumberMercury_0003
1831.07.23_TheNewcastleCourantetc_0002,1831.07.20_TheDerbyMercury_0001
1831.07.23_TheNewcastleCourantetc_0003,1831.07.19_TheBristolMercury_0002
1831.07.23_TheNewcastleCourantetc_0004,1831.07.20_TheDerbyMercury_0003
1831.07.23_TheNewcastleCourantetc_0004,1831.07.21_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.23_TheNewcastleCourantetc_0004,1831.07.22_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.23_TheNewcastleCourantetc_0004,1831.07.22_LiverpoolMercuryetc_0002
1831.07.23_TheNewcastleCourantetc_0004,1831.07.22_TheBelfastNews-Letter_0002
1831.07.23_TheNewcastleCourantetc_0004,1831.07.23_Cobbett'sWeeklyPoliticalRegister_0018
1831.07.23_TheNewcastleCourantetc_0004,1831.07.23_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.24_TheExaminer_0002,1831.07.20_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.24_TheExaminer_0011,1831.07.16_TheManchesterTimesandGazette_0008
1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.01_TheBelfastNews-Letter_0003
1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.12_TheBelfastNews-Letter_0003
1831.07.25_HampshireTelegraphandSussexChronicleetc_0002,1831.07.19_TheBristolMercury_0002
1831.07.25_HampshireTelegraphandSussexChronicleetc_0002,1831.07.23_TheNewcastleCourantetc_0004
1831.07.26_NorthWalesChronicle_0001,1831.07.20_TheDerbyMercury_0001
1831.07.26_NorthWalesChronicle_0003,1831.07.19_TheBristolMercury_0004
1831.07.26_NorthWalesChronicle_0003,1831.07.23_TheNewcastleCourantetc_0002
1831.07.26_TheBelfastNews-Letter_0002,1831.07.25_HampshireTelegraphandSussexChronicleetc_0002
1831.07.26_TheBelfastNews-Letter_0003,1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.26_TheBelfastNews-Letter_0004,1831.07.22_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.07.26_TheBelfastNews-Letter_0004,1831.07.25_HampshireTelegraphandSussexChronicleetc_0003
1831.07.26_TheBristolMercury_0001,1831.07.23_TheNewcastleCourantetc_0001
1831.07.26_TheBristolMercury_0001,1831.07.25_HampshireTelegraphandSussexChronicleetc_0002
1831.07.26_TheBristolMercury_0001,1831.07.26_TheBelfastNews-Letter_0002
1831.07.26_TheBristolMercury_0002,1831.07.25_HampshireTelegraphandSussexChronicleetc_0003
1831.07.26_TheBristolMercury_0002,1831.07.26_TheBelfastNews-Letter_0004
1831.07.26_TheBristolMercury_0004,1831.07.20_TheDerbyMercury_0004
1831.07.26_TheBristolMercury_0004,1831.07.23_TheNewcastleCourantetc_0002
1831.07.26_TheBristolMercury_0004,1831.07.24_TheExaminer_0003
1831.07.26_TheHullPacketandHumberMercury_0003,1831.07.20_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.26_TheHullPacketandHumberMercury_0004,1831.07.22_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.26_TheHullPacketandHumberMercury_0004,1831.07.22_LiverpoolMercuryetc_0002
1831.07.26_TheHullPacketandHumberMercury_0004,1831.07.23_TheNewcastleCourantetc_0004
1831.07.27_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.05_TheBelfastNews-Letter_0003
1831.07.27_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.22_TheBelfastNews-Letter_0003
1831.07.27_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.07.24_TheExaminer_0009
1831.07.27_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.07.23_Cobbett'sWeeklyPoliticalRegister_0024
1831.07.27_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.07.23_Cobbett'sWeeklyPoliticalRegister_0025
1831.07.27_TheDerbyMercury_0001,1831.07.25_HampshireTelegraphandSussexChronicleetc_0002
1831.07.27_TheDerbyMercury_0001,1831.07.25_HampshireTelegraphandSussexChronicleetc_0003
1831.07.27_TheDerbyMercury_0001,1831.07.26_TheBelfastNews-Letter_0004
1831.07.27_TheDerbyMercury_0001,1831.07.26_TheBristolMercury_0001
1831.07.27_TheDerbyMercury_0001,1831.07.26_TheBristolMercury_0002
1831.07.27_TheDerbyMercury_0002,1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.29_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.07.24_TheExaminer_0009
1831.07.29_LiverpoolMercuryetc_0003,1831.07.26_TheHullPacketandHumberMercury_0001
1831.07.29_LiverpoolMercuryetc_0003,1831.07.27_TheDerbyMercury_0002
1831.07.29_TheBelfastNews-Letter_0001,1831.07.26_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.29_TheBelfastNews-Letter_0003,1831.07.04_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.29_TheBelfastNews-Letter_0003,1831.07.06_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.29_TheBelfastNews-Letter_0003,1831.07.13_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.29_TheBelfastNews-Letter_0003,1831.07.20_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.29_TheBelfastNews-Letter_0003,1831.07.27_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.29_TheBelfastNews-Letter_0004,1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.30_PrestonChronicle_0001,1831.07.26_TheBristolMercury_0002
1831.07.30_PrestonChronicle_0001,1831.07.29_LiverpoolMercuryetc_0003
1831.07.30_PrestonChronicle_0004,1831.07.20_TheDerbyMercury_0001
1831.07.30_PrestonChronicle_0004,1831.07.29_TheBelfastNews-Letter_0001
1831.07.30_TheManchesterTimesandGazette_0006,1831.07.23_Cobbett'sWeeklyPoliticalRegister_0025
1831.07.30_TheManchesterTimesandGazette_0008,1831.07.23_Cobbett'sWeeklyPoliticalRegister_0024
1831.07.30_TheManchesterTimesandGazette_0008,1831.07.27_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.30_TheNewcastleCourantetc_0002,1831.07.26_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.30_TheNewcastleCourantetc_0002,1831.07.26_TheHullPacketandHumberMercury_0003
1831.07.30_TheNewcastleCourantetc_0002,1831.07.27_TheDerbyMercury_0001
1831.07.30_TheNewcastleCourantetc_0002,1831.07.28_CaledonianMercury_0002
1831.07.30_TheNewcastleCourantetc_0002,1831.07.29_LiverpoolMercuryetc_0003
1831.07.30_TheNewcastleCourantetc_0002,1831.07.29_TheBelfastNews-Letter_0001
1831.07.30_TheNewcastleCourantetc_0002,1831.07.30_PrestonChronicle_0004
1831.07.30_TheNewcastleCourantetc_0003,1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.30_TheNewcastleCourantetc_0003,1831.07.26_TheBristolMercury_0002
1831.07.30_TheNewcastleCourantetc_0004,1831.07.27_TheDerbyMercury_0003
1831.07.30_TheNewcastleCourantetc_0004,1831.07.29_TheBelfastNews-Letter_0002
1831.07.31_TheExaminer_0016,1831.07.19_TheHullPacketandHumberMercury_0001
1831.08.01_CaledonianMercury_0002,1831.07.31_TheExaminer_0007
1831.08.01_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.01_TheBelfastNews-Letter_0003
1831.08.01_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.12_TheBelfastNews-Letter_0003
1831.08.01_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.26_TheBelfastNews-Letter_0003
1831.08.01_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.07.31_TheExaminer_0007
1831.08.01_HampshireTelegraphandSussexChronicleetc_0002,1831.07.31_TheExaminer_0007
1831.08.02_TheBelfastNews-Letter_0003,1831.07.18_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.08.02_TheBelfastNews-Letter_0003,1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.08.02_TheBelfastNews-Letter_0004,1831.07.26_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.08.02_TheBelfastNews-Letter_0004,1831.07.30_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.08.02_TheBristolMercury_0004,1831.07.30_TheManchesterTimesandGazette_0004
1831.08.02_TheHullPacketandHumberMercury_0001,1831.07.29_LiverpoolMercuryetc_0003
1831.08.02_TheHullPacketandHumberMercury_0001,1831.07.29_TheBelfastNews-Letter_0001
1831.08.02_TheHullPacketandHumberMercury_0001,1831.07.30_PrestonChronicle_0001
1831.08.02_TheHullPacketandHumberMercury_0001,1831.07.30_PrestonChronicle_0004
1831.08.02_TheHullPacketandHumberMercury_0001,1831.07.30_TheManchesterTimesandGazette_0002
1831.08.02_TheHullPacketandHumberMercury_0001,1831.07.30_TheNewcastleCourantetc_0002
1831.08.02_TheHullPacketandHumberMercury_0002,1831.07.30_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.03_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.05_TheBelfastNews-Letter_0003
1831.08.03_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.22_TheBelfastNews-Letter_0003
1831.08.03_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.29_TheBelfastNews-Letter_0003
1831.08.03_TheAberdeenJournal_0001,1831.07.17_TheExaminer_0015
1831.08.03_TheAberdeenJournal_0001,1831.07.31_TheExaminer_0015
1831.08.03_TheAberdeenJournal_0002,1831.07.29_TheBelfastNews-Letter_0001
1831.08.03_TheAberdeenJournal_0002,1831.07.29_TheBelfastNews-Letter_0002
1831.08.03_TheAberdeenJournal_0002,1831.07.30_TheNewcastleCourantetc_0002
1831.08.03_TheDerbyMercury_0002,1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.08.05_LiverpoolMercuryetc_0002,1831.07.31_TheExaminer_0007
1831.08.05_LiverpoolMercuryetc_0007,1831.07.02_PrestonChronicle_0004
1831.08.05_TheBelfastNews-Letter_0003,1831.07.13_TheDerbyMercury_0001
1831.08.05_TheBelfastNews-Letter_0003,1831.07.25_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.08.05_TheBelfastNews-Letter_0003,1831.07.27_TheDerbyMercury_0002
1831.08.05_TheBelfastNews-Letter_0004,1831.07.23_TheNewcastleCourantetc_0002
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0004,1831.07.30_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0005,1831.07.30_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0006,1831.07.30_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0020,1831.07.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0021,1831.07.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0022,1831.07.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0023,1831.07.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_Cobbett'sWeeklyPoliticalRegister_0024,1831.07.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_PrestonChronicle_0001,1831.07.26_TheHullPacketandHumberMercury_0001
1831.08.06_PrestonChronicle_0001,1831.07.29_LiverpoolMercuryetc_0003
1831.08.06_PrestonChronicle_0003,1831.07.08_LiverpoolMercuryetc_0007
1831.08.06_PrestonChronicle_0003,1831.07.15_TheBelfastNews-Letter_0004
1831.08.06_PrestonChronicle_0003,1831.07.22_TheBelfastNews-Letter_0004
1831.08.06_PrestonChronicle_0003,1831.07.29_LiverpoolMercuryetc_0007
1831.08.06_PrestonChronicle_0003,1831.07.29_TheBelfastNews-Letter_0001
1831.08.06_PrestonChronicle_0004,1831.07.31_TheExaminer_0010
1831.08.06_TheManchesterTimesandGazette_0002,1831.07.26_TheBelfastNews-Letter_0002
1831.08.06_TheManchesterTimesandGazette_0002,1831.07.26_TheBristolMercury_0001
1831.08.06_TheManchesterTimesandGazette_0002,1831.07.31_TheExaminer_0003
1831.08.06_TheManchesterTimesandGazette_0003,1831.07.30_Cobbett'sWeeklyPoliticalRegister_0011
1831.08.06_TheManchesterTimesandGazette_0004,1831.07.29_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.08.06_TheManchesterTimesandGazette_0007,1831.07.30_Cobbett'sWeeklyPoliticalRegister_0024
